Term,Description,Context
ARL,TV cameras2. gamma ray spectrometer,UTLaunch Site: NIIP-5 / Site 81/24 Scientific Instruments:1. 2 TV cameras2. gamma-ray spectrometer (ARL)3. RV-2NLS radiation detector 
LRO,Lunar Reconnaissance Orbiter,"Luna 16, in 2009 and 2010, images from NASA™s  Lunar Reconnaissance Orbiter (LRO) were used  "
HVM,photopolarimeter 2. helium vector magnetometer,Launch Site: Cape Kennedy / Launch Complex 36A Scientific Instruments: 1. imaging photopolarimeter 2. helium vector magnetometer (HVM) 3. infrared adiometer 4. quadrispherical plasma analyzer 5. ultraviolet photometer 6. charged particle instrument (CPI) 7. cosmic ray telescope (CRT) 8. Geiger tube telescope (GTT) 9. 
CPI,photometer 6. charged particle instrument,Launch Site: Cape Kennedy / Launch Complex 36A Scientific Instruments: 1. imaging photopolarimeter 2. helium vector magnetometer (HVM) 3. infrared adiometer 4. quadrispherical plasma analyzer 5. ultraviolet photometer 6. charged particle instrument (CPI) 7. cosmic ray telescope (CRT) 8. Geiger tube telescope (GTT) 9. 
CRT,(CPI) 7. cosmic ray telescope,Launch Site: Cape Kennedy / Launch Complex 36A Scientific Instruments: 1. imaging photopolarimeter 2. helium vector magnetometer (HVM) 3. infrared adiometer 4. quadrispherical plasma analyzer 5. ultraviolet photometer 6. charged particle instrument (CPI) 7. cosmic ray telescope (CRT) 8. Geiger tube telescope (GTT) 9. 
GTT,(CRT) 8. Geiger tube telescope,Launch Site: Cape Kennedy / Launch Complex 36A Scientific Instruments: 1. imaging photopolarimeter 2. helium vector magnetometer (HVM) 3. infrared adiometer 4. quadrispherical plasma analyzer 5. ultraviolet photometer 6. charged particle instrument (CPI) 7. cosmic ray telescope (CRT) 8. Geiger tube telescope (GTT) 9. 
AMD,9. Sisyphus asteroid/meteoroid detector,"Scientific Instruments: 1. imaging photopolarimeter 2. helium vector magnetometer (HVM) 3. infrared adiometer 4. quadrispherical plasma analyzer 5. ultraviolet photometer 6. charged particle instrument (CPI) 7. cosmic ray telescope (CRT) 8. Geiger tube telescope (GTT) 9.  Sisyphus asteroid/meteoroid detector (AMD) 10. meteoroid detectors 11. trapped radiation detector (TRD)Results: Pioneer 10, the first NASA mission to the outer planets, garnered a series of firsts perhaps 109 "
TRD,detectors 11. trapped radiation detector,"Scientific Instruments: 1. imaging photopolarimeter 2. helium vector magnetometer (HVM) 3. infrared adiometer 4. quadrispherical plasma analyzer 5. ultraviolet photometer 6. charged particle instrument (CPI) 7. cosmic ray telescope (CRT) 8. Geiger tube telescope (GTT) 9.  Sisyphus asteroid/meteoroid detector (AMD) 10. meteoroid detectors 11. trapped radiation detector (TRD)Results: Pioneer 10, the first NASA mission to the outer planets, garnered a series of firsts perhaps 109 "
ITD,ray detectorLander:1. thermometers and barometers,Launch Site: NIIP-5 / Site 31/6 Scientific Instruments:Spacecraft Bus:1. KS-18-4M cosmic ray detectorLander:1. thermometers and barometers (ITD)2. IOV-72 photometers 
ITD,ray detectorLander:1. thermometers and barometers,Launch Site: NIIP-5 / Site 31/6 Scientific Instruments:Spacecraft Bus:1. KS-18-4M cosmic ray detectorLander:1. thermometers and barometers (ITD)2. IOV-72 photometers 
LRO,Lunar Reconnaissance Orbiter,"-sion on the Moon. Later, in 2013, based on imagery  from the Lunar Reconnaissance Orbiter (LRO), Russian researchers led by Irina Karachevtseva at the Moscow State University™s Institute of Geodesy  "
MIIGAiK,Moscow State University™s Institute of Geodesy and Cartography,"from the Lunar Reconnaissance Orbiter (LRO), Russian researchers led by Irina Karachevtseva at the Moscow State University™s Institute of Geodesy  and Cartography (MIIGAiK), recalculated the total distance travelled and came to a more precise  "
HVM,photopolarimeter 2. helium vector magnetometer,Launch Site: Cape Kennedy / Launch Complex 36B Scientific Instruments: 1. imaging photopolarimeter 2. helium vector magnetometer (HVM) 3. infrared radiometer 4. quadrispherical plasma analyzer 5. ultraviolet photometer 6. charged particle instrument (CPI) 7. cosmic ray telescope (CRT) 8. Geiger tube telescope (GTT) 9. 
CPI,photometer 6. charged particle instrument,Launch Site: Cape Kennedy / Launch Complex 36B Scientific Instruments: 1. imaging photopolarimeter 2. helium vector magnetometer (HVM) 3. infrared radiometer 4. quadrispherical plasma analyzer 5. ultraviolet photometer 6. charged particle instrument (CPI) 7. cosmic ray telescope (CRT) 8. Geiger tube telescope (GTT) 9. 
CRT,(CPI) 7. cosmic ray telescope,Launch Site: Cape Kennedy / Launch Complex 36B Scientific Instruments: 1. imaging photopolarimeter 2. helium vector magnetometer (HVM) 3. infrared radiometer 4. quadrispherical plasma analyzer 5. ultraviolet photometer 6. charged particle instrument (CPI) 7. cosmic ray telescope (CRT) 8. Geiger tube telescope (GTT) 9. 
GTT,(CRT) 8. Geiger tube telescope,Launch Site: Cape Kennedy / Launch Complex 36B Scientific Instruments: 1. imaging photopolarimeter 2. helium vector magnetometer (HVM) 3. infrared radiometer 4. quadrispherical plasma analyzer 5. ultraviolet photometer 6. charged particle instrument (CPI) 7. cosmic ray telescope (CRT) 8. Geiger tube telescope (GTT) 9. 
AMD,9. Sisyphus asteroid/meteoroid detector,Scientific Instruments: 1. imaging photopolarimeter 2. helium vector magnetometer (HVM) 3. infrared radiometer 4. quadrispherical plasma analyzer 5. ultraviolet photometer 6. charged particle instrument (CPI) 7. cosmic ray telescope (CRT) 8. Geiger tube telescope (GTT) 9.  Sisyphus asteroid/meteoroid detector (AMD) 10. meteoroid detectors 
TRD,11. trapped radiation detector," Sisyphus asteroid/meteoroid detector (AMD) 10. meteoroid detectors  11. trapped radiation detector (TRD) 12. triaxial fluxgate magnetometerResults: Pioneer 11, the sister spacecraft to Pioneer 10, was the first human-made object to fly past Saturn and also returned the first pictures of the polar regions of Jupiter. After boost by the TE-M- "
RAE,Astronomy Explorer,"Scientific Instruments:1. galactic studies experiment2. sporadic low-frequency solar radio bursts experiment3. sporadic Jovian bursts experiment4. radio emission from terrestrial magneto-sphere experiment5. cosmic source observation experimentResults: Explorer 49 was the final U.S. lunar mission for 21 years (until Clementine in 1994). The space-craft, part of a duo of Radio Astronomy Explorer  (RAE) missions (other being Explorer 48), was designed to conduct comprehensive studies of low  "
LRO,Lunar Reconnaissance Orbiter,"the drill all failed, preventing fulfillment of the  primary mission, the return of lunar soil to Earth. Controllers devised a makeshift plan to conduct a limited science exploration program with the sta-tionary lander and maintained contact with the spacecraft until 9 November 1974. Images from NASA™s Lunar Reconnaissance Orbiter (LRO) in  "
IMP,Interplanetary Monitoring Platform,"The spacecraft achieved a second close flyby of the Sun on 21 September 1975 when temperatures on its solar cells reached 132°C. During its mission, the spacecraft spun once every second to evenly distribute the heat coming from the Sun, 90% of which was reflected by optical surface mirrors. Its data indicated the presence of 15 times more micrometeoroids close to the Sun than there are near Earth. Helios 1™s data was correlated with  the Interplanetary Monitoring Platform (IMP) Explorers 47 and 50 in Earth orbit, the Pioneer solar orbiters, and Pioneer 10 and 11 leaving the solar system. Data was received through the late 1970s and early 1980s but after 1984, both pri-mary and backup receivers failed and the high-gain antenna lost tracking of Earth. Last telemetry from  "
ISV,4. mass spectrometer 5. anemometer,Launch Site: NIIP-5 / Site 81/24 Scientific Instruments:Orbiter: 1. imaging system 2. infrared radiometer 3. infrared radiometer 4. photometer 5. photopolarimeter 6. ultraviolet imaging spectrometer 7. radiophysics experiment 8. magnetometer 9. plasma electrostatic spectrometer 10. charged particle trapsLander: 1. panoramic imaging system 2. 5 thermometers 3. 6 barometers 4. mass spectrometer 5. anemometer (ISV) 6. IOV-75 photometers 
ISV,4. mass spectrometer 5. anemometer,1975   2. 5 thermometers 3. 6 barometers 4. mass spectrometer 5. anemometer (ISV) 6. IOV-75 photometers 
VIS,imaging system (2 vidicon cameras),Launch Site: Cape Canaveral / Launch Complex 41 Scientific Instruments:Orbiter:1. imaging system (2 vidicon cameras) (VIS)2. infrared spectrometer for water vapor map-ping (MAWD) 
MAWD,spectrometer for water vapor map ping,Launch Site: Cape Canaveral / Launch Complex 41 Scientific Instruments:Orbiter:1. imaging system (2 vidicon cameras) (VIS)2. infrared spectrometer for water vapor map-ping (MAWD) 
IRTM,3. infrared radiometer for thermal mapping,"Scientific Instruments:Orbiter:1. imaging system (2 vidicon cameras) (VIS)2. infrared spectrometer for water vapor map-ping (MAWD) 3. infrared radiometer for thermal mapping (IRTM)Lander:1. imaging system (2 facsimile cameras)2. gas chromatograph mass spectrometer (GCMS)3. seismometer4. x-ray fluorescence spectrometer5. biological laboratory6. weather instrument package (temperature, pressure, wind velocity)7. remote sampler armAeroshell:1. retarding potential analyzer2. upper-atmosphere mass spectrometer "
GCMS,facsimile cameras)2. gas chromatograph mass spectrometer,"Scientific Instruments:Orbiter:1. imaging system (2 vidicon cameras) (VIS)2. infrared spectrometer for water vapor map-ping (MAWD) 3. infrared radiometer for thermal mapping (IRTM)Lander:1. imaging system (2 facsimile cameras)2. gas chromatograph mass spectrometer (GCMS)3. seismometer4. x-ray fluorescence spectrometer5. biological laboratory6. weather instrument package (temperature, pressure, wind velocity)7. remote sampler armAeroshell:1. retarding potential analyzer2. upper-atmosphere mass spectrometer "
VIS,imaging system (2 vidicon cameras),UTLaunch Site: Cape Canaveral / Launch Complex 41 Scientific Instruments:Orbiter:1. imaging system (2 vidicon cameras) (VIS)2. infrared spectrometer for water vapor map-ping (MAWD) 
MAWD,spectrometer for water vapor map ping,UTLaunch Site: Cape Canaveral / Launch Complex 41 Scientific Instruments:Orbiter:1. imaging system (2 vidicon cameras) (VIS)2. infrared spectrometer for water vapor map-ping (MAWD) 
IRTM,3. infrared radiometer for thermal mapping,"Scientific Instruments:Orbiter:1. imaging system (2 vidicon cameras) (VIS)2. infrared spectrometer for water vapor map-ping (MAWD) 3. infrared radiometer for thermal mapping (IRTM)Lander:1. imaging system (2 facsimile cameras)2. gas chromatograph mass spectrometer (GCMS)3. seismometer4. x-ray fluorescence spectrometer5. biological laboratory6. weather instrument package (temperature, pressure, wind velocity)7. remote sampler armAeroshell:1. retarding potential analyzer2. upper-atmosphere mass spectrometer "
GCMS,facsimile cameras)2. gas chromatograph mass spectrometer,"Scientific Instruments:Orbiter:1. imaging system (2 vidicon cameras) (VIS)2. infrared spectrometer for water vapor map-ping (MAWD) 3. infrared radiometer for thermal mapping (IRTM)Lander:1. imaging system (2 facsimile cameras)2. gas chromatograph mass spectrometer (GCMS)3. seismometer4. x-ray fluorescence spectrometer5. biological laboratory6. weather instrument package (temperature, pressure, wind velocity)7. remote sampler armAeroshell:1. retarding potential analyzer2. upper-atmosphere mass spectrometer "
LRO,Lunar Reconnaissance Orbiter,"24 sample puzzled investigators because its tita-nium content and ﬁmaturityﬂ (amount of time the sample was exposed to the space environment) were very different than expected at Mare Crisium. Images from NASA™s Lunar Reconnaissance  Orbiter (LRO) in 2012 showed that lander sam-pled impact ejecta from a nearby 64-meter diam-eter crater that brought up material from deeper lava flows that had not been previously exposed to the space environment. Thus, the Luna 24 sample probably represented subsurface materials only exposed to the space environment for a relatively short time. LRO images helped refine the landing target area as 12.7146° N / 62.2129°˜E, which was  "
ISS,Instruments: 1. imaging science system,Launch Site: Cape Canaveral / Launch Complex 41 Scientific Instruments: 1. imaging science system (ISS) 2. ultraviolet spectrometer (UVS) 3. 
UVS,system (ISS) 2. ultraviolet spectrometer,Launch Site: Cape Canaveral / Launch Complex 41 Scientific Instruments: 1. imaging science system (ISS) 2. ultraviolet spectrometer (UVS) 3. 
IRIS,(UVS) 3. infrared interferometer spectrometer,Scientific Instruments: 1. imaging science system (ISS) 2. ultraviolet spectrometer (UVS) 3.  infrared interferometer spectrometer (IRIS) 4. planetary radio astronomy experiment (PRA) 5. photopolarimeter (PPS) 6. triaxial fluxgate magnetometer (MAG) 7. plasma spectrometer (PLS) 8. low-energy charged particles experiment (LECP) 9. plasma waves experiment (PWS) 10. cosmic ray telescope (CRS) 11. radio science system (RSS)One of the two Voyager Golden Records displayed with a  
PRA,4. planetary radio astronomy experiment,Scientific Instruments: 1. imaging science system (ISS) 2. ultraviolet spectrometer (UVS) 3.  infrared interferometer spectrometer (IRIS) 4. planetary radio astronomy experiment (PRA) 5. photopolarimeter (PPS) 6. triaxial fluxgate magnetometer (MAG) 7. plasma spectrometer (PLS) 8. low-energy charged particles experiment (LECP) 9. plasma waves experiment (PWS) 10. cosmic ray telescope (CRS) 11. radio science system (RSS)One of the two Voyager Golden Records displayed with a  
PPS,astronomy experiment (PRA) 5. photopolarimeter,Scientific Instruments: 1. imaging science system (ISS) 2. ultraviolet spectrometer (UVS) 3.  infrared interferometer spectrometer (IRIS) 4. planetary radio astronomy experiment (PRA) 5. photopolarimeter (PPS) 6. triaxial fluxgate magnetometer (MAG) 7. plasma spectrometer (PLS) 8. low-energy charged particles experiment (LECP) 9. plasma waves experiment (PWS) 10. cosmic ray telescope (CRS) 11. radio science system (RSS)One of the two Voyager Golden Records displayed with a  
MAG,(PPS) 6. triaxial fluxgate magnetometer,Scientific Instruments: 1. imaging science system (ISS) 2. ultraviolet spectrometer (UVS) 3.  infrared interferometer spectrometer (IRIS) 4. planetary radio astronomy experiment (PRA) 5. photopolarimeter (PPS) 6. triaxial fluxgate magnetometer (MAG) 7. plasma spectrometer (PLS) 8. low-energy charged particles experiment (LECP) 9. plasma waves experiment (PWS) 10. cosmic ray telescope (CRS) 11. radio science system (RSS)One of the two Voyager Golden Records displayed with a  
PLS,magnetometer (MAG) 7. plasma spectrometer,Scientific Instruments: 1. imaging science system (ISS) 2. ultraviolet spectrometer (UVS) 3.  infrared interferometer spectrometer (IRIS) 4. planetary radio astronomy experiment (PRA) 5. photopolarimeter (PPS) 6. triaxial fluxgate magnetometer (MAG) 7. plasma spectrometer (PLS) 8. low-energy charged particles experiment (LECP) 9. plasma waves experiment (PWS) 10. cosmic ray telescope (CRS) 11. radio science system (RSS)One of the two Voyager Golden Records displayed with a  
LECP,8. low energy charged particles experiment,Scientific Instruments: 1. imaging science system (ISS) 2. ultraviolet spectrometer (UVS) 3.  infrared interferometer spectrometer (IRIS) 4. planetary radio astronomy experiment (PRA) 5. photopolarimeter (PPS) 6. triaxial fluxgate magnetometer (MAG) 7. plasma spectrometer (PLS) 8. low-energy charged particles experiment (LECP) 9. plasma waves experiment (PWS) 10. cosmic ray telescope (CRS) 11. radio science system (RSS)One of the two Voyager Golden Records displayed with a  
PWS,(LECP) 9. plasma waves experiment,Scientific Instruments: 1. imaging science system (ISS) 2. ultraviolet spectrometer (UVS) 3.  infrared interferometer spectrometer (IRIS) 4. planetary radio astronomy experiment (PRA) 5. photopolarimeter (PPS) 6. triaxial fluxgate magnetometer (MAG) 7. plasma spectrometer (PLS) 8. low-energy charged particles experiment (LECP) 9. plasma waves experiment (PWS) 10. cosmic ray telescope (CRS) 11. radio science system (RSS)One of the two Voyager Golden Records displayed with a  
CRS,(PWS) 10. cosmic ray telescope,Scientific Instruments: 1. imaging science system (ISS) 2. ultraviolet spectrometer (UVS) 3.  infrared interferometer spectrometer (IRIS) 4. planetary radio astronomy experiment (PRA) 5. photopolarimeter (PPS) 6. triaxial fluxgate magnetometer (MAG) 7. plasma spectrometer (PLS) 8. low-energy charged particles experiment (LECP) 9. plasma waves experiment (PWS) 10. cosmic ray telescope (CRS) 11. radio science system (RSS)One of the two Voyager Golden Records displayed with a  
RSS,(CRS) 11. radio science system,Scientific Instruments: 1. imaging science system (ISS) 2. ultraviolet spectrometer (UVS) 3.  infrared interferometer spectrometer (IRIS) 4. planetary radio astronomy experiment (PRA) 5. photopolarimeter (PPS) 6. triaxial fluxgate magnetometer (MAG) 7. plasma spectrometer (PLS) 8. low-energy charged particles experiment (LECP) 9. plasma waves experiment (PWS) 10. cosmic ray telescope (CRS) 11. radio science system (RSS)One of the two Voyager Golden Records displayed with a  
RTGs,plutonium dioxide radioisotope thermoelectric generators,Power was provided by three plutonium dioxide  radioisotope thermoelectric generators (RTGs) mounted at the end of a boom. Although launched  
VIM,Interstellar Mission,entire project the Voyager Interstellar Mission  (VIM). Of the four spacecraft sent out to beyond  
ISS,Instruments: 1. imaging science system,Credit: NASA/JPL Scientific Instruments: 1. imaging science system (ISS) 2. ultraviolet spectrometer (UVS) 3. 
UVS,system (ISS) 2. ultraviolet spectrometer,Credit: NASA/JPL Scientific Instruments: 1. imaging science system (ISS) 2. ultraviolet spectrometer (UVS) 3. 
IRIS,(UVS) 3. infrared interferometer spectrometer,Scientific Instruments: 1. imaging science system (ISS) 2. ultraviolet spectrometer (UVS) 3.  infrared interferometer spectrometer (IRIS) 4. 
PRA,planetary radio astronomy experiment," infrared interferometer spectrometer (IRIS) 4.  planetary radio astronomy experiment (PRA) 5. photopolarimeter (PPS) 6. triaxial fluxgate magnetometer (MAG) 7. plasma spectrometer (PLS) 8. low-energy charged particles experiment (LECP) 9. plasma waves experiment (PWS) 10. cosmic ray telescope (CRS) 11. radio science system (RSS)Results: Voyager 1 was launched after Voyager 2,  "
PPS,astronomy experiment (PRA) 5. photopolarimeter," infrared interferometer spectrometer (IRIS) 4.  planetary radio astronomy experiment (PRA) 5. photopolarimeter (PPS) 6. triaxial fluxgate magnetometer (MAG) 7. plasma spectrometer (PLS) 8. low-energy charged particles experiment (LECP) 9. plasma waves experiment (PWS) 10. cosmic ray telescope (CRS) 11. radio science system (RSS)Results: Voyager 1 was launched after Voyager 2,  "
MAG,(PPS) 6. triaxial fluxgate magnetometer," infrared interferometer spectrometer (IRIS) 4.  planetary radio astronomy experiment (PRA) 5. photopolarimeter (PPS) 6. triaxial fluxgate magnetometer (MAG) 7. plasma spectrometer (PLS) 8. low-energy charged particles experiment (LECP) 9. plasma waves experiment (PWS) 10. cosmic ray telescope (CRS) 11. radio science system (RSS)Results: Voyager 1 was launched after Voyager 2,  "
PLS,magnetometer (MAG) 7. plasma spectrometer," infrared interferometer spectrometer (IRIS) 4.  planetary radio astronomy experiment (PRA) 5. photopolarimeter (PPS) 6. triaxial fluxgate magnetometer (MAG) 7. plasma spectrometer (PLS) 8. low-energy charged particles experiment (LECP) 9. plasma waves experiment (PWS) 10. cosmic ray telescope (CRS) 11. radio science system (RSS)Results: Voyager 1 was launched after Voyager 2,  "
LECP,8. low energy charged particles experiment," infrared interferometer spectrometer (IRIS) 4.  planetary radio astronomy experiment (PRA) 5. photopolarimeter (PPS) 6. triaxial fluxgate magnetometer (MAG) 7. plasma spectrometer (PLS) 8. low-energy charged particles experiment (LECP) 9. plasma waves experiment (PWS) 10. cosmic ray telescope (CRS) 11. radio science system (RSS)Results: Voyager 1 was launched after Voyager 2,  "
PWS,(LECP) 9. plasma waves experiment," infrared interferometer spectrometer (IRIS) 4.  planetary radio astronomy experiment (PRA) 5. photopolarimeter (PPS) 6. triaxial fluxgate magnetometer (MAG) 7. plasma spectrometer (PLS) 8. low-energy charged particles experiment (LECP) 9. plasma waves experiment (PWS) 10. cosmic ray telescope (CRS) 11. radio science system (RSS)Results: Voyager 1 was launched after Voyager 2,  "
CRS,(PWS) 10. cosmic ray telescope," infrared interferometer spectrometer (IRIS) 4.  planetary radio astronomy experiment (PRA) 5. photopolarimeter (PPS) 6. triaxial fluxgate magnetometer (MAG) 7. plasma spectrometer (PLS) 8. low-energy charged particles experiment (LECP) 9. plasma waves experiment (PWS) 10. cosmic ray telescope (CRS) 11. radio science system (RSS)Results: Voyager 1 was launched after Voyager 2,  "
RSS,(CRS) 11. radio science system," infrared interferometer spectrometer (IRIS) 4.  planetary radio astronomy experiment (PRA) 5. photopolarimeter (PPS) 6. triaxial fluxgate magnetometer (MAG) 7. plasma spectrometer (PLS) 8. low-energy charged particles experiment (LECP) 9. plasma waves experiment (PWS) 10. cosmic ray telescope (CRS) 11. radio science system (RSS)Results: Voyager 1 was launched after Voyager 2,  "
VIM,Voyager Interstellar Mission,"Carl Sagan (1934-1996). These were the last of a total of 67,000 images taken by the two spacecraft. All the planetary encounters finally over in 1989, the missions of Voyager 1 and 2 were declared part  of the Voyager Interstellar Mission (VIM), which  "
ORPA,charged particle retarding potential ana lyzer,Launch Site: Cape Canaveral / Launch Complex 36A Scientific Instruments: 1. charged particle retarding potential ana-lyzer (ORPA) 
OIMS,(ORPA) 2. ion mass spectrometer,Scientific Instruments: 1. charged particle retarding potential ana-lyzer (ORPA)  2. ion mass spectrometer (OIMS) 3. thermal electron temperature Langmuir probe (OETP) 4. 
OETP,3. thermal electron temperature Langmuir probe,Scientific Instruments: 1. charged particle retarding potential ana-lyzer (ORPA)  2. ion mass spectrometer (OIMS) 3. thermal electron temperature Langmuir probe (OETP) 4. 
ONMS,4. neutral particle mass spectrometer, 2. ion mass spectrometer (OIMS) 3. thermal electron temperature Langmuir probe (OETP) 4.  neutral particle mass spectrometer (ONMS) 5. cloud photopolarimeter (OCPP) 6. temperature sounding infrared radiometer (OIR) 7. magnetic field fluxgate magnetometer (OMAG) 8. solar wind plasma analyzer (OPA) 
OCPP,mass spectrometer (ONMS) 5. cloud photopolarimeter, 2. ion mass spectrometer (OIMS) 3. thermal electron temperature Langmuir probe (OETP) 4.  neutral particle mass spectrometer (ONMS) 5. cloud photopolarimeter (OCPP) 6. temperature sounding infrared radiometer (OIR) 7. magnetic field fluxgate magnetometer (OMAG) 8. solar wind plasma analyzer (OPA) 
OIR,6. temperature sounding infrared radiometer, 2. ion mass spectrometer (OIMS) 3. thermal electron temperature Langmuir probe (OETP) 4.  neutral particle mass spectrometer (ONMS) 5. cloud photopolarimeter (OCPP) 6. temperature sounding infrared radiometer (OIR) 7. magnetic field fluxgate magnetometer (OMAG) 8. solar wind plasma analyzer (OPA) 
OMAG,(OIR) 7. magnetic field fluxgate magnetometer, 2. ion mass spectrometer (OIMS) 3. thermal electron temperature Langmuir probe (OETP) 4.  neutral particle mass spectrometer (ONMS) 5. cloud photopolarimeter (OCPP) 6. temperature sounding infrared radiometer (OIR) 7. magnetic field fluxgate magnetometer (OMAG) 8. solar wind plasma analyzer (OPA) 
OPA,8. solar wind plasma analyzer, 2. ion mass spectrometer (OIMS) 3. thermal electron temperature Langmuir probe (OETP) 4.  neutral particle mass spectrometer (ONMS) 5. cloud photopolarimeter (OCPP) 6. temperature sounding infrared radiometer (OIR) 7. magnetic field fluxgate magnetometer (OMAG) 8. solar wind plasma analyzer (OPA) 
ORAD,(OPA) 9. surface radar mapper, neutral particle mass spectrometer (ONMS) 5. cloud photopolarimeter (OCPP) 6. temperature sounding infrared radiometer (OIR) 7. magnetic field fluxgate magnetometer (OMAG) 8. solar wind plasma analyzer (OPA)  9. surface radar mapper (ORAD) 10. electric field detector (OEFD) 11. transient gamma ray burst detector (OGBD) 12. radio occultation experiment 13. atmospheric and solar corona turbulence experiment 14. drag measurements experiment 15. 2 radio science experiments to determine gravity field 16. ultraviolet spectrometer (OUVS)Results: Formally approved by NASA in August  
