Term,Description,Context
USA,Launch Date1970 Responsible AgencyNASA,"Mission Typeorbiter Mission Duration5 days, 22.9 hours Launch Date1970 Responsible AgencyNASA (USA) "
DAC,millimeter Maurer data acquisition cameras,Instrument/Experiment Cameras-camera use was limited to two 70-mm Hasselblad EL cameras and two 16-millimeter Maurer data-acquisition cameras (DAC) 
USA,Launch Date1971 Responsible AgencyNASA,Mission Typelander Mission Duration9 days Launch Date1971 Responsible AgencyNASA (USA) 
PSE,Passive Seismic Experiment,"Instrument Function various experiments including a Passive Seismic Experiment (PSE), Active Seismic Experiment (ASE), Suprathermal Ion Detector Experiment (SIDE), Charged Particle Lunar Environment Experiment (CPLEE), Lunar Dust Detector (LDD) and Cold Cathode Gauge (CCG) "
ASE,Active Seismic Experiment,"Instrument Function various experiments including a Passive Seismic Experiment (PSE), Active Seismic Experiment (ASE), Suprathermal Ion Detector Experiment (SIDE), Charged Particle Lunar Environment Experiment (CPLEE), Lunar Dust Detector (LDD) and Cold Cathode Gauge (CCG) "
SIDE,Suprathermal Ion Detector Experiment,"Instrument Function various experiments including a Passive Seismic Experiment (PSE), Active Seismic Experiment (ASE), Suprathermal Ion Detector Experiment (SIDE), Charged Particle Lunar Environment Experiment (CPLEE), Lunar Dust Detector (LDD) and Cold Cathode Gauge (CCG) "
CPLEE,Charged Particle Lunar Environment Experiment,"Instrument Function various experiments including a Passive Seismic Experiment (PSE), Active Seismic Experiment (ASE), Suprathermal Ion Detector Experiment (SIDE), Charged Particle Lunar Environment Experiment (CPLEE), Lunar Dust Detector (LDD) and Cold Cathode Gauge (CCG) "
LDD,Lunar Dust Detector,"Instrument Function various experiments including a Passive Seismic Experiment (PSE), Active Seismic Experiment (ASE), Suprathermal Ion Detector Experiment (SIDE), Charged Particle Lunar Environment Experiment (CPLEE), Lunar Dust Detector (LDD) and Cold Cathode Gauge (CCG) "
CCG,Cold Cathode Gauge,"Instrument Function various experiments including a Passive Seismic Experiment (PSE), Active Seismic Experiment (ASE), Suprathermal Ion Detector Experiment (SIDE), Charged Particle Lunar Environment Experiment (CPLEE), Lunar Dust Detector (LDD) and Cold Cathode Gauge (CCG) "
ASP,Apollo Simple Penetrometer,Acronym Tool used was Apollo Simple Penetrometer (ASP) 
USA,Launch Date1971 Responsible AgencyNASA,"Mission Typelander Mission Duration12 days, 7 hours, 12 minutes Launch Date1971 Responsible AgencyNASA (USA) "
PSE,Passive Seismic Experiment,"Instrument Function various experiments including a Passive Seismic Experiment (PSE), Suprathermal Ion Detector Experiment (SIDE), Solar Wind Spectrometer (SWS), Lunar Dust Detector (LDD), Lunar Surface Magnetometer (LSM), Heat Flow Experiment (HFE) and Cold Cathode Gauge (CCG) "
SIDE,Suprathermal Ion Detector Experiment,"Instrument Function various experiments including a Passive Seismic Experiment (PSE), Suprathermal Ion Detector Experiment (SIDE), Solar Wind Spectrometer (SWS), Lunar Dust Detector (LDD), Lunar Surface Magnetometer (LSM), Heat Flow Experiment (HFE) and Cold Cathode Gauge (CCG) "
SWS,Solar Wind Spectrometer,"Instrument Function various experiments including a Passive Seismic Experiment (PSE), Suprathermal Ion Detector Experiment (SIDE), Solar Wind Spectrometer (SWS), Lunar Dust Detector (LDD), Lunar Surface Magnetometer (LSM), Heat Flow Experiment (HFE) and Cold Cathode Gauge (CCG) "
LDD,Lunar Dust Detector,"Instrument Function various experiments including a Passive Seismic Experiment (PSE), Suprathermal Ion Detector Experiment (SIDE), Solar Wind Spectrometer (SWS), Lunar Dust Detector (LDD), Lunar Surface Magnetometer (LSM), Heat Flow Experiment (HFE) and Cold Cathode Gauge (CCG) "
LSM,Lunar Surface Magnetometer,"Instrument Function various experiments including a Passive Seismic Experiment (PSE), Suprathermal Ion Detector Experiment (SIDE), Solar Wind Spectrometer (SWS), Lunar Dust Detector (LDD), Lunar Surface Magnetometer (LSM), Heat Flow Experiment (HFE) and Cold Cathode Gauge (CCG) "
HFE,Heat Flow Experiment,"Instrument Function various experiments including a Passive Seismic Experiment (PSE), Suprathermal Ion Detector Experiment (SIDE), Solar Wind Spectrometer (SWS), Lunar Dust Detector (LDD), Lunar Surface Magnetometer (LSM), Heat Flow Experiment (HFE) and Cold Cathode Gauge (CCG) "
CCG,Cold Cathode Gauge,"Instrument Function various experiments including a Passive Seismic Experiment (PSE), Suprathermal Ion Detector Experiment (SIDE), Solar Wind Spectrometer (SWS), Lunar Dust Detector (LDD), Lunar Surface Magnetometer (LSM), Heat Flow Experiment (HFE) and Cold Cathode Gauge (CCG) "
SRP,Self Recording Penetrometer,Acronym Tool used was Self-Recording Penetrometer (SRP) 
USA,Launch Date1972 Responsible AgencyNASA,"Mission Typelander Mission Duration11 days, 1 hour, 51 minutes Launch Date1972 Responsible AgencyNASA (USA) "
PSE,Passive Seismic Experiment,"Instrument Function various experiments including a Passive Seismic Experiment (PSE), Active Seismic Experiment (ASE), Lunar Surface Magnetometer (LSM) and Heat Flow Experiment (HFE) "
ASE,Active Seismic Experiment,"Instrument Function various experiments including a Passive Seismic Experiment (PSE), Active Seismic Experiment (ASE), Lunar Surface Magnetometer (LSM) and Heat Flow Experiment (HFE) "
LSM,Lunar Surface Magnetometer,"Instrument Function various experiments including a Passive Seismic Experiment (PSE), Active Seismic Experiment (ASE), Lunar Surface Magnetometer (LSM) and Heat Flow Experiment (HFE) "
HFE,Heat Flow Experiment,"Instrument Function various experiments including a Passive Seismic Experiment (PSE), Active Seismic Experiment (ASE), Lunar Surface Magnetometer (LSM) and Heat Flow Experiment (HFE) "
SRP,Self Recording Penetrometer,Acronym Tool used was Self-Recording Penetrometer (SRP) 
USA,Launch Date1972 Responsible AgencyNASA,"Mission Typelander Mission Duration12 days, 13 hours, 52 minutes Launch Date1972 Responsible AgencyNASA (USA) "
HFE,Heat Flow Experiment,"Instrument Function various experiments including a Heat Flow Experiment (HFE), Lunar Ejecta and Meteorites Experiment (LEAM), Lunar Surface Gravimeter (LSG), Lunar Atmospheric Composition Experiment (LACE) and Lunar Seismic Profiling Experiment (LSP) "
LEAM,Lunar Ejecta and Meteorites Experiment,"Instrument Function various experiments including a Heat Flow Experiment (HFE), Lunar Ejecta and Meteorites Experiment (LEAM), Lunar Surface Gravimeter (LSG), Lunar Atmospheric Composition Experiment (LACE) and Lunar Seismic Profiling Experiment (LSP) "
LSG,Lunar Surface Gravimeter,"Instrument Function various experiments including a Heat Flow Experiment (HFE), Lunar Ejecta and Meteorites Experiment (LEAM), Lunar Surface Gravimeter (LSG), Lunar Atmospheric Composition Experiment (LACE) and Lunar Seismic Profiling Experiment (LSP) "
LACE,Lunar Atmospheric Composition Experiment,"Instrument Function various experiments including a Heat Flow Experiment (HFE), Lunar Ejecta and Meteorites Experiment (LEAM), Lunar Surface Gravimeter (LSG), Lunar Atmospheric Composition Experiment (LACE) and Lunar Seismic Profiling Experiment (LSP) "
LSP,Seismic Profiling Experiment,"Instrument Function various experiments including a Heat Flow Experiment (HFE), Lunar Ejecta and Meteorites Experiment (LEAM), Lunar Surface Gravimeter (LSG), Lunar Atmospheric Composition Experiment (LACE) and Lunar Seismic Profiling Experiment (LSP) "
USA,Launch Date2010 Responsible AgencyNASA,Mission Typeorbiter Mission Duration08/25/2010 - Launch Date2010 Responsible AgencyNASA (USA) 
FWHM,25 km,Resolution 25 km (FWHM) 
FWHM,33 km,Resolution 33 km (FWHM) 
LENA,Category low energy neutral atom,Observation Category low energy neutral atom (LENA) and solar wind monitor 
BOL,~200 eV at 6 keV,Resolution spectral resolution ~200 eV at 6 keV (BOL) 
USA,Date1994 Responsible AgencyDOD / NASA,Mission Typeorbiter Mission Duration01/25/1994-6/0/1994 Launch Date1994 Responsible AgencyDOD / NASA (USA) 
USA,Launch Date2011 Responsible AgencyNASA,Mission Typeorbiter Mission Duration Launch Date2011 Responsible AgencyNASA (USA) 
USA,Launch DateTBD Responsible AgencyNASA,Mission Typeimpactor Mission Duration Launch DateTBD Responsible AgencyNASA (USA) 
USA,Launch DateTBD Responsible AgencyNASA,Mission Typeorbiter Mission Duration Launch DateTBD Responsible AgencyNASA (USA) 
USSR,Duration1/2/1959 Launch Date1959 Responsible Agencyunknown,Mission Typefly by Mission Duration1/2/1959 Launch Date1959 Responsible Agencyunknown (USSR) 
USSR,Duration09/12/1959 09/12/1959 Launch Date1959 Responsible Agencyunknown,Mission Typelander Mission Duration09/12/1959-09/12/1959 Launch Date1959 Responsible Agencyunknown (USSR) 
USSR,10/22/1959 Launch Date1959 Responsible Agencyunknown,Mission Typefly by Mission Duration10/4/1959 - 10/22/1959 Launch Date1959 Responsible Agencyunknown (USSR) 
USSR,4/7/1963 Launch Date1963 Responsible Agencyunknown,Mission Typefly by Mission Duration4/2/1963 - 4/7/1963 Launch Date1963 Responsible Agencyunknown (USSR) 
USSR,Duration5/9/1965 Launch Date1965 Responsible Agencyunknown,Mission Typelander Mission Duration5/9/1965 Launch Date1965 Responsible Agencyunknown (USSR) 
USSR,Duration6/8/1965 Launch Date1965 Responsible Agencyunknown,Mission Typelander Mission Duration6/8/1965 Launch Date1965 Responsible Agencyunknown (USSR) 
USSR,10/07/1965 Launch Date1965 Responsible Agencyunknown,Mission Typelander Mission Duration10/4/1965 - 10/07/1965 Launch Date1965 Responsible Agencyunknown (USSR) 
USSR,12/06/1965 Launch Date1965 Responsible Agencyunknown,Mission Typelander Mission Duration12//03/1965 - 12/06/1965 Launch Date1965 Responsible Agencyunknown (USSR) 
USSR,Duration1/31/1966 02/06/1966 Launch Date1966 Responsible Agencyunknown,Mission Typelander Mission Duration1/31/1966 -02/06/1966 Launch Date1966 Responsible Agencyunknown (USSR) 
USSR,Duration03/31/1966 05/30/1966 Launch Date1966 Responsible Agencyunknown,Mission Typeorbiter Mission Duration03/31/1966-05/30/1966 Launch Date1966 Responsible Agencyunknown (USSR) 
USSR,Duration08/24/1966 10/01/1966 Launch Date1966 Responsible Agencyunknown,Mission Typeorbiter Mission Duration08/24/1966-10/01/1966 Launch Date1966 Responsible Agencyunknown (USSR) 
USSR,01/19/1967 Launch Date1966 Responsible Agencyunknown,Mission Typeorbiter Mission Duration10/22/1966 - 01/19/1967 Launch Date1966 Responsible Agencyunknown (USSR) 
USSR,~12/30/1966 Launch Date1966 Responsible Agencyunknown,Mission Typelander Mission Duration12/21/1966 - ~12/30/1966 Launch Date1966 Responsible Agencyunknown (USSR) 
USSR,Duration4/7/1968 Launch Date1968 Responsible Agencyunknown,Mission Typeorbiter Mission Duration4/7/1968 Launch Date1968 Responsible Agencyunknown (USSR) 
USSR,Duration07/13/1969 07/21/1969 Launch Date1969 Responsible Agencyunknown,Mission Typelander Mission Duration07/13/1969-07/21/1969 Launch Date1969 Responsible Agencyunknown (USSR) 
USSR,Duration9/12/1970 9/24/1970 Launch Date1970 Responsible Agencyunknown,Mission Typesample return Mission Duration9/12/1970-9/24/1970 Launch Date1970 Responsible Agencyunknown (USSR) 
USSR,Duration11/10/1970 Launch Date1970 Responsible Agencyunknown,Mission Typelander Mission Duration11/10/1970- Launch Date1970 Responsible Agencyunknown (USSR) 
USSR,Duration09/07/1971 09/11/1971 Launch Date1971 Responsible Agencyunknown,Mission Typelander Mission Duration09/07/1971-09/11/1971 Launch Date1971 Responsible Agencyunknown (USSR) 
USSR,Duration9/28/1971 Launch Date1971 Responsible Agencyunknown,Mission Typeorbiter Mission Duration9/28/1971 Launch Date1971 Responsible Agencyunknown (USSR) 
USSR,Duration02/14/1972 02/25/1972 Launch Date1972 Responsible Agencyunknown,Mission Typelander Mission Duration02/14/1972-02/25/1972 Launch Date1972 Responsible Agencyunknown (USSR) 
USSR,Duration01/08/1973 6/0/1973 Launch Date1973 Responsible Agencyunknown,Mission Typelander Mission Duration01/08/1973-6/0/1973 Launch Date1973 Responsible Agencyunknown (USSR) 
USSR,Duration05/29/1974 11/0/1974 Launch Date1974 Responsible Agencyunknown,Mission Typeorbiter Mission Duration05/29/1974-11/0/1974 Launch Date1974 Responsible Agencyunknown (USSR) 
USSR,Duration10/28/1974 10/31/1974 Launch Date1974 Responsible Agencyunknown,Mission Typelander Mission Duration10/28/1974-10/31/1974 Launch Date1974 Responsible Agencyunknown (USSR) 
USSR,Duration08/09/1976 8/22/1976 Launch Date1976 Responsible Agencyunknown,Mission Typesample return Mission Duration08/09/1976-8/22/1976 Launch Date1976 Responsible Agencyunknown (USSR) 
USA,Launch Date1966 Responsible AgencyNASA,Mission Typeorbiter/impactor Mission Duration08/10/1966-10/29/1966 Launch Date1966 Responsible AgencyNASA (USA) 
USA,Launch Date1966 Responsible AgencyNASA,Mission Typeorbiter/impactor Mission Duration11/06/1966-10/11/1967 Launch Date1966 Responsible AgencyNASA (USA) 
USA,Launch Date1967 Responsible AgencyNASA,Mission Typeorbiter/impactor Mission Duration02/05/1967-10/09/1967 Launch Date1967 Responsible AgencyNASA (USA) 
USA,Launch Date1967 Responsible AgencyNASA,Mission Typeorbiter/impactor Mission Duration05/04/1967-10/31/1967 Launch Date1967 Responsible AgencyNASA (USA) 
USA,Launch Date1967 Responsible AgencyNASA,Mission Typeorbiter/impactor Mission Duration08/01/1967-01/31/1968 Launch Date1967 Responsible AgencyNASA (USA) 
USA,Launch Date1998 Responsible AgencyNASA,Mission Typeorbiter/impactor Mission Duration01/07/1998-07/31/1999 Launch Date1998 Responsible AgencyNASA (USA) 
USSR,Duration11/10/1970 10/04/1971 Launch Date1970 Responsible Agencyunknown,Mission Typerover Mission Duration11/10/1970-10/04/1971 Launch Date1970 Responsible Agencyunknown (USSR) 
USSR,Duration01/08/1973 06/0/1973 Launch Date1973 Responsible Agencyunknown,Mission Typerover Mission Duration01/08/1973-06/0/1973 Launch Date1973 Responsible Agencyunknown (USSR) 
USA,Launch Date1958 Responsible AgencyNASA,Mission Typeorbit Mission Duration Launch Date1958 Responsible AgencyNASA (USA) 
USA,Launch Date1958 Responsible AgencyNASA,Mission Typeflyby Mission Duration Launch Date1958 Responsible AgencyNASA (USA) 
USA,Launch Date1959 Responsible AgencyNASA,Mission Typeflyby Mission Duration Launch Date1959 Responsible AgencyNASA (USA) 
USA,Launch Date1958 Responsible AgencyNASA,Mission Typeorbit Mission Duration Launch Date1958 Responsible AgencyNASA (USA) 
USA,Launch Date1964 Responsible AgencyNASA,Mission Typelander Mission Duration07/28/1964-07/31/1964 Launch Date1964 Responsible AgencyNASA (USA) 
USA,Launch Date1965 Responsible AgencyNASA,Mission Typelander Mission Duration02/17/1965-02/20/1965 (64.9 hours) Launch Date1965 Responsible AgencyNASA (USA) 
USA,Launch Date1965 Responsible AgencyNASA,Mission Typelander Mission Duration03/21/1965-03/24/1965 (64.5 hours) Launch Date1965 Responsible AgencyNASA (USA) 
EOL,350 eV at 6 keV,"Resolution spectral resolution ~250eV at 6 keV (BOL, 350 eV at 6 keV (EOL) "
USA,Launch Date1966 Responsible AgencyNASA,Mission Typelander Mission Duration5/30/1966 - 1/07/1967 Launch Date1966 Responsible AgencyNASA (USA) 
USA,Launch Date1966 Responsible AgencyNASA,Mission Typelander Mission Duration09/20/1966 - 09/23/1966 Launch Date1966 Responsible AgencyNASA (USA) 
USA,Launch Date1967 Responsible AgencyNASA,duration 65 hours Launch Date1967 Responsible AgencyNASA (USA) 
USA,Launch Date1967 Responsible AgencyNASA,Mission Typelander Mission Duration07/14/1967-07/17/1967 Launch Date1967 Responsible AgencyNASA (USA) 
USA,Launch Date1967 Responsible AgencyNASA,Mission Typelander Mission Duration09/08/1967-12/17/1967 Launch Date1967 Responsible AgencyNASA (USA) 
USA,Launch Date1967 Responsible AgencyNASA,Mission Typelander Mission Duration11/07/1967-11/24/1967 Launch Date1967 Responsible AgencyNASA (USA) 
USA,Launch Date1968 Responsible AgencyNASA,"Mission Typelander Mission Duration01/07/1968, duration 36 hours- 21 minutes Launch Date1968 Responsible AgencyNASA (USA) "
USSR,Duration07/18/1965 Launch Date1965 Responsible Agencyunknown,Mission Typefly by Mission Duration07/18/1965- Launch Date1965 Responsible Agencyunknown (USSR) 
USSR,09/21/1968 Launch Date1968 Responsible Agencyunknown,Mission Typefly by Mission Duration09/14/1968 - 09/21/1968 Launch Date1968 Responsible Agencyunknown (USSR) 
USSR,Date1969 Responsible AgencySoviet Academy of Sciences,Mission Typefly by Mission Duration 08/07/1969 - 8/14/1969 Launch Date1969 Responsible AgencySoviet Academy of Sciences (USSR) 
USSR,Date1970 Responsible AgencySoviet Academy of Sciences,Mission Typefly by Mission Duration10/20/1970 - 10-27-1970 Launch Date1970 Responsible AgencySoviet Academy of Sciences (USSR) 
