Term,Description,Context
FGDC,Federal Geographic Data Committee,"Euler Angles: All the NAIF orientation models use three Euler angles to describe body orientation. The Euler angles describe the orientation of the coordinate axes of the 'body equator and prime meridian' system with respect to the J2000 system. For more information, refer to Right Ascension (RA), Declination (Dec) and Prime Meridian (W) FGDC: The Federal Geographic Data Committee (FGDC) is an interagency committee that promotes the coordinated development, use, sharing, and dissemination of geospatial data on a national basis. FGDC activities are administered through the FGDC Secretariat, hosted by the U.S. Geological Survey. The FGDC is responsible for the development of the Content Standard for Digital Geospatial Metadata, the standard USGS scientists use to document datasets. "
GIS,GIS: A geographical information system,"FGDC: The Federal Geographic Data Committee (FGDC) is an interagency committee that promotes the coordinated development, use, sharing, and dissemination of geospatial data on a national basis. FGDC activities are administered through the FGDC Secretariat, hosted by the U.S. Geological Survey. The FGDC is responsible for the development of the Content Standard for Digital Geospatial Metadata, the standard USGS scientists use to document datasets. GIS: A geographical information system (GIS) integrates hardware, software, and data for capturing, managing, analyzing, and displaying all forms of geographically referenced information. A GIS allows one to view, understand, question, interpret, and visualize data in many ways that reveal relationships, patterns, and trends in the form of maps, globes, reports, and charts. "
ILIADS,Integrated Lunar Information Architecture for Decision Support,"IAU: The International Astronomical Union ILIADS: Integrated Lunar Information Architecture for Decision Support (ILIADS) is a lunar GIS that executes on a user-provided laptop or desk side computer. ILIADS supports 3D visualizations of the lunar surface, a suite of quantitative analysis tools, and analysis functions that can be invoked by user-developed scripts. "
INC,Angle: The incidence angle,"ILIADS: Integrated Lunar Information Architecture for Decision Support (ILIADS) is a lunar GIS that executes on a user-provided laptop or desk side computer. ILIADS supports 3D visualizations of the lunar surface, a suite of quantitative analysis tools, and analysis functions that can be invoked by user-developed scripts. Incidence Angle: The incidence angle (INC) is the angle between the sun and the surface normal. ISIS applications use SPICE to compute this angle from the ellipsoid or the elevation model (e.g., local slopes) at every pixel. Incidence Angle is in degrees. The valid range is between 0 - 90. Data can be illuminated beyond the 90 degrees in the deep terminator region. While this is valid, most photometric functions will not normalize beyond 90 degrees. Incidence Angle is in degrees. "
JAXA,Japan Aerospace Exploration Agency,"JPG2000: Jpeg2000 is an image format which uses a compression techniques based on wavelet technology. Images served from here are generally lossless but can be lossy if the space savings is needed. For larger Jp2 files, generally only scientific applications can be used to view them. The GeoJpeg2000 contains a GeoTiff-type spatial header within the Jpeg2000 file for mapping applications. Kaguya: The Japan Aerospace Exploration Agency (JAXA) launched ""KAGUYA (SELENE)"" by the H-IIA Launch Vehicle on September 14, 2007 from Tanegashima Space Center (TNSC). The major objectives of the ""KAGUYA"" mission are to obtain scientific data of the lunar origin and evolution and to develop the technology for the future lunar exploration. "
SELENE,"The Japan Aerospace Exploration Agency (JAXA) launched ""KAGUYA","JPG2000: Jpeg2000 is an image format which uses a compression techniques based on wavelet technology. Images served from here are generally lossless but can be lossy if the space savings is needed. For larger Jp2 files, generally only scientific applications can be used to view them. The GeoJpeg2000 contains a GeoTiff-type spatial header within the Jpeg2000 file for mapping applications. Kaguya: The Japan Aerospace Exploration Agency (JAXA) launched ""KAGUYA (SELENE)"" by the H-IIA Launch Vehicle on September 14, 2007 from Tanegashima Space Center (TNSC). The major objectives of the ""KAGUYA"" mission are to obtain scientific data of the lunar origin and evolution and to develop the technology for the future lunar exploration. "
TNSC,"14, 2007 from Tanegashima Space Center","JPG2000: Jpeg2000 is an image format which uses a compression techniques based on wavelet technology. Images served from here are generally lossless but can be lossy if the space savings is needed. For larger Jp2 files, generally only scientific applications can be used to view them. The GeoJpeg2000 contains a GeoTiff-type spatial header within the Jpeg2000 file for mapping applications. Kaguya: The Japan Aerospace Exploration Agency (JAXA) launched ""KAGUYA (SELENE)"" by the H-IIA Launch Vehicle on September 14, 2007 from Tanegashima Space Center (TNSC). The major objectives of the ""KAGUYA"" mission are to obtain scientific data of the lunar origin and evolution and to develop the technology for the future lunar exploration. "
LO,Lunar Orbiter,"LIS: LIS [Low Instrument Saturation] is an instrument special pixel value that is tracked and reported to the user. LIS is set during the ingestion of the image data into ISIS. The input image sensor acquired a value too low to be measured accurately. LIS represents ""Undersaturated"". LIS is set in 16-and 32-bit type image data. For 8-bit, LIS = NULL. LO: Five Lunar Orbiter (LO) missions were launched in 1966 and 1967 to study the Moon. The first three missions were devoted to mapping potential lunar landing sites. The missions of fourth and fifth were intended for broader scientific goals. "
LOLA,Lunar Orbiter Laser Altimeter,Local Solar Time: How high the sun is in the sky as seen from a particular site on the surface of a planet. The local solar time at a site on a body is the angular difference between the planetocentric longitude of the site and the planetocentric longitude of the Sun as seen from the center of the body. LOLA: The Lunar Orbiter Laser Altimeter (LOLA) is an instrument on the LRO. LOLA will provide a precise global lunar topographic model and geodetic grid. 
LROC,Lunar Reconnaissance Orbiter Camera,"LRO: Lunar Reconnaissance Orbiter launched on June 18, 2009 aboard an United Launch Alliance Atlas V rocket. The LRO instruments return global data about the Moon, such as day-night temperature maps, a global geodetic grid, high resolution color imaging and the Moon's UV albedo. However there is particular emphasis on the polar regions of the moon where continuous access to solar illumination may be possible and the prospect of water in the permanently shadowed regions at the poles may exist. Although the objectives of LRO are explorative in nature, the payload includes instruments with considerable heritage from previous planetary science missions, enabling transition, after one year, to a science phase under NASA's Science Mission Directorate. LROC: The Lunar Reconnaissance Orbiter Camera (LROC) is one of seven instruments aboard NASA's Lunar Reconnaissance Orbiter. LROC was designed to assess meter scale features to facilitate selection of future landing sites on the Moon and acquire images of the poles every orbit to characterize the polar illumination environment over a full lunar year. In addition to these two main objectives, the LROC team plans to conduct meter-scale mapping of polar regions, 3-dimensional observations to enable derivation of meter-scale surface features, global multi-spectral imaging, and produce a global landform map. LROC images will also be used to map and determine current impact hazards by re-photographing Apollo images. "
LP,Lunar Prospector,"Lunar Mapper: Lunar Mapper is a web-based digital overlay tool designed to allow the novice GIS user to interact with the LMMP products and services. Lunar Prospector: Lunar Prospector (LP) launched aboard a Lockheed Martin rocket called Athena II on January 6, 1998. The primary mission was dedicated to globally mapping lunar resources, gravity fields, and magnetic fields. "
PDS,Planetary Data System,"Off Nadir Angle: From the spacecraft, the Off Nadir is the angle between the nadir vector (subspacecraft vector) and the look vector. Every pixel in the image will result in a different Off Nadir Angle. Off Nadir Angle is in degrees. PDS: The Planetary Data System (PDS) archives and distributes scientific data from NASA planetary missions, astronomical observations, and laboratory measurements. The PDS is sponsored by NASA's Science Mission Directorate. Its purpose is to ensure the long-term usability of NASA data and to stimulate advanced research. "
PVL,Parameter Value Language,"Projection Y: Projection Y is the y-coordinate (Northing) for a point on a geographic Cartesian coordinate system PVL: Parameter Value Language (PVL) is used extensively by ISIS as a standard keyword value type language for naming and expressing data values. PVL format in ISIS is compatible with syntax used by the Planetary Data System. For example, the keyword labels of a typical ISIS image cube is in PVL format (refer to catlab in order to view image cube labels). A parameter name (or keyword name) is used to reference the value. The value portion of an assignment statement may contain a simple value (i.e., numeric, string, date/time value), a set or a sequence of values. "
RA,Right Ascension,"Reflectance: The ratio of reflected energy to incoming energy. Right Ascension: Right Ascension (RA) is one of two angles of the North Pole of a target body as a function of time. For more information, refer to Euler Angles, Declination and Prime Meridian "
SN,The serial number,"Scale: The map resolution measured in pixels per degree Serial Number: A unique identifier constructed and assigned to each individual image within a control network. The serial number (SN) is constructed by most of the control network applications ""in real time"" from specific instrument keywords on the image labels (Instrument keywords are populated by mission specific ingestion applications). The serial number associated with each control measure is included as a field in the binary control network. ISIS getsn application will return the SN value for a given image filename. "
NAIF,Navigation and Ancillary Information Facility,"Special Pixels: Special Pixels are defined to distinguish valid pixels from non-valid pixels. SPICE: Spacecraft & Planetary ephemerides, Instrument C-matrix and Event kernels. SPICE refers to all the information required by ISIS in order to compute and map each image pixel onto a surface with reference to spacecraft position, sun position, instrument, and mission activities. ISIS uses software (ToolKit) supplied by the Navigation and Ancillary Information Facility (NAIF) for SPICE access and kernel management (Refer to spiceinit). SPICE is available only for mission instruments supported by ISIS (camera models). "
GIS,used by geographic information systems,"Target Center Distance: The distance from the spacecraft to the target body center. Target Center Distance is in kilometers TFW: TFW is a detached GIS world file which is used by geographic information systems (GIS) to georeference raster map images. Small-scale rectangular raster image maps can have an associated world file for GIS map software that describes the location, scale and rotation of the map. These world files are six-line files with decimal numbers on each line. For more see. "
UTC,Coordinated Universal Time,"Universal Coordinate: The ISIS default coordinate system UTC: Coordinated Universal Time (UTC) is a system of time keeping that gives an understandable name to each instant of time. The names are formed from the calendar date and time of day. UTC format consists of year, month, day, hour, minutes and seconds. UTC is in string format. "
GIS,used by geographic information systems,"UVVIS: UVVIS refers to absorption spectroscopy or reflectance spectroscopy in the ultraviolet-visible spectral region. WLD: WLD is a generic extension for a detached GIS world file which is used by geographic information systems (GIS) to georeference raster map images. Small-scale rectangular raster image maps can have an associated world file for GIS map software that describes the location, scale and rotation of the map. These world files are six-line files with decimal numbers on each line. For more For more see. "
