Term,Description,Context
SIMS,Secondary Ion Mass Spectrometer,"Intrusive: Refers to igneous rocks formed underground. Ion Microprobe: (see Secondary Ion Mass Spectrometer (SIMS), a precision instrument used to quantitatively analyze the elements and isotopes of materials at microscopic scales. For more, see the PSRD article: Ion Microprobe "
IW,The iron wüstite buffer,"These alloys are rare in terrestrial rocks. (See also Widmanstätten Pattern.) Iron-Wustite Buffer: In geology, a buffer is an assemblage of minerals that constrain oxygen fugacity as a function of temperature. The iron-wüstite buffer (IW) is the iron metal–iron oxide reference buffer commonly used in cosmochemistry. "
eV,a thousand electron volts,"Kelvin: The fundamental unit of temperature. It is not calibrated in terms of the freezing and boiling points of water, but in terms of energy itself. The number 0 K is assigned to the lowest possible temperature, called absolute zero. (At absolute zero all molecular motion stops.) The sizes of the ""degree"" are the same as on the Celsius scale. On the Kelvin scale, the freezing point of water is 273 K and the boiling point is 373 K. keV: A unit of energy equal to a thousand electron volts (eV). According to the Bureau International des Poids et Mesures: ""The electron volt is the kinetic energy acquired by an electron in passing through a potential difference of one volt in vacuum. The electron volt is often combined with the SI prefixes."" "
REE,"potassium (K), rare earth elements","keV: A unit of energy equal to a thousand electron volts (eV). According to the Bureau International des Poids et Mesures: ""The electron volt is the kinetic energy acquired by an electron in passing through a potential difference of one volt in vacuum. The electron volt is often combined with the SI prefixes."" KREEP: An acronym for a geochemical component in lunar rocks rich in potassium (K), rare-earth elements (REE), phosphorus (P), thorium, and other incompatible elements. These elements are not incorporated into common rock-forming minerals during magma crystallization, hence they become enriched in the residual magma and in the rocks finally formed from it. "
KBO,Kuiper Belt Objects,"KREEP: An acronym for a geochemical component in lunar rocks rich in potassium (K), rare-earth elements (REE), phosphorus (P), thorium, and other incompatible elements. These elements are not incorporated into common rock-forming minerals during magma crystallization, hence they become enriched in the residual magma and in the rocks finally formed from it. Kuiper Belt: A disk of icy bodies orbiting the Sun beyond Nepture, at distances between ~30 to 50 AU from the Sun. The bodies are called Kuiper Belt Objects (KBO) or Edgeworth/Kuiper Belt Objects or Trans-Neptunian Objects. The brightest known is dwarf-planet Pluto. Most of the short-period comets found in the inner solar system probably originated in the Kuiper Belt. In 2015, NASA's New Horizons spacecraft flew past Pluto, making the first up-close exploration of a KBO. In January 2019, the New Horizons spacecraft flew past KBO 2014 MU69, nicknamed Ultima Thule, a primordial, 35-kilometer long, two-lobed body. "
LRO,Lunar Reconnaissance Orbiter,"Lunar Prospector: U. S. Discovery-class mission to the Moon launched on January 6, 1998. Its instruments were designed to provide global maps and data sets of the Moon's composition and magnetic and gravity fields from a low polar orbit. The mission lasted 18 months and ended July 31, 1999 with a controlled crash landing into a crater at the Moon's south pole. Lunar Reconnaissance Orbiter: NASA's Lunar Reconnaissance Orbiter (LRO) is a Moon-orbiting mission launched in the fall of 2008. Its low-polar orbit and instrument payload is acquiring new data in support of future human landing sites and resource exploration including polar volatiles (especially water ice). These data include high-resolution imaging and topography, lunar radiation environment, and global surface composition. Link to the Lunar Observer Laser Altimeter. Link to the Lunar Reconnaissance Orbiter Camera. The Lunar Crater Observation and Sensing Satellite (LCROSS) launched with LRO, then traveled independently for a controlled crash on October 9, 2009 into a permanently-shadowed crater at the lunar south pole to support the search for water ice. An estimated 5.6 ± 2.9% by mass water ice was reported in the regolith at the LCROSS impact site, Cabeus crater. "
LCROSS,The Lunar Crater Observation and Sensing Satellite,"Lunar Prospector: U. S. Discovery-class mission to the Moon launched on January 6, 1998. Its instruments were designed to provide global maps and data sets of the Moon's composition and magnetic and gravity fields from a low polar orbit. The mission lasted 18 months and ended July 31, 1999 with a controlled crash landing into a crater at the Moon's south pole. Lunar Reconnaissance Orbiter: NASA's Lunar Reconnaissance Orbiter (LRO) is a Moon-orbiting mission launched in the fall of 2008. Its low-polar orbit and instrument payload is acquiring new data in support of future human landing sites and resource exploration including polar volatiles (especially water ice). These data include high-resolution imaging and topography, lunar radiation environment, and global surface composition. Link to the Lunar Observer Laser Altimeter. Link to the Lunar Reconnaissance Orbiter Camera. The Lunar Crater Observation and Sensing Satellite (LCROSS) launched with LRO, then traveled independently for a controlled crash on October 9, 2009 into a permanently-shadowed crater at the lunar south pole to support the search for water ice. An estimated 5.6 ± 2.9% by mass water ice was reported in the regolith at the LCROSS impact site, Cabeus crater. "
MOC,Mars. Main instruments include cameras,"Mars Express: The European Space Agency's first spacecraft to Mars, Mars Express launched in June 2003. The mission objectives are to search for subsurface water from orbit with a set of seven remote sensing instruments. The lander, Beagle 2, was released from the orbiter six days before Mars Express went into orbit around Mars, however, no signal was received from it despite repeated attempts at communication from a variety of spacecraft and Earth-based telescopes. Beagle 2 was declared lost on February 2004. The orbiter is operational and is expected to continue through 2014. Mars Express website. Mars Global Surveyor: U. S. mission launched in 1996 to orbit Mars. Main instruments include cameras (MOC), a laser altimeter (MOLA), thermal emission spectrometer ( TES), and magnetometer. During the primary mission (through January 2001), the spacecraft circled the planet once every 118 minutes at an average altitude of 378 kilometers (235 miles). Four extended mission phases began February 1, 2001 and continued to November 2006 when the orbiter stopped communicating with Earth (due to solar panel problems). Mars Global Surveyor website. "
MOLA,"include cameras (MOC), a laser altimeter","Mars Express: The European Space Agency's first spacecraft to Mars, Mars Express launched in June 2003. The mission objectives are to search for subsurface water from orbit with a set of seven remote sensing instruments. The lander, Beagle 2, was released from the orbiter six days before Mars Express went into orbit around Mars, however, no signal was received from it despite repeated attempts at communication from a variety of spacecraft and Earth-based telescopes. Beagle 2 was declared lost on February 2004. The orbiter is operational and is expected to continue through 2014. Mars Express website. Mars Global Surveyor: U. S. mission launched in 1996 to orbit Mars. Main instruments include cameras (MOC), a laser altimeter (MOLA), thermal emission spectrometer ( TES), and magnetometer. During the primary mission (through January 2001), the spacecraft circled the planet once every 118 minutes at an average altitude of 378 kilometers (235 miles). Four extended mission phases began February 1, 2001 and continued to November 2006 when the orbiter stopped communicating with Earth (due to solar panel problems). Mars Global Surveyor website. "
 TES,"laser altimeter (MOLA), thermal emission spectrometer","Mars Express: The European Space Agency's first spacecraft to Mars, Mars Express launched in June 2003. The mission objectives are to search for subsurface water from orbit with a set of seven remote sensing instruments. The lander, Beagle 2, was released from the orbiter six days before Mars Express went into orbit around Mars, however, no signal was received from it despite repeated attempts at communication from a variety of spacecraft and Earth-based telescopes. Beagle 2 was declared lost on February 2004. The orbiter is operational and is expected to continue through 2014. Mars Express website. Mars Global Surveyor: U. S. mission launched in 1996 to orbit Mars. Main instruments include cameras (MOC), a laser altimeter (MOLA), thermal emission spectrometer ( TES), and magnetometer. During the primary mission (through January 2001), the spacecraft circled the planet once every 118 minutes at an average altitude of 378 kilometers (235 miles). Four extended mission phases began February 1, 2001 and continued to November 2006 when the orbiter stopped communicating with Earth (due to solar panel problems). Mars Global Surveyor website. "
THEMIS,using three primary instruments: Thermal Emission Imaging System,"Mars Mission, Phoenix: see Phoenix Mars Mission. Mars Odyssey: U. S. orbital mission to Mars, part of NASA's Mars Exploration Program, launched in April, 2001 and arrived at Mars in October, 2001. The mission's goals are to map chemical elements and minerals, look for water, and analyze the low-orbit radiation environment using three primary instruments: Thermal Emission Imaging System (THEMIS), Gamma Ray Spectrometer (GRS), and Mars Radiation Environment Experiment (MARIE). During and after its science mission, the Odyssey orbiter will also support other missions in the Mars Exploration program. It is providing communications relay for U.S. and international landers, including the Mars Exploration Rovers launched in June and July, 2003. 2001 Mars Odyssey website. "
GRS,Gamma Ray Spectrometer,"Mars Mission, Phoenix: see Phoenix Mars Mission. Mars Odyssey: U. S. orbital mission to Mars, part of NASA's Mars Exploration Program, launched in April, 2001 and arrived at Mars in October, 2001. The mission's goals are to map chemical elements and minerals, look for water, and analyze the low-orbit radiation environment using three primary instruments: Thermal Emission Imaging System (THEMIS), Gamma Ray Spectrometer (GRS), and Mars Radiation Environment Experiment (MARIE). During and after its science mission, the Odyssey orbiter will also support other missions in the Mars Exploration program. It is providing communications relay for U.S. and international landers, including the Mars Exploration Rovers launched in June and July, 2003. 2001 Mars Odyssey website. "
MARIE,"Spectrometer (GRS), and Mars Radiation Environment Experiment","Mars Mission, Phoenix: see Phoenix Mars Mission. Mars Odyssey: U. S. orbital mission to Mars, part of NASA's Mars Exploration Program, launched in April, 2001 and arrived at Mars in October, 2001. The mission's goals are to map chemical elements and minerals, look for water, and analyze the low-orbit radiation environment using three primary instruments: Thermal Emission Imaging System (THEMIS), Gamma Ray Spectrometer (GRS), and Mars Radiation Environment Experiment (MARIE). During and after its science mission, the Odyssey orbiter will also support other missions in the Mars Exploration program. It is providing communications relay for U.S. and international landers, including the Mars Exploration Rovers launched in June and July, 2003. 2001 Mars Odyssey website. "
MOC,Mars Orbiter Camera,"Mars Odyssey: U. S. orbital mission to Mars, part of NASA's Mars Exploration Program, launched in April, 2001 and arrived at Mars in October, 2001. The mission's goals are to map chemical elements and minerals, look for water, and analyze the low-orbit radiation environment using three primary instruments: Thermal Emission Imaging System (THEMIS), Gamma Ray Spectrometer (GRS), and Mars Radiation Environment Experiment (MARIE). During and after its science mission, the Odyssey orbiter will also support other missions in the Mars Exploration program. It is providing communications relay for U.S. and international landers, including the Mars Exploration Rovers launched in June and July, 2003. 2001 Mars Odyssey website. Mars Orbiter Camera (MOC): Camera system onboard the Mars Global Surveyor spacecraft. MOC consists of three cameras: A narrow angle system that provides grayscale high resolution views of the planet's surface (typically, 1.5 to 12 meters/pixel), and red and blue wide angle cameras. Malin Space Science Systems. "
MOLA,Mars Orbiter Laser Altimeter,"Mars Orbiter Camera (MOC): Camera system onboard the Mars Global Surveyor spacecraft. MOC consists of three cameras: A narrow angle system that provides grayscale high resolution views of the planet's surface (typically, 1.5 to 12 meters/pixel), and red and blue wide angle cameras. Malin Space Science Systems. Mars Orbiter Laser Altimeter (MOLA): Instrument onboard the Mars Global Surveyor spacecraft that has been obtaining topographic data since March 1999. MOLA transmits focused infrared laser pulses toward Mars at a rate of ten times per second and measures the round-trip reflection time to determine the range of the MGS spacecraft to the Martian surface. Scientists use the range measurements to construct precise topographic profiles and maps of Mars in unsurpassed detail. "
MRO,Mars Reconnaissance Orbiter,"Mars Pathfinder: The second in NASA's Discovery program of low-cost spacecraft with highly focused science goals, Mars Pathfinder landed successfully on Mars on July 4, 1997. Images, science results, and engineering data were released on the World Wide Web throughout, and beyond, the primary mission dates (July 4 - August 3, 1997.) The Jet Propulsion Laboratory, Pasadena, CA, developed and managed the Mars Pathfinder mission for NASA's Office of Space Science, Washington, D.C. JPL is a division of the California Institute of Technology (Caltech). Mars Reconnaissance Orbiter (MRO): NASA orbital mission to Mars launched August, 2005. MRO is conducting science investigations with a suite of instruments tasked for three purposes: global mapping, regional surveying, and high-resolution targeting of specific spots on the surface. Goals include studying the history of water on Mars, analyzing minerals, tracing how much dust and water are distributed in the atmosphere, and monitoring daily global weather. MRO also serves as a communications relay for landed missions. "
MSL,Mars Science Laboratory,"Mars Reconnaissance Orbiter (MRO): NASA orbital mission to Mars launched August, 2005. MRO is conducting science investigations with a suite of instruments tasked for three purposes: global mapping, regional surveying, and high-resolution targeting of specific spots on the surface. Goals include studying the history of water on Mars, analyzing minerals, tracing how much dust and water are distributed in the atmosphere, and monitoring daily global weather. MRO also serves as a communications relay for landed missions. Mars Science Laboratory (MSL): A NASA robotic lander (named Curiosity) designed to determine the habitability of Mars. MSL launched on November 26, 2011 and landed on Mars on August 5, 2012 as part of NASA's long-term Mars Exploration Program. MSL science goals are to determine whether Mars ever had an environment capable of supporting microbial life, to characterize the geology and climate of Mars, and to prepare for human exploration. MSL science instruments include three cameras, four spectrometers, two radiation detectors, and an environmental sensor. MSL homepage. "
PAH,by pyroxene. Polycyclic aromatic hydrocarbons:,"Poikilitic: Igneous rock texture describing mineral crystals enclosed by other minerals, for example, plagioclase crystals enclosed by pyroxene. Polycyclic aromatic hydrocarbons: (PAH) One group of hydrocarbons (benzene) produced by decomposition or decay of organic matter. These are certainly aromatic: they stink! "
REE,Rare Earth Elements,"Radiometric Dating: Technique to determine the age of a rock by measuring the last time the rock being dated was either melted or disturbed sufficiently to rehomogenize its naturally-occurring radioactive elements. This is accomplished because of the decay of long-lived radioactive isotopes. Some of the parent-daughter isotopes used as chronometers to determine the age of extraterrestrial rocks are: aluminum-magnesium, uranium-lead, thorium-lead, rubidium-strontium, potassium-argon, samarium-neodymium, and lutetium-hafnium. [Adapted from the U.S. Geological Survey.] Rare Earth Elements (REE): Fifteen closely related elements, the lanthanoid series, from atomic numbers 57 through 71 on the Periodic Table (some people define the series from atomic numbers 58 through 71). These elements usually occur together and are useful in geochemical modeling. "
RA,Right ascension,"Resolution: The degree to which fine details in an image are separated or resolved. Right ascension (RA): Celestial coordinate which is equivalent to the longitude of an object on Earth. The starting point for longitude on Earth is at Greenwich England, whereas in the celestial coordinate system it is at a point in the sky called the vernal equinox. The two great circles defined by the celestial equator and the ecliptic, which is defined as the plane of the Solar System, cross each other at 2 points: at the vernal equinox (first day of spring) and the autumnal equinox (first day of autumn). "
JAXA,Japan Aerospace Exploration Agency,"Sedimentary: Rock formed when sediment is compacted and lithified. SELENE (Kaguya): The Japan Aerospace Exploration Agency (JAXA) launched the SELENE (Kaguya) mission to the Moon in September 2007. Its instruments were designed to provide scientific data from a polar orbit of lunar origin and evolution and to develop the technology for future lunar exploration. In addition to the main spacecraft two smaller relay satellites provided real-time radio transmissions from the far side of the Moon to Earth. The mission lasted 21 months and ended June 10, 2009 with a controlled crash onto the lunar nearside. "
SOHO,The Solar and Heliospheric Observatory,"Snowline: (also called frost line, ice line) is the orbital distance from the Sun (or star) beyond which water ice is stable. Snowlines at greater distances from the Sun (or star) also exist for other volatiles, such as CO2, CO, and CH4 (methane). Inside the snowlines, toward the Sun (star), the volatiles sublimate to gases. SOHO Mission: The Solar and Heliospheric Observatory (SOHO), is a project of international collaboration between ESA and NASA to study the Sun from its deep core to the outer corona and the solar wind. SOHO was launched in December, 1995. SOHO website "
CO,"dioxide (CO2), carbon monoxide","Viscosity: An internal property of a fluid that offers resistance to flow. If a fluid has a high viscosity, then it strongly resists flow. An example of a low viscosity fluid is water. Volatile elements: Chemical elements that vaporize (that is, boil) at relatively low temperatures. Examples are water (H2O), carbon dioxide (CO2), carbon monoxide (CO), methane (CH4), ammonia (NH3), potassium (K), sodium (Na), and lead (Pb). The opposite of volatile is refractory. "
