Input Term,isAcronym,Extracted Term,isDescription,Description,Context
Condensation:,False,,False,,
Convection:,False,,False,,
Copernican:,False,,False,,
Core:,False,,False,,
Cosmic rays:,False,,False,,
Cosmic ray exposure age:,False,,False,,
Cosmochemistry:,False,,False,,
Crater,False,,False,,
Crater chain,False,,False,,
Crust:,False,,False,,
Cryptomaria (singular: cryptomare),False,,False,,
Dark mantle deposits:,False,,False,,
Declination:,False,,False,,
Density:,False,,False,,
Density current:,False,,False,,
Descartes:,False,,False,,
Deuterium:,False,,False,,
Differentiation:,False,,False,,
Diffusion:,False,,False,,
Dissociation:,False,,False,,
Diurnal:,False,,False,,
Earthquake:,False,,False,,
Eccentricity:,False,,False,,
Ecliptic:,False,,False,,
Ejecta:,False,,False,,
Electromagnetic spectrum:,False,,False,,
Electron microprobe:,False,,False,,
Electron Volt:,False,,False,,
Emission angle:,False,,False,,
Emissivity:,False,,False,,
Energy Dispersive Analysis:,False,,False,,
Enstatite:,False,,False,,
Ephemeris:,False,,False,,
Eratosthenian:,False,,False,,
Erosion:,False,,False,,
Eruption:,False,,False,,
Eucrite:,False,,False,,
Exoplanet:,False,,False,,
Exosphere:,False,,False,,
Exsolution:,False,,False,,
Extrusive:,False,,False,,
Fall:,False,,False,,
Fahrenheit:,False,,False,,
Farside:,False,,False,,
Fault:,False,,False,,
Feldspar:,False,,False,,
Felsic:,False,,False,,
Farside:,False,,False,,
Find:,False,,False,,
Fireball:,False,,False,,
Fischer-Tropsch reaction:,False,,False,,
Fissure:,False,,False,,
Fra Mauro:,False,,False,,
Fractional crystallization:,False,,False,,
FUN CAI:,True,FUN,False,,
Fusion crust:,False,,False,,
Gabbro:,False,,False,,
Galilean Moons:,False,,False,,
Galileo Mission:,False,,False,,
Gamma ray:,False,,False,,
Genesis Mission:,False,,False,,
Geocentric distance:,False,,False,,
Geologist:,False,,False,,
Giant impact theory:,False,,False,,
Geomorphology:,False,,False,,
Gigapascal (GPa):,False,,False,,
Globular clusters:,False,,False,,
GRAIL Mission:,True,GRAIL,False,,
Grand Tack model:,False,,False,,
Gravity anomaly:,False,,False,,
Great Oxygenation Event:,False,,False,,
Hadley-Appenine:,False,,False,,
Half-life:,False,,False,,
HED:,True,HED:,False,,
Heliocentric distance:,False,,False,,
Helium:,False,,False,,
Hematite:,False,,False,,
Hesperian Epoch:,False,,False,,
"Highland ""soil"":",False,,False,,
Highlands:,False,,False,,
Hubble constant:,False,,False,,
Hydrogen:,False,,False,,
Hydrosphere:,False,,False,,
IDP:,True,IDP:,False,,
Igneous:,False,,False,,
Ilmenite:,False,,False,,
Imbrian:,False,,False,,
Impact:,False,,False,,
Incidence angle:,False,,False,,
Inclination:,False,,False,,
Inclusions:,False,,False,,
Incompatible elements:,False,,False,,
Interplanetary dust particles (IDPs):,True,IDPs,True,earth elements (REE). Interplanetary dust particles,"Incompatible elements: Elements that are not incorporated into common rock-forming minerals during magma crystallization, hence they become enriched in the residual magma and in the rocks finally formed from it. Examples are: potassium, rubidium, strontium, hafnium, thorium, uranium, and lanthanum, samarium, europium, and the rest of the rare earth elements (REE). Interplanetary dust particles (IDPs): Particles typically ranging in size from 1–50 µ (microns), though some are larger and most are between 5–15 µm, moving in interplanetary space. They come from asteroids or comets, and reach Earth-crossing orbits; IDPs have been collected in the stratosphere using NASA ER2 aircraft. IDPs are grouped into two main types, chondritic porous (also known as anhydrous) and chondritic smooth (also known as hydrated). "
Interstellar medium:,False,,False,,
Intrusive:,False,,False,,
Ion Microprobe:,False,,False,,
Ionosphere:,False,,False,,
Iron:,False,,False,,
Iron Meteorite:,False,,False,,
Iron-Wustite Buffer:,False,,False,,
IS/FeO:,False,,False,,
Isochron:,False,,False,,
Isotopes:,False,,False,,
Isotopic Dating:,False,,False,,
Isotopic Fractionation:,False,,False,,
Kaguya Mission:,False,,False,,
Kelvin:,False,,False,,
keV:,False,,False,,
KREEP:,True,KREEP:,False,,
Kuiper Belt:,False,,False,,
Labile:,False,,False,,
Landslide:,False,,False,,
Laser:,False,,False,,
Late Heavy Bombardment:,False,,False,,
Latitude:,False,,False,,
Lava:,False,,False,,
Leaching:,False,,False,,
Levee:,False,,False,,
Light year:,False,,False,,
Liquidus:,False,,False,,
Lithification:,False,,False,,
Lithology:,False,,False,,
Lithophile:,False,,False,,
Lithosphere:,False,,False,,
Longitude:,False,,False,,
Long-period:,False,,False,,
Luna:,False,,False,,
Lunar:,False,,False,,
Lunar basin:,False,,False,,
Lunar Cataclysm:,False,,False,,
Lunar meteorites:,False,,False,,
Lunar Prospector:,False,,False,,
Lunar Reconnaissance Orbiter:,False,,False,,
Lunar Swirl:,False,,False,,
Mafic:,False,,False,,
Magma:,False,,False,,
Magma Ocean:,False,,False,,
Magnesium:,False,,False,,
Magnesium number:,False,,False,,
Magnetic field:,False,,False,,
Magnetite:,False,,False,,
Magnetofossils:,False,,False,,
Magnetometer:,False,,False,,
Magnetosphere:,False,,False,,
Magnitude:,False,,False,,
Mantle:,False,,False,,
Mare basalt:,False,,False,,
"Mare ""soil"":",False,,False,,
Maria (singular: mare),False,,False,,
Mariner 9:,False,,False,,
Mars Exploration Rovers:,False,,False,,
Mars Express:,False,,False,,
Mars Global Surveyor:,False,,False,,
"Mars Mission, Phoenix:",False,,False,,
Mars Odyssey:,False,,False,,
Mars Orbiter Camera (MOC):,True,MOC,True,Mars. Main instruments include cameras,"Mars Express: The European Space Agency's first spacecraft to Mars, Mars Express launched in June 2003. The mission objectives are to search for subsurface water from orbit with a set of seven remote sensing instruments. The lander, Beagle 2, was released from the orbiter six days before Mars Express went into orbit around Mars, however, no signal was received from it despite repeated attempts at communication from a variety of spacecraft and Earth-based telescopes. Beagle 2 was declared lost on February 2004. The orbiter is operational and is expected to continue through 2014. Mars Express website. Mars Global Surveyor: U. S. mission launched in 1996 to orbit Mars. Main instruments include cameras (MOC), a laser altimeter (MOLA), thermal emission spectrometer ( TES), and magnetometer. During the primary mission (through January 2001), the spacecraft circled the planet once every 118 minutes at an average altitude of 378 kilometers (235 miles). Four extended mission phases began February 1, 2001 and continued to November 2006 when the orbiter stopped communicating with Earth (due to solar panel problems). Mars Global Surveyor website. "
Mars Orbiter Laser Altimeter (MOLA):,True,MOLA,True,"include cameras (MOC), a laser altimeter","Mars Express: The European Space Agency's first spacecraft to Mars, Mars Express launched in June 2003. The mission objectives are to search for subsurface water from orbit with a set of seven remote sensing instruments. The lander, Beagle 2, was released from the orbiter six days before Mars Express went into orbit around Mars, however, no signal was received from it despite repeated attempts at communication from a variety of spacecraft and Earth-based telescopes. Beagle 2 was declared lost on February 2004. The orbiter is operational and is expected to continue through 2014. Mars Express website. Mars Global Surveyor: U. S. mission launched in 1996 to orbit Mars. Main instruments include cameras (MOC), a laser altimeter (MOLA), thermal emission spectrometer ( TES), and magnetometer. During the primary mission (through January 2001), the spacecraft circled the planet once every 118 minutes at an average altitude of 378 kilometers (235 miles). Four extended mission phases began February 1, 2001 and continued to November 2006 when the orbiter stopped communicating with Earth (due to solar panel problems). Mars Global Surveyor website. "
Mars Pathfinder:,False,,False,,
Mars Reconnaissance Orbiter (MRO):,True,MRO,True,Mars Reconnaissance Orbiter,"Mars Pathfinder: The second in NASA's Discovery program of low-cost spacecraft with highly focused science goals, Mars Pathfinder landed successfully on Mars on July 4, 1997. Images, science results, and engineering data were released on the World Wide Web throughout, and beyond, the primary mission dates (July 4 - August 3, 1997.) The Jet Propulsion Laboratory, Pasadena, CA, developed and managed the Mars Pathfinder mission for NASA's Office of Space Science, Washington, D.C. JPL is a division of the California Institute of Technology (Caltech). Mars Reconnaissance Orbiter (MRO): NASA orbital mission to Mars launched August, 2005. MRO is conducting science investigations with a suite of instruments tasked for three purposes: global mapping, regional surveying, and high-resolution targeting of specific spots on the surface. Goals include studying the history of water on Mars, analyzing minerals, tracing how much dust and water are distributed in the atmosphere, and monitoring daily global weather. MRO also serves as a communications relay for landed missions. "
Mars Science Laboratory (MSL):,True,MSL,True,Mars Science Laboratory,"Mars Reconnaissance Orbiter (MRO): NASA orbital mission to Mars launched August, 2005. MRO is conducting science investigations with a suite of instruments tasked for three purposes: global mapping, regional surveying, and high-resolution targeting of specific spots on the surface. Goals include studying the history of water on Mars, analyzing minerals, tracing how much dust and water are distributed in the atmosphere, and monitoring daily global weather. MRO also serves as a communications relay for landed missions. Mars Science Laboratory (MSL): A NASA robotic lander (named Curiosity) designed to determine the habitability of Mars. MSL launched on November 26, 2011 and landed on Mars on August 5, 2012 as part of NASA's long-term Mars Exploration Program. MSL science goals are to determine whether Mars ever had an environment capable of supporting microbial life, to characterize the geology and climate of Mars, and to prepare for human exploration. MSL science instruments include three cameras, four spectrometers, two radiation detectors, and an environmental sensor. MSL homepage. "
Martian meteorites:,False,,False,,
Mass Spectrometer:,False,,False,,
Mass Spectrum:,False,,False,,
Maturity Index:,False,,False,,
Megaregolith:,False,,False,,
Mesosiderite:,False,,False,,
Metamorphic:,False,,False,,
Metasomatism:,False,,False,,
Meteor:,False,,False,,
Meteorite:,False,,False,,
Meteorite stranding surface:,False,,False,,
Meteoritic bombardment:,False,,False,,
Meteoriticist:,False,,False,,
Meteoritics:,False,,False,,
Meteoroid:,False,,False,,
Methane:,False,,False,,
Mineral:,False,,False,,
Mineralogy:,False,,False,,
Molecular cloud:,False,,False,,
Monomict,False,,False,,
Moonquake,False,,False,,
Mountain:,False,,False,,
Nadir:,False,,False,,
Nakhlites:,False,,False,,
Nanometer:,False,,False,,
NASA:,True,NASA:,False,,
Native element:,False,,False,,
Nautical twilight:,False,,False,,
Nd:YAG:,False,,False,,
NEAR (Near Earth Asteroid Rendezvous):,True,NEAR,False,,
Nearside:,False,,False,,
Nectarian:,False,,False,,
NIMS:,True,NIMS:,False,,
Nitrogen:,False,,False,,
Noachian Epoch:,False,,False,,
Noble gas:,False,,False,,
Non-gravitational forces:,False,,False,,
Norite:,False,,False,,
Nucleosynthesis:,False,,False,,
Nucleus:,False,,False,,
Ocean of Storms:,False,,False,,
Olivine:,False,,False,,
Olympus Mons:,False,,False,,
Oort cloud:,False,,False,,
"Orange ""soil"":",False,,False,,
Ordinary chondrite:,False,,False,,
Organic:,False,,False,,
Organism:,False,,False,,
Oxygen:,False,,False,,
Oxygen fugacity:,False,,False,,
Oxygen isotope plot:,False,,False,,
Pahoehoe:,False,,False,,
Pallasite:,False,,False,,
Parallax:,False,,False,,
Parent body:,False,,False,,
Parsec [pc]:,False,,False,,
Partition coefficient:,False,,False,,
Pascal:,False,,False,,
Pathfinder:,False,,False,,
Peridotite:,False,,False,,
Perihelion:,False,,False,,
Petrology:,False,,False,,
Phase angle:,False,,False,,
Phoenix Mars Mission:,False,,False,,
Photosynthesis:,False,,False,,
Phyllosilicates:,False,,False,,
Pixel:,False,,False,,
Plagioclase feldspar:,False,,False,,
Planck's constant:,False,,False,,
Planet:,False,,False,,
Planetesimals:,False,,False,,
Plasma:,False,,False,,
Plasma sheet:,False,,False,,
Plate tectonics:,False,,False,,
Pluton:,False,,False,,
Poikilitic:,False,,False,,
Polycyclic aromatic hydrocarbons:,False,,False,,
Polymict:,False,,False,,
Porosity:,False,,False,,
Porphyritic:,False,,False,,
Pre-Nectarian:,False,,False,,
Presolar grain:,False,,False,,
Pressure ridges:,False,,False,,
Primitive meteorite:,False,,False,,
Protoplanetary disk:,False,,False,,
Protostar:,False,,False,,
Pulsar:,False,,False,,
Pyroclastic eruption:,False,,False,,
Pyroxene:,False,,False,,
Pyroxenite:,False,,False,,
R-process:,False,,False,,
Racemic:,False,,False,,
Radioactivity:,False,,False,,
"Radiocarbon, 14C:",False,,False,,
Radiometric Dating:,False,,False,,
Rare Earth Elements (REE):,True,REE,True,of the rare earth elements,"Inclusions: Fragments of older material (e.g. minerals, rock) that have been enclosed within another rock. Incompatible elements: Elements that are not incorporated into common rock-forming minerals during magma crystallization, hence they become enriched in the residual magma and in the rocks finally formed from it. Examples are: potassium, rubidium, strontium, hafnium, thorium, uranium, and lanthanum, samarium, europium, and the rest of the rare earth elements (REE). "
Ray:,False,,False,,
Recovery:,False,,False,,
Reflectance spectroscopy:,False,,False,,
Refractory elements:,False,,False,,
Refractory inclusion:,False,,False,,
Regmaglypt:,False,,False,,
Regolith,False,,False,,
Remote sensing:,False,,False,,
Resolution:,False,,False,,
Right ascension,False,,False,,
Rille:,False,,False,,
Roche limit:,False,,False,,
Rock:,False,,False,,
S-process:,False,,False,,
Scale:,False,,False,,
Sea of Serenity,False,,False,,
Sea of Tranquillity:,False,,False,,
Secondary crater:,False,,False,,
Sediment:,False,,False,,
Sedimentary:,False,,False,,
SELENE (Kaguya):,True,SELENE,False,,
Shergottites:,False,,False,,
Shock wave:,False,,False,,
Short-period:,False,,False,,
Siderophile:,False,,False,,
Silicate:,False,,False,,
Silicon:,False,,False,,
Sill:,False,,False,,
SIMS:,True,SIMS:,False,,
SMOW:,True,SMOW:,False,,
SNC meteorites:,True,SNC,False,,
Snowline:,False,,False,,
SOHO Mission:,True,SOHO,True,The Solar and Heliospheric Observatory,"Snowline: (also called frost line, ice line) is the orbital distance from the Sun (or star) beyond which water ice is stable. Snowlines at greater distances from the Sun (or star) also exist for other volatiles, such as CO2, CO, and CH4 (methane). Inside the snowlines, toward the Sun (star), the volatiles sublimate to gases. SOHO Mission: The Solar and Heliospheric Observatory (SOHO), is a project of international collaboration between ESA and NASA to study the Sun from its deep core to the outer corona and the solar wind. SOHO was launched in December, 1995. SOHO website "
Soil:,False,,False,,
Sol:,False,,False,,
Solar elongation:,False,,False,,
Solar conjunction:,False,,False,,
Solar flare:,False,,False,,
Solar power:,False,,False,,
Solar nebula:,False,,False,,
Solar System:,False,,False,,
Solar wind:,False,,False,,
Solidus:,False,,False,,
Solubility:,False,,False,,
Source:,False,,False,,
Space weathering:,False,,False,,
Spacecraft:,False,,False,,
Spectra:,False,,False,,
Spectroscopy:,False,,False,,
Speed of light:,False,,False,,
Spinel:,False,,False,,
Sputtering:,False,,False,,
Stardust Mission:,False,,False,,
Stellar nucleosynthesis:,False,,False,,
Stellar winds:,False,,False,,
Stratigraphy:,False,,False,,
Stratigraphic column:,False,,False,,
Subduction:,False,,False,,
Sublimation:,False,,False,,
Sulfur:,False,,False,,
Supernova (Type II):,False,,False,,
Taurus-Littrow:,False,,False,,
Tektite:,False,,False,,
Tectonics:,False,,False,,
Terrain:,False,,False,,
Thermal inertia:,False,,False,,
Thermocouple:,False,,False,,
Thermodynamics:,False,,False,,
Thrust fault:,False,,False,,
Thin section:,False,,False,,
Tidal stresses:,False,,False,,
Troctolite:,False,,False,,
Topography:,False,,False,,
Torino Scale:,False,,False,,
Transient crater:,False,,False,,
Troilite:,False,,False,,
Ultramafic:,False,,False,,
Ultraviolet:,False,,False,,
Unconsolidated:,False,,False,,
Ureilite:,False,,False,,
Vent:,False,,False,,
Vesicle:,False,,False,,
Vesta:,False,,False,,
Viking:,False,,False,,
Viscosity:,False,,False,,
Volatile elements:,False,,False,,
Volcano:,False,,False,,
Voyager:,False,,False,,
Wark-Lovering rims:,False,,False,,
Weathering:,False,,False,,
Widmanstätten Pattern:,False,,False,,
Yarkovsky Effect:,False,,False,,
YORP Effect:,True,YORP,False,,
Zodiacal light:,False,,False,,
