Input Term,Input Definitions,isAcronym,Extracted Term,isDescription,Description,Context
Jupiter XXIII (Kalyke),Nymph who bore the handsome son Endymion with Zeus.,False,,False,,
Jupiter XXIV (Iocaste),"Wife of Laius, King of Thebes, and mother of Oedipus. After Laius was killed, Iocaste unknowingly married her own son Oedipus. When she learned that her husband was her son, she killed herself. Some say she was the mother of Agamedes by Zeus.",False,,False,,
Jupiter XXV (Erinome),"Daughter of Celes, compelled by Venus to fall in love with Jupiter.",False,,False,,
Jupiter XXVI (Isonoe),"A Danaid, bore with Zeus the son Orchomenos.",False,,False,,
Jupiter XXVII (Praxidike),"Goddess of punishment, mother of Klesios by Zeus.",False,,False,,
Jupiter XXVIII (Autonoe),Mother of the Graces by Zeus according to some authors.,False,,False,,
Jupiter XXIX (Thyone),"Semele, mother of Dionysos by Zeus. She received the name of Thyone in Hades by Dionysos before he ascended up with her from there to heaven.",False,,False,,
Jupiter XXX (Hermippe),Consort of Zeus and mother of Orchomenos by him.,False,,False,,
Jupiter XXXI (Aitne),"A Sicilian nymph, conquest of Zeus.",False,,False,,
Jupiter XXXII (Eurydome),"Mother of the Graces by Zeus, according to some authors. (Source: Cornutus: Theologiae Graecae compendium 15)",False,,False,,
Jupiter XXXIII (Euanthe),"The mother of the Graces by Zeus, according to some authors.",False,,False,,
Jupiter XXXIV (Euporie),"One of the Horae, a daughter of Zeus and Themis.",False,,False,,
Jupiter XXXV (Orthosie),"One of the Horae, a daughter of Zeus and Themis.",False,,False,,
Jupiter XXXVI (Sponde),"One of the Horae (Seasons), daughter of Zeus.",False,,False,,
Jupiter XXXVII (Kale),"One of the Graces, a daughter of Zeus, husband of Hephaistos.",False,,False,,
Jupiter XXXVIII (Pasithee),"One of the Graces, a daughter of Zeus.",False,,False,,
Jupiter XXXIX (Hegemone),"One of the Graces, a daughter of Zeus.",False,,False,,
Jupiter XL (Mneme),"One of the Muses, a daughter of Zeus.",False,,False,,
Jupiter XLI (Aoede),"One of the Muses, a daughter of Zeus.",False,,False,,
Jupiter XLII (Thelxinoe),"One of the Muses, a daughter of Zeus.",False,,False,,
Jupiter XLIII (Arche),"One of the Muses, a daughter of Zeus.",False,,False,,
Jupiter XLIV (Kallichore),"One of the Muses, a daughter of Zeus.",False,,False,,
Jupiter XLV (Helike),"One of the Muses, a daughter of Zeus.",False,,False,,
Jupiter XLVI (Carpo),"One of the Horae, a daughter of Zeus.",False,,False,,
Jupiter XLVII (Eukelade),"One of the Muses, a daughter of Zeus.",False,,False,,
Jupiter XLVIII (Cyllene),"Daughter of Zeus, a nymph.",False,,False,,
Jupiter XLIX (Kore),"Daughter of Zeus and Demeter, also known as Persephone.",False,,False,,
Jupiter L (Herse),Daughter of Zeus and divine moon (Selene).,False,,False,,
Jupiter LI (unnamed),,False,,False,,
Jupiter LII (unnamed),,False,,False,,
Jupiter LIII (Dia),"Greek meaning ""She who belongs to Zeus"". Dia is the daughter of Eioneus known as the divine daughter of the seashore. Zeus, disguised as a stallion, seduced Dia, who then gave birth to Peirithous.",False,,False,,
Jupiter LVII (Eirene),"Daughter of Zeus and Themis, goddess of peace.",False,,False,,
Jupiter LVIII (Philophrosyne),"Granddaughter of Zeus, daughter of Hephaestus and Aglaia, and sister of Eupheme.",False,,False,,
Jupiter LX (Eupheme),"Granddaughter of Zeus, daughter of Hephaestus and Aglaia, and sister of Philophrosyne.",False,,False,,
Jupiter LXII (Valetudo),Great-granddaughter of Jupiter. Roman name for Greek Hygeia. She is the goddess of health and hygiene.,False,,False,,
Jupiter LXV (Pandia),"Daughter of Zeus and the Moon goddess Selene, goddess of the full moon, and sister of Ersa.",False,,False,,
Jupiter LXXI (Ersa),"Daughter of Zeus and the Moon goddess Selene, goddess of the dew, and sister of Pandia.",False,,False,,
Saturn,,False,,False,,
Saturn I (Mimas),Named by Herschel's son John in the early 19th century for a Giant felled by Hephaestus (or Ares) in the war between the Titans and Olympian gods.,False,,False,,
Saturn II (Enceladus),Named by Herschel's son John for the Giant Enceladus. Enceladus was crushed by Athene in the battle between the Olympian gods and the Titans. Earth piled on top of him became the island of Sicily.,False,,False,,
Saturn III (Tethys),"Cassini wished to name Tethys and the other three satellites that he discovered (Dione, Rhea, and Iapetus) for Louis XIV. However, the names used today for these satellites were applied in the early 19th century by John Herschel, who named them for Titans and Titanesses, brothers and sisters of Saturn. Tethys was the wife of Oceanus and mother of all rivers and Oceanids.",False,,False,,
Saturn IV (Dione),Dione was the sister of Cronos and mother (by Zeus) of Aphrodite.,False,,False,,
Saturn V (Rhea),"A Titaness, mother of Zeus by Kronos.",False,,False,,
Saturn VI (Titan),"Named by Huygens, who first called it ""Luna Saturni."" In Greek Mythology, a Giant, and one of two generations of immortal giants (Titans) of incredible strength and stamina who were overthrown by a race of younger gods, the Olympians.",False,,False,,
Saturn VII (Hyperion),Named by Lassell for one of the Titans.,False,,False,,
Saturn VIII (Iapetus),Named by John Herschel for one of the Titans.,False,,False,,
Saturn IX (Phoebe),Named by Pickering for one of the Titanesses.,False,,False,,
Saturn X (Janus),"First reported (though with an incorrect orbital period) and named by A. Dollfus from observations in Dec. 1966, this satellite was finally confirmed in 1980. It was proven to have a twin, Epimetheus, sharing the same orbit but never actually meeting. It is named for the Roman god of the beginning. The two-faced god could look forward and backward at the same time.",False,,False,,
Saturn XI (Epimetheus),"First suspected by J. Fountain and S. Larson as confusing the detection of Janus. They assigned the correct orbital period, and the satellite was finally confirmed in 1980. Named for the son of the Titan Iapetus. In contrast with his far-sighted brother Prometheus, he ""subsequently realized"" that he was in the wrong.",False,,False,,
Saturn XII (Helene),"A granddaughter of Kronos, for her beauty she triggered off the Trojan War.",False,,False,,
Saturn XIII (Telesto),Daughter of the Titans Oceanus and Tethys.,False,,False,,
Saturn XIV (Calypso),Daughter of the Titans Oceanus and Tethys and paramour of Odysseus.,False,,False,,
Saturn XV (Atlas),A Titan; he held the heavens on his shoulders.,False,,False,,
Saturn XVI (Prometheus),"Son of the Titan Iapetus, brother of Atlas and Epimetheus, he gave many gifts to humanity, including fire.",False,,False,,
Saturn XVII (Pandora),Made of clay by Hephaestus at the request of Zeus. She married Epimetheus and opened the box that loosed a host of plagues upon humanity.,False,,False,,
Saturn XVIII (Pan),"Greek god of pastoralism, he was half goat and half human. Son of Hermes, brother of Daphnis, and a descendant of the Titans. Discovered orbiting in the Encke division in Saturn's A ring.",False,,False,,
Saturn XIX (Ymir),Ymir is the primordial Norse giant and the progenitor of the race of frost giants.,False,,False,,
Saturn XX (Paaliaq),Named for an Inuit giant.,False,,False,,
Saturn XXI (Tarvos),Named for a Gallic giant.,False,,False,,
Saturn XXII (Ijiraq),Named for an Inuit giant.,False,,False,,
Saturn XXIII (Suttungr),Named for a Norse giant who kindled flames that destroyed the world.,False,,False,,
Saturn XXIV (Kiviuq),Named for an Inuit giant.,False,,False,,
Saturn XXV (Mundilfari),Named for an Norse giant.,False,,False,,
Saturn XXVI (Albiorix),Named for a Gallic giant who was considered to be the king of the world.,False,,False,,
Saturn XXVII (Skathi),Named for a Norse giantess.,False,,False,,
Saturn XXVIII (Erriapus),Named for a Gallic giant.,False,,False,,
Saturn XXIX (Siarnaq),Named for an Inuit giant.,False,,False,,
Saturn XXX (Thrymr),Named for a Norse giant.,False,,False,,
Saturn XXXI (Narvi),Named for a Norse giant.,False,,False,,
Saturn XXXII (Methone),"One of the Alkyonides, the seven beautiful daughters of the Giant Alkyoneos.",False,,False,,
Saturn XXXIII (Pallene),"One of the Alkyonides, the seven beautiful daughters of the Giant Alkyoneos.",False,,False,,
Saturn XXXIV (Polydeuces),"Twin brother of Castor, son of Zeus and Leda.",False,,False,,
Saturn XXXV (Daphnis),"Shepherd, pipes player, and pastoral poet in Greek mythology. Son of Hermes, brother of Pan, and decendant of the Titans. Discovered orbiting in the Keeler gap in Saturn's A ring.",False,,False,,
Saturn XXXVI (Aegir),"Norse ocean giant who represents the peaceful sea, a stiller of storms.",False,,False,,
Saturn XXXVII (Bebhionn),Beautiful Celtic giantess.,False,,False,,
Saturn XXXVIII (Bergelmir),"Norse frost giant, son of Ymir and one of the Hrimthursar, one of only two members of the frost giant race to escape being drowned in Ymir's blood.",False,,False,,
Saturn XXXIX (Bestla),"Norse primeval goddess, mother of deities, daughter of the giant Bolthorn.",False,,False,,
Saturn XL (Farbauti),"Norse storm giant, father of Loki.",False,,False,,
Saturn XLI (Fenrir),"Norse monstrous wolf, son of Loki and the giantess Angurboda, father of Hati and Skoll.",False,,False,,
Saturn XLII (Fornjot),"Early Norse storm giant, father of Aegir, Kari, and Loge.",False,,False,,
Saturn XLIII (Hati),"Gigantic Norse wolf, twin of Skoll.",False,,False,,
Saturn XLIV (Hyrrokkin),Norse giantess who launched Balder's funeral ship. (Spelling changed from Hyrokkin.),False,,False,,
Saturn XLV (Kari),Norse wind giant.,False,,False,,
Saturn XLVI (Loge),"Norse fire giant, son of Fornjot.",False,,False,,
Saturn XLVII (Skoll),"Gigantic Norse wolf, twin of Hati.",False,,False,,
Saturn XLVIII (Surtur),Norse leader of the fire giants.,False,,False,,
Saturn XLIX (Anthe),"One of the Alkyonides, the seven beautiful daughters of the Giant Alkyoneos.",False,,False,,
Saturn L (Jarnsaxa),Norse giantess and Thor's lover.,False,,False,,
Saturn LI (Greip),Norse giantess.,False,,False,,
Saturn LII (Tarqeq),Inuit moon spirit.,False,,False,,
Saturn LIII (Aegaeon),"Greek hundred-armed giant, called Briareus by the gods.",False,,False,,
Uranus,,False,,False,,
Uranus I (Ariel),"Named by John Herschel for a sylph in Pope's ""Rape of the Lock.""",False,,False,,
Uranus II (Umbriel),"Umbriel was named by John Herschel for a malevolent spirit in Pope's ""Rape of the Lock.""",False,,False,,
Uranus III (Titania),"Named by Herschel's son John in early 19th century for the queen of the fairies in Shakespeare's ""A Midsummer Night's Dream.""",False,,False,,
Uranus IV (Oberon),"Named by Herschel's son John in early 19th century for the king of the fairies in Shakespeare's ""A Midsummer Night's Dream.""",False,,False,,
Uranus V (Miranda),"Named by Kuiper for the heroine of Shakespeare's ""The Tempest.""",False,,False,,
Uranus VI (Cordelia),"Daughter of Lear in Shakespeare's ""King Lear.""",False,,False,,
Uranus VII (Ophelia),"Daughter of Polonius, fiance of Hamlet in Shakespeare's ""Hamlet, Prince of Denmark.""",False,,False,,
Uranus VIII (Bianca),"Daughter of Baptista, sister of Kate, in Shakespeare's ""Taming of the Shrew.""",False,,False,,
Uranus IX (Cressida),"Title character in Shakespeare's ""Troilus and Cressida.""",False,,False,,
Uranus X (Desdemona),"Wife of Othello in Shakespeare's ""Othello, the Moor of Venice.""",False,,False,,
Uranus XI (Juliet),"Heroine of Shakespeare's ""Romeo and Juliet.""",False,,False,,
Uranus XII (Portia),"Wife of Brutus in Shakespeare's ""Julius Caesar.""",False,,False,,
Uranus XIII (Rosalind),"Daughter of the banished duke in Shakespeare's ""As You Like It.""",False,,False,,
Uranus XIV (Belinda),"Character in Pope's ""Rape of the Lock.""",False,,False,,
Uranus XV (Puck),"Mischievous spirit in Shakespeare's ""A Midsummer Night's Dream.""",False,,False,,
Uranus XVI (Caliban),"Named for the grotesque, brutish slave in Shakespeare's ""The Tempest.""",False,,False,,
Uranus XVII (Sycorax),"Named for Caliban's mother in Shakespeare's ""The Tempest.""",False,,False,,
Uranus XVIII (Prospero),"Named for the rightful Duke of Milan in ""The Tempest.""",False,,False,,
Uranus XIX (Setebos),"Setebos was a new-world (South American) deity's name that Shakespeare popularized as Sycorax's god in ""The Tempest.""",False,,False,,
Uranus XX (Stephano),"Named for a drunken butler in ""The Tempest.""",False,,False,,
Uranus XXI (Trinculo),"A jester in Shakespeare's ""The Tempest.""",False,,False,,
Uranus XXII (Francisco),"A lord in ""The Tempest.""",False,,False,,
Uranus XXIII (Margaret),"A gentlewoman attending on Hero from ""Much Ado About Nothing.""",False,,False,,
Uranus XXIV (Ferdinand),"Son of the King of Naples in ""The Tempest.""",False,,False,,
Uranus XXV (Perdita),"Daughter of Leontes and Hermione in ""The Winter's Tale.""",False,,False,,
Uranus XXVI (Mab),"The fairies' midwife in ""Romeo and Juliet.""",False,,False,,
Uranus XXVII (Cupid),"A character in ""Timon of Athens.""",False,,False,,
Neptune,,False,,False,,
Neptune I (Triton),Triton is named for the sea-god son of Poseidon (Neptune) and Amphitrite. The first suggestion of the name Triton has been attributed to the French astronomer Camille Flammarion.,False,,False,,
Neptune II (Nereid),The Nereids were the fifty daughters of the sea god Nereus and Doris and were attendants of Poseidon (Neptune).,False,,False,,
Neptune III (Naiad),"The name of a group of Greek water nymphs who were guardians of lakes, fountains, springs, and rivers.",False,,False,,
Neptune IV (Thalassa),Greek sea goddess. Mother of Aphrodite in some legends; others say she bore the Telchines.,False,,False,,
Neptune V (Despina),Daughter of Poseidon (Neptune) and Demeter.,False,,False,,
Neptune VI (Galatea),"One of the Nereids, attendants of Poseidon.",False,,False,,
Neptune VII (Larissa),"A lover of Poseidon. After the discovery by Voyager, it was established that an occultation of a star by this satellite had been fortuitously observed in 1981 by H. Reitsema, W. Hubbard, L. Lebofsky, and D. J. Tholen.",False,,False,,
Neptune VIII (Proteus),"Greek sea god, son of Oceanus and Tethys.",False,,False,,
Neptune IX (Halimede),"One of the Nereids, the fifty daughters of Nereus and Doris.",False,,False,,
Neptune X (Psamathe),"One of the Nereids, lover of Aeacus and mother of Phocus.",False,,False,,
Neptune XI (Sao),"One of the Nereids, the fifty daughters of Nereus and Doris.",False,,False,,
Neptune XII (Laomedeia),"One of the Nereids, the fifty daughters of Nereus and Doris.",False,,False,,
Neptune XIII (Neso),"One of the Nereids, the fifty daughters of Nereus and Doris.",False,,False,,
Neptune XIV (Hippocamp),"Mythical seahorse in Greek mythology, a symbol of Poseidon.",False,,False,,
(1) Ceres,Roman goddess of corn and harvests.,False,,False,,
(134340) Pluto,"Pluto was discovered at Lowell Observatory in Flagstaff, AZ during a systematic search for a trans-Neptune planet predicted by Percival Lowell and William H. Pickering. Named after the Roman god of the underworld who was able to render himself invisible.",False,,False,,
(134340) Pluto I (Charon),Named after the Greek mythological boatman who ferried souls across the river Styx to Pluto for judgement.,False,,False,,
(134340) Pluto II (Nix),"Goddess of darkness and night, mother of Charon. (Nix is the Egyptian spelling of the Greek name Nyx.)",False,,False,,
(134340) Pluto III (Hydra),"In Greek mythology, terrifying monster with the body of a serpent and nine heads that guarded the underworld.",False,,False,,
(134340) Pluto IV (Kerberos),"In Greek mythology, the many-headed dog that guarded the
entrance to the underworld.",False,,False,,
(134340) Pluto V (Styx),Greek goddess who ruled over the underworld river also named Styx.,False,,False,,
(136108) Haumea,Hawaiian goddess of childbirth and fertility.,False,,False,,
(136108) Haumea I (Hi'iaka),"Daughter of Haumea, patron goddess of the island of Hawaii and of hula dancers.",False,,False,,
(136108) Haumea II (Namaka),"Daughter of Haumea, water spirit in Hawaiian mythology.",False,,False,,
(136199) Eris,Greek goddess of discord and strife.,False,,False,,
(136199) Eris I (Dysnomia),"Eris' daughter, spirit of lawlessness.",False,,False,,
(136472) Makemake,Polynesian (Rapa Nui/Easter Island) creator god.,False,,False,,
