Input Term,Input Definitions,isAcronym,Extracted Term,isDescription,Description,Context
abundance,"The mean concentration of an element in a geochemical reservoir, e.g., the abundance of Ni in meteorites or the crustal abundance of oxygen. Also used for the for relative average content, e.g., the order of abundance of elements in the Earth's crust is O, Si, AL, Fe, Ca, etc. Used for element abundance.",False,,False,,
AC generators,Generators for the production of alternating-current power. Used for alternating current generators and alternators (generators).,True,AC,False,,
accelerated life tests,"Methods designed to approximate, in a short time, the deteriorating effects under normal long-term service conditions.",False,,False,,
accelerating agents,,False,,False,,
~ acceleration,The time rate of change of velocity.,False,,False,,
acceleration measurement,,False,,False,,
acceleration (physics),The rate of change of velocity. The act or process of accelerating or the state of being accelerated. Used for boost and G force.,False,,False,,
acceleration protection,,False,,False,,
acceleration stresses (physiology),,False,,False,,
acceleration tolerance,,False,,False,,
~ accelerators,Machines that ionize gases and electrically accelerate the ions onto targets.,False,,False,,
accelerometers,Transducers which measure acceleration or gravitational forces capable of imparting acceleration.,False,,False,,
acceptability,,False,,False,,
acceptor materials,,False,,False,,
access control,"Hardware or software features, operating procedures, or management procedures designed to permit authorized access to a computer system.",False,,False,,
access time,,False,,False,,
accessories,,False,,False,,
accident investigation,,False,,False,,
accident prevention,,False,,False,,
accident proneness,,False,,False,,
accidents,,False,,False,,
acclimatization,The adjustments of a human body or other organism to a new environment; the bodily changes which tend to increase efficiency and reduce energy loss. Used for deacclimatization.,False,,False,,
accommodation,,False,,False,,
accommodation coefficient,The ratio of the average energy actually transferred between a surface and impinging gas molecules which are scattered by the surface to the average energy which would theoretically be transferred if the impinging molecules reached complete thermal equilibrium with the surface before leaving the surface. Used for thermal accommodation coefficients.,False,,False,,
accounting,"The practice and system of recording and summarizing business and financial transactions, and reporting as well as verifying and analyzing their results.",False,,False,,
accretion disks,"Rotation disks of matter surrounding an astronomical object, such as a star, galactic nucleus, black hole, etc., which is accumulated gravitationally by the object.",False,,False,,
accumulations,,False,,False,,
accumulators,Devices or apparatus that accumulate or store. Used for collectors.,False,,False,,
accumulators (computers),"In computer technology, devices which store a number and upon receipt of another number add it to the number already stored and store the sum.",False,,False,,
accuracy,The degree of agreement of the measurements with the true value of the magnitude of the quantity measured. Used for error band and fidelity.,False,,False,,
ACEE program,"A NASA program started in 1975 to reduce fuel consumption for transport aircraft through the study of structural and aerodynamic energy efficiency as well as engine energy efficiency consisting of engine component improvement, new energy efficient engines, and advanced turbopropellers. The acronym stands for aircraft energy efficiency. Used for Aircraft Energy Efficiency program and energy efficiency transport program.",True,ACEE,False,,
acetaldehyde,,False,,False,,
acetals,,False,,False,,
acetanilide,,False,,False,,
acetates,,False,,False,,
acetazolamide,,False,,False,,
acetic acid,,False,,False,,
acetone,,False,,False,,
acetonitrile,,False,,False,,
acetyl compounds,,False,,False,,
acetylacetone,,False,,False,,
acetylation,"Substitution of an acetyl radical for an active hydrogen. Specifically, formation of cellulose acetate from cellulose. Used for acetation.",False,,False,,
acetylcholine,"A major neurotransmitter in vertebrates at neuromuscular junctions, autonomic ganglia, parasympathetic effector junctions, a subset of sympathetic effector junctions, and at many sites in the central nervous system.",False,,False,,
acetylene,,False,,False,,
acetylsalicylic acid,,False,,False,,
achievement,,False,,False,,
achondrites,,False,,False,,
acid base equilibrium,,False,,False,,
acid rain,Low pH rainfall resulting from atmospheric reactions of aerosols containing chlorides and sulfates (or other negative ions).,False,,False,,
acidity,,False,,False,,
acidosis,Reduction of alkali reserves due to an excess of acid metabolites.,False,,False,,
acids,,False,,False,,
acoustic attenuation,,False,,False,,
acoustic coupling,,False,,False,,
acoustic delay lines,Devices used in a communications link or a computer memory in which the signal is delayed by the propagation of sound waves. Used for sonic waveguides.,False,,False,,
acoustic ducts,,False,,False,,
acoustic emission,The stress and pressure waves generated during dynamic processes in materials and used in assessing structural integrity in machined parts.,False,,False,,
acoustic excitation,The process of inducing vibration in a structure by exposure to sound waves.,False,,False,,
acoustic fatigue,,False,,False,,
acoustic frequencies,,False,,False,,
acoustic imaging,,False,,False,,
acoustic impedance,,False,,False,,
acoustic instability,,False,,False,,
acoustic levitation,"Method by which molten materials in space are suspended during processing experiments in the low gravity environment. Also, the use of very intense sound waves to keep a body suspended, thereby eliminating any container contact.",False,,False,,
acoustic measurement,"Measurement of properties, quantities, or conditions of acoustical, i.e., mechanical waves. Used for sound measurement.",False,,False,,
acoustic microscopes,Instruments which use acoustic radiation at microwave frequencies to allow visualization of microscopic detail exhibited in elastic properties of objects. Used for scanning laser acoustic microscope (SLAM).,False,,False,,
acoustic nozzles,,False,,False,,
acoustic propagation,,False,,False,,
acoustic properties,,False,,False,,
acoustic resonance,,False,,False,,
acoustic retrofitting,"Modification, especially of aircraft, to effect noise reduction; specifically, the introduction of absorber materials and jet noise silencers.",False,,False,,
acoustic scattering,,False,,False,,
acoustic simulation,,False,,False,,
acoustic sounding,,False,,False,,
acoustic streaming,Unidirectional flow currents in a fluid that are due to the presence of sound waves.,False,,False,,
acoustic velocity,"The speed of propagation of sound waves. Used for sonic speed, sound barrier, and sound velocity.",False,,False,,
acoustical holography,,False,,False,,
acoustics,"The study of sound, including its production, transmission, and effects. Those qualities of an enclosure that together determine its character with respect to distinct hearing. Used for sound.",False,,False,,
acousto-optics,,False,,False,,
acquired immunodeficiency syndrome,"A condition caused by the human immunodeficiency virus (HIV) attacking the human body's T-cells, thereby rendering an infected individual defenseless against diseases.",False,,False,,
acquisition,,False,,False,,
acriflavine,,False,,False,,
acroleins,,False,,False,,
acrylates,,False,,False,,
acrylic acid,,False,,False,,
acrylic resins,,False,,False,,
acrylonitriles,,False,,False,,
actinide series,"The series of elements beginning with actium, Element No. 89, and continuing through lawrencium, Element No. 103.",False,,False,,
actinide series compounds,,False,,False,,
actinium,,False,,False,,
actinometers,"The general name for instruments used to measure the intensity of radiant energy, particularly that of the sun. Used for actinographs and emissographs.",False,,False,,
actinomycetes,,False,,False,,
actinomycin,,False,,False,,
activated carbon,,False,,False,,
activated sludge,"A semiliquid mass removed from the liquid flow of sewage and subjected to aeration and aerobic microbial action. The end product is dark to golden brown, partially decomposed, granular and flocculent, and has an earthy odor when fresh.",False,,False,,
activation,,False,,False,,
activation analysis,"A method of chemical analysis, especially for small traces of materials, based on the detection of characteristic radiations following a nuclear bombardment.",False,,False,,
activation (biology),,False,,False,,
activation energy,,False,,False,,
active control,The automatic activation of various control surface functions in aircraft.,False,,False,,
active galactic nuclei,,False,,False,,
active galaxies,,False,,False,,
active satellites,"Satellites which transmit a signal, in contrast to passive satellites.",False,,False,,
active sites (chemistry),The reactive parts of a molecule that directly participate in its specific combination with another molecule.,False,,False,,
~ activity,,False,,False,,
activity (biology),,False,,False,,
activity cycles (biology),,False,,False,,
ACTS,,True,ACTS,False,,
actuation,,False,,False,,
actuator disks,,False,,False,,
actuators,"Mechanisms to activate process control equipment, e.g., valves. Used for cartridge actuated devices, hydraulic actuators, and triggers.",False,,False,,
acuity,The keeness of ability to detect and discriminate.,False,,False,,
acylation,,False,,False,,
Ada (programming language),"A programming language based on PASCAL, originally developed on behalf of the US Department of Defense for use in embedded computer systems. It is named Ada in honor of Augusta Ada Byron, countess of Lovelace, primarily due to the fact that she was the assistant and patron of Charles Babbage and is considered the world's first programmer.",False,,False,,
adaptation,"The adjustment, alteration or modification of an organism to fit it more perfectly for existence in its environment.",False,,False,,
adapters,"Devices or contrivances used or designed primarily to fit or adjust one thing to another. Devices, appliances or the like used to alter something so as to make it suitable for a use for which it was not originally designed.",False,,False,,
adaptive control,,False,,False,,
adaptive filters,,False,,False,,
adaptive optics,Real-time optical correction for atmospheric perturbations and other system error sources.,False,,False,,
adatoms,Atoms adsorbed on a solid surface. Adatoms and their associated properties are often exploited in the development of microelectronic and nanoelectronic structures.,False,,False,,
adding circuits,,False,,False,,
addition,,False,,False,,
addition resins,,False,,False,,
addition theorem,,False,,False,,
additives,Materials or substances added to something else for a specific purpose. Used for doping (additives).,False,,False,,
addressing,,False,,False,,
adducts,"Chemical compounds with weak bonds, e.g., occlusive or Van der Waal bonds.",False,,False,,
adenines,,False,,False,,
adenosine diphosphate,,False,,False,,
adenosine monophosphate,Adenine nucleotide containing one phosphate group.,False,,False,,
adenosine triphosphate,,False,,False,,
adenosines,,False,,False,,
adenosinetriphosphatase,,False,,False,,
adenoviruses,,False,,False,,
adequacy,,False,,False,,
adhesion,,False,,False,,
adhesion tests,,False,,False,,
adhesive bonding,,False,,False,,
adhesives,,False,,False,,
adiabatic conditions,,False,,False,,
adiabatic demagnetization cooling,"Use of paramagnetic salts cooled to the boiling point of helium in a strong magnetic field, then thermally isolated and removed from the field to demagnetize the salts and attain temperatures of 10(-3) K.",False,,False,,
adiabatic equations,,False,,False,,
adiabatic flow,,False,,False,,
adipose tissues,,False,,False,,
Adiprene (trademark),,False,,False,,
Adirondack Mountains (NY),,True,NY,False,,
adjoints,,False,,False,,
adjusting,,False,,False,,
admixtures,,False,,False,,
Adrastea,"A natural satellite of Jupiter orbiting at a mean distance of 129,980 kilometers.",False,,False,,
adrenal gland,,False,,False,,
adrenal metabolism,,False,,False,,
adrenergics,,False,,False,,
adrenocorticotropin (ACTH),,True,ACTH,False,,
Adriatic Sea,,False,,False,,
adsorbents,Materials which take up gases by adsorption.,False,,False,,
adsorption,The adhesion of a thin film of liquid or gas to the surface of a solid substance. The solid does not combine chemically with the adsorbed substance.,False,,False,,
adsorptivity,,False,,False,,
adults,A person having attained full growth or maturity.,False,,False,,
Advanced Composition Explorer,"Explorer spacecraft (launched August 25, 1997) carrying six high-resolution sensors and three monitoring instruments for sampling low-energy particles of solar origin and high-energy galactic particles. From a vantage point approximately 1/100 of the distance from the Earth to the Sun, the Advanced Composition Explorer (ACE) can perform measurements over a wide range of energy and nuclear mass, under all solar wind flow conditions and during both large and small particle events including solar flares. When reporting space weather ACE can provide an advance warning of geomagnetic storms.",False,,False,,
Advanced Launch System (STS),,True,STS,False,,
Advanced Microwave Sounding Unit,"A line-scan instrument on the Advanced TIROS-N (ATN) NOAA K-N series of operational meteorological satellites. The AMSU consists of two functionally independent units, AMSU-A and AMSU-B. The AMSU-A is designed to measure scene radiance in 15 channels, ranging from 23.8 to 89 GHz, to derive atmospheric temperature profiles from the Earth surface to about 3 millibar pressure height. The AMSU-B is designed to measure scene radiance in five channels, ranging from 89 GHz to 183 GHz for the computation of atmospheric water vapor profiles.",False,,False,,
Advanced Range Instrumentation Aircraft,An EC-135 aircraft configured for reception recording and real-time relay of telemetry data.,False,,False,,
Advanced Range Instrumentation Ship,,False,,False,,
Advanced Reconn Electric Spacecraft,,False,,False,,
advanced sodium cooled reactor,,False,,False,,
Advanced Solid Rocket Motor (STS),,True,STS,False,,
Advanced Technology Laboratory,An all-pallet payload utilizing the Space Shuttle and the European Spacelab and designed to accommodate 8 to 15 experiments per mission.,False,,False,,
advanced test reactors,,False,,False,,
Advanced Very High Resolution Radiometer,A five channel scanning instrument that quantitatively measures electromagnetic radiation.,False,,False,,
Advanced Vidicon Camera System (AVCS),,True,AVCS,False,,
advection,"The process of transport of an atmospheric property solely by the mass motion of the atmosphere; also, the rate of change of the value of the advected property at a given point.",False,,False,,
Advent Project,,False,,False,,
aeolian tones,,False,,False,,
aeolotropism,,False,,False,,
AEPS,,True,AEPS,False,,
aeration,,False,,False,,
aerial explosions,,False,,False,,
aerial photography,,False,,False,,
aerial reconnaissance,,False,,False,,
aerial rudders,,False,,False,,
aeroacoustics,,False,,False,,
aeroassist,"Changing orbit size by utilizing aerobraking, aerocapture, or aeromaneuvering.",False,,False,,
aerobatics,,False,,False,,
Aerobee rocket vehicle,,False,,False,,
aerobes,,False,,False,,
aerobiology,The study of the distribution of living organisms freely suspended in the atmosphere.,False,,False,,
aerobraking,Changing orbit size by using the upper atmosphere to create drag.,False,,False,,
aerocapture,Making use of the atmosphere of a planet or planetary satellite by capturing the object and reducing the orbit size so that it remains in orbit or lands on the body.,False,,False,,
aerodynamic balance,,False,,False,,
aerodynamic brakes,,False,,False,,
aerodynamic characteristics,,False,,False,,
aerodynamic coefficients,"Any nondimensional coefficients relating to aerodynamic forces or moments, such as a coefficient of drag, a coefficient of lift, etc. Used for lift coefficients.",False,,False,,
aerodynamic configurations,,False,,False,,
aerodynamic drag,,False,,False,,
aerodynamic forces,The force exerted by a moving gaseous fluid upon a body completely immersed in it. Used for Glauert coefficient.,False,,False,,
aerodynamic heat transfer,,False,,False,,
aerodynamic heating,The heating of a body produced by the passage of air or other gases over its surface.,False,,False,,
aerodynamic interference,,False,,False,,
aerodynamic loads,,False,,False,,
aerodynamic noise,,False,,False,,
aerodynamic stability,,False,,False,,
aerodynamic stalling,,False,,False,,
aerodynamics,"The science that deals with the motion of air and other gaseous fluids, and the forces acting on bodies when the bodies move through such fluids, or when such fluids move against or around the bodies. Used for hydroaeromechanics.",False,,False,,
aeroelastic research wings,Wings that are designed with less than normal stiffness to test devices that suppress flutter.,False,,False,,
aeroelasticity,The study of the response of structurally elastic bodies to aerodynamic loads.,False,,False,,
aeroembolism,"The formation or liberation of gases in the blood vessels of the body, as brought on by a too-rapid change from a high, or relatively high, atmospheric pressure to a lower one.",False,,False,,
aerogels,,False,,False,,
aerology,"The study of the free atmosphere throughout its vertical extent, as distinguished from studies confined to the layer of the atmosphere adjacent to the Earth's surface.",False,,False,,
aeromagnetism,,False,,False,,
aeromaneuvering,Changing orbit size or plane or both by entering the upper atmosphere to create drag or lift or both.,False,,False,,
Aeromaneuvering Orbit to Orbit Shuttle,Proposed reusable upper stage for the Space Shuttle superseded by the orbit transfer vehicle. Used for AMOOS.,False,,False,,
aeronautical engineering,,False,,False,,
aeronautical satellites,,False,,False,,
~ aeronautics,,False,,False,,
aeronomy,"The study of the upper regions of the atmosphere where ionization, dissociation, and chemical reactions take place.",False,,False,,
aeroquatic vehicles,,False,,False,,
AEROS satellite,,True,AEROS,False,,
Aerosat satellites,,False,,False,,
aeroservoelasticity,,False,,False,,
aeroshells,"Aerodynamic structural shells that attach to, or comprise a portion of, the exterior of an aerospace vehicle or space probe; especially such structures that support atmospheric entry, aerobraking, aeroassist, or hypersonic flight.",False,,False,,
aerosinusitis,,False,,False,,
aerosols,Dispersions of solid or liquid particles in gaseous media.,False,,False,,
aerospace engineering,,False,,False,,
aerospace environments,,False,,False,,
aerospace industry,,False,,False,,
aerospace medicine,That branch of medicine dealing with the effects of flight through the atmosphere or in space upon the human body and with the prevention or cure of physiological or psychological malfunctions arising from these effects.,False,,False,,
aerospace planes,,False,,False,,
aerospace safety,"The engineering assessment and analysis of systems, subsystems, and functions of spacecraft, missiles, advanced aircraft and ground support in order to identify hazards associated with such systems and to design procedures that eliminate those hazards or determine tolerable safety levels.",False,,False,,
~ aerospace sciences,,False,,False,,
aerospace systems,,False,,False,,
aerospace technology transfer,"Technology transfer germane to aircraft and space vehicles, their propulsion, guidance, etc.",False,,False,,
aerospace vehicles,Vehicles capable of flight within and outside the sensible atmosphere.,False,,False,,
aerospike engines,"Rocket engines incorporating a radial in-flow (aerospike) nozzle for altitude compensation. Since the nozzle is open to the ambient atmosphere, the plume compensates for decreasing atmospheric pressure as the vehicle ascends.",False,,False,,
aerostatics,,False,,False,,
aerothermochemistry,,False,,False,,
aerothermodynamics,The study of aerodynamic phenomena at sufficiently high gas velocities that thermodynamic properties of the gas are important.,False,,False,,
aerothermoelasticity,The study of the response of elastic structures to the combined effects of aerodynamic heating and loading.,False,,False,,
aerozine,A rocket fuel consisting of a mixture of hydrazine and unsymmetrical dimethylhydrazine (UDMH).,False,,False,,
afferent nervous systems,,False,,False,,
affinity,,False,,False,,
Afghanistan,,False,,False,,
Africa,,False,,False,,
African rift system,,False,,False,,
afterbodies,Companion bodies that trail satellites. Sections or pieces of rockets or spacecraft that enter the atmosphere unprotected behind nose cones or other bodies that are protected for entry. Afterparts of vehicles. Used for cylindrical afterbodies and sterns.,False,,False,,
afterburning,"Irregular burning of fuel left in the firing chamber of a rocket after cutoff. The function of an afterburner, a device for augmenting the thrust of a jet engine by burning additional fuel in the uncombined oxygen in the gases from the turbine. Used for afterburners.",False,,False,,
afterglows,"Broad, high arches of radiance or glow seen occasionally in the western sky above the highest clouds in deepening twilight, caused by the scattering effect of very fine particles of dust suspended in the upper atmosphere. Also, the transient decay of a plasma after the power has been turned off.",False,,False,,
afterimages,,False,,False,,
age factor,,False,,False,,
Agena A rocket vehicle,,False,,False,,
Agena B Ranger Program,,False,,False,,
Agena B rocket vehicle,,False,,False,,
Agena C rocket vehicle,,False,,False,,
Agena D rocket vehicle,,False,,False,,
Agena rocket vehicles,,False,,False,,
~ agents,,False,,False,,
agglomeration,,False,,False,,
agglutination,,False,,False,,
aggregates,,False,,False,,
~ aging,,False,,False,,
aging (biology),,False,,False,,
aging (materials),,False,,False,,
aging (metallurgy),,False,,False,,
agitation,,False,,False,,
agreements,,False,,False,,
agricultural aircraft,Light aircraft specially equipped for agricultural applications such as crop dusting.,False,,False,,
agriculture,,False,,False,,
AgRISTARS project,"A multiagency program utilizing Landsat remote sensing data to predict crop yields, land use, and detect pollution. Used for Crop Inventories by Remote Sensing.",True,AgRISTARS,False,,
agroclimatology,,False,,False,,
agrometeorology,,False,,False,,
agrophysical units,Geographic areas defined for statistical purposes by AgRISTARS personnel whose boundaries are based on natural rather than political lines for the purpose of comparing similar agricultural regions.,False,,False,,
AH-1G helicopter,US Army designation for the Bell Model 209 Hueycobra attack helicopter powered by a single Avco Lycoming T53-L-13 turboshaft engine.,False,,False,,
AH-1S helicopter,,False,,False,,
AH-1W helicopter,,False,,False,,
AH-63 helicopter,,False,,False,,
AH-64 helicopter,,False,,False,,
~ aids,,False,,False,,
ailerons,,False,,False,,
air,The mixture of gases comprising the Earth's atmosphere.,False,,False,,
air bag restraint devices,,False,,False,,
air breathing boosters,Boosters which are possible substitutes for rocket engines and which have inlets for oxygen sources for their engines rather than carrying their own oxygen as in a conventional rocket.,False,,False,,
air breathing engines,,False,,False,,
air cargo,,False,,False,,
air conditioning,"The simultaneous control of all, or at least three, of those factors affecting both the physical and chemical conditions of the atmosphere within any structure. These factors include temperature, humidity, motion, distribution, dust, bacteria, odor, and toxic gases.",False,,False,,
air conditioning equipment,,False,,False,,
air conductivity,,False,,False,,
air cooling,,False,,False,,
air currents,,False,,False,,
air cushion landing systems,Landing systems based on the ground effect principle whereby a stratum of air is utilized as the aircraft ground contacting medium (in place of landing gear).,False,,False,,
air data systems,"Sets of aerodynamic and thermodynamic sensors, and a computer which provide flight characteristics such as airspeed, static pressure, air temperature and Mach number.",False,,False,,
air defense,,False,,False,,
air drop operations,,False,,False,,
air ducts,,False,,False,,
air filters,,False,,False,,
air flow,,False,,False,,
air intakes,,False,,False,,
air jets,,False,,False,,
air land interactions,,False,,False,,
air launching,,False,,False,,
air law,The body of domestic and/or international laws dealing with regulations and liabilities in civil or military aviation.,False,,False,,
air locks,"A stoppage or diminution of flow in a fuel system, hydraulic system, or the like, caused by pockets of air or vapor. Also chambers capable of being hermetically sealed that provide for passage between two places of different pressure as between an altitude chamber and the outside atmosphere.",False,,False,,
air mail,,False,,False,,
air masses,Large widespread volumes of air having particular characteristics of temperature and moisture content that were acquired at its source region and are modified as they move away from their source.,False,,False,,
air navigation,"The art, science, or action of plotting and directing the course of an aircraft through the air from one place to another.",False,,False,,
air piracy,,False,,False,,
air pollution,"The presence of unwanted material in the air. The term ""unwanted material"" here refers to material in sufficient concentrations, present for a sufficient time, and under circumstances to interfere significantly with comfort, health, or welfare of persons, or with the full use and enjoyment of property. Used for atmospheric impurities.",False,,False,,
air purification,,False,,False,,
air quality,,False,,False,,
air sampling,,False,,False,,
air sea ice interactions,,False,,False,,
air slew missiles,Solid propellant rockets utilizing thrust vector control.,False,,False,,
air start,,False,,False,,
air to air missiles,,False,,False,,
air to air refueling,,False,,False,,
air to surface missiles,,False,,False,,
air traffic,,False,,False,,
air traffic control,"A service operated by approriate authority to promote the safe, orderly and expedious flow of air traffic.",False,,False,,
air traffic controllers (personnel),,False,,False,,
air transportation,"The conveyance of cargo and passengers by means of airplanes, helicopters, and other airborne vehicles.",False,,False,,
air water interactions,,False,,False,,
airborne equipment,,False,,False,,
airborne infection,,False,,False,,
Airborne Integrated Reconnaissance System,Aerial reconnaissance system incorporating various modes of detection. Used for AIRS (reconnaissance sys).,False,,False,,
airborne lasers,,False,,False,,
airborne radar,,True,radar,False,,
airborne radar approach,The use of airborne radar for helicopter approach control -- the radar cursor technique.,True,radar,False,,
airborne range and orbit determination,,False,,False,,
airborne/spaceborne computers,,False,,False,,
airborne surveillance radar,,True,radar,False,,
~ aircraft,,False,,False,,
aircraft accident investigation,,False,,False,,
aircraft accidents,,False,,False,,
aircraft antennas,,False,,False,,
aircraft approach spacing,,False,,False,,
aircraft brakes,,False,,False,,
aircraft carriers,,False,,False,,
aircraft communication,The conveyance of information to or from aircraft by radio or other signals.,False,,False,,
aircraft compartments,,False,,False,,
aircraft configurations,,False,,False,,
aircraft construction materials,A general term designating the materials used in manufacturing an aircraft.,False,,False,,
aircraft control,To direct the movements of an aircraft with particular reference to changes in attitude and speed.,False,,False,,
aircraft design,"The act of conceiving and planning the structure, systems, and performance characteristics of an aircraft vehicle or any other apparatus, machine or contrivance intended to be borne up either by dynamic action of the air upon the object`s surfaces, or by the object`s own buoyancy.",False,,False,,
aircraft detection,,False,,False,,
aircraft engines,,False,,False,,
aircraft equipment,,False,,False,,
aircraft fuel systems,,False,,False,,
aircraft fuels,,False,,False,,
aircraft guidance,,False,,False,,
aircraft hazards,,False,,False,,
aircraft hydraulic systems,,False,,False,,
aircraft icing,"Accumulation of ice on aircraft external surfaces, propellers and engine inlets from freezing rain or flight through inclement weather.",False,,False,,
aircraft industry,,False,,False,,
aircraft instruments,"Any electronic or mechanically-based instrument or instrument system designed for detecting, measuring, displaying, recording, telemetering, processing, or analyzing different values or quantities encountered in the flight of an aircraft; often supporting the general control of the aircraft.",False,,False,,
aircraft landing,,False,,False,,
aircraft launching devices,,False,,False,,
aircraft lights,,False,,False,,
aircraft maintenance,,False,,False,,
aircraft maneuvers,,False,,False,,
aircraft models,,False,,False,,
aircraft noise,,False,,False,,
aircraft parts,,False,,False,,
aircraft performance,"The manner or effectiveness with which an aircraft vehicle or any airborne structure, machine, or contrivance functions while in operation.",False,,False,,
aircraft pilots,,False,,False,,
aircraft power supplies,Electric power sources for the normal operation of aircraft.,False,,False,,
aircraft production,,False,,False,,
aircraft production costs,,False,,False,,
aircraft reliability,,False,,False,,
aircraft runup,Final engine check prior to takeoff.,False,,False,,
aircraft safety,Techniques used to prevent aircraft failures or accidents; the degree to which an aircraft is free of the risk of malfunction or accidents.,False,,False,,
aircraft specifications,,False,,False,,
aircraft spin,"A prolonged stall in fixed-wing aircraft characterized by a sustained spiral descent, usually with the nose down.",False,,False,,
aircraft stability,"The property of an aircraft to maintain its attitude or to resist displacement, and if displaced, to develop forces and moments tending to restore the original condition.",False,,False,,
aircraft structures,,False,,False,,
aircraft survivability,,False,,False,,
aircraft tires,,False,,False,,
aircraft wakes,,False,,False,,
airdrops,,False,,False,,
airfield surface movements,,False,,False,,
airfoil fences,,False,,False,,
airfoil oscillations,Periodic motions experienced by airfoils in aerodynamic conditions.,False,,False,,
airfoil profiles,,False,,False,,
airfoils,"Structures, pieces, or bodies, originally likened to foils or leaves in being wide and thin, designed to obtain a useful reaction on themselves in their motion through the air. Used for airfoil characteristics.",False,,False,,
airframe materials,,False,,False,,
airframes,The assembled structural and aerodynamic components of an aircraft or rocket vehicle that support the different systems and subsystems integral to the vehicle.,False,,False,,
airglow,The quasi-steady radiant emission from the upper atmosphere as distinguished from the sporadic emission of the auroras. Used for atmospheric emission.,False,,False,,
airline operations,,False,,False,,
airlock modules,Modular chambers capable of being hermetically sealed that provide for passage between two places of different pressure as between an altitude chamber and the outside atmosphere.,False,,False,,
airport beacons,,False,,False,,
airport lights,,False,,False,,
airport planning,,False,,False,,
airport security,"Organization of trained security personnel, surveillance and screening devices, and procedures used for the protection of airport and airline property, aircraft, passengers, employees, and visitors from injury, air piracy, and other unauthorized acts.",False,,False,,
airport surface detection equipment,,False,,False,,
airport towers,,False,,False,,
