Input Term,isAcronym,Extracted Term,isDescription,Description,Context
"[Luna, Ye-6 no. 5]",False,,False,,
Ranger VII,False,,False,,
Mariner IV,False,,False,,
Mariner III,False,,False,,
,False,,False,,
Zond 2,False,,False,,
,False,,False,,
Ranger VIII [Atlas Centaur 5],False,,False,,
Kosmos 60 [Luna],False,,False,,
Ranger IX,False,,False,,
Luna 5,False,,False,,
"[Luna, Ye-6 no. 8]",False,,False,,
Luna 6,False,,False,,
Zond 3,False,,False,,
Surveyor Model 1,False,,False,,
Luna 7,False,,False,,
Venera 2,False,,False,,
Venera 3,False,,False,,
Kosmos 96 [Venera],False,,False,,
Luna 8,False,,False,,
Pioneer VI,False,,False,,
,False,,False,,
Luna 9,False,,False,,
Kosmos 111 [Luna],False,,False,,
Luna 10,False,,False,,
Surveyor Model 2,False,,False,,
Surveyor I,False,,False,,
Explorer XXXIII,False,,False,,
Lunar Orbiter I,False,,False,,
Pioneer VII,False,,False,,
Luna 11,False,,False,,
Surveyor II,False,,False,,
Luna 12,False,,False,,
Lunar Orbiter II,False,,False,,
,False,,False,,
Luna 13,False,,False,,
Lunar Orbiter III,False,,False,,
Surveyor III,False,,False,,
Lunar Orbiter IV,False,,False,,
Kosmos 159 [Luna],False,,False,,
Venera 4,False,,False,,
,False,,False,,
Mariner V,False,,False,,
Kosmos 167 [Venera],False,,False,,
Explorer XXXV / Anchored,False,,False,,
International Monitoring Platform 6,False,,False,,
Surveyor IV,False,,False,,
Lunar Orbiter V,False,,False,,
Surveyor V,False,,False,,
"[Zond, 7K-L1 no. 4L]",False,,False,,
Surveyor VI,False,,False,,
"[Zond, 7K-L1 no. 5L]",False,,False,,
Pioneer VIII,False,,False,,
,False,,False,,
Surveyor VII,False,,False,,
"[Luna, Ye-6LS no. 112]",False,,False,,
Zond 4,False,,False,,
"Luna 14 [Zond, 7K-L1 no. 7L]",False,,False,,
Zond 5,False,,False,,
Pioneer IX,False,,False,,
Zond 6,False,,False,,
,False,,False,,
Venera 5,False,,False,,
Venera 6,False,,False,,
"[Zond, 7K-L1 no. 13L]",False,,False,,
"[Luna, Ye-8 no. 201]",False,,False,,
"[N1 launch test, 7K-L1S no. 2]",False,,False,,
Mariner VI,False,,False,,
"[Mars, M-69 no. 521]",False,,False,,
Mariner VII,False,,False,,
"[Mars, M-69 no. 522]",False,,False,,
"[Luna, Ye-8-5 no. 402] [N1 test flight, 7K-L1S]",False,,False,,
Luna 15,False,,False,,
Zond 7,False,,False,,
Pioneer,False,,False,,
Kosmos 305 [Luna],False,,False,,
Kosmos 300 [Luna],False,,False,,
"[Luna, Ye-8-5 no. 405] Venera 7",False,,False,,
Luna 16,False,,False,,
Kosmos 359 [Venera],False,,False,,
,False,,False,,
Zond 8,False,,False,,
Luna 17 and Lunokhod 1,False,,False,,
,False,,False,,
Mariner 8,False,,False,,
Kosmos 419 [Mars],False,,False,,
Mars 2,False,,False,,
Mars 3,False,,False,,
,False,,False,,
Mariner 9,False,,False,,
Apollo 15 Particle and Fields,False,,False,,
Subsatellite,False,,False,,
Luna 18,False,,False,,
Luna 19,False,,False,,
,False,,False,,
Luna 20,False,,False,,
Pioneer 10,False,,False,,
,False,,False,,
Venera 8,False,,False,,
Apollo 16 Particles and Fields,False,,False,,
Subsatellite,False,,False,,
Kosmos 482 [Venera],False,,False,,
"[N1 launch test, 7K-LOK no. 6A]",False,,False,,
Luna 21 and Lunokhod 2,False,,False,,
Pioneer 11,False,,False,,
,False,,False,,
Explorer 49,False,,False,,
Mars 4,False,,False,,
Mars 5,False,,False,,
Mars 6,False,,False,,
Mars 7,False,,False,,
Mariner 10,False,,False,,
,False,,False,,
Luna 22,False,,False,,
Luna 23,False,,False,,
Helios 1,False,,False,,
,False,,False,,
,False,,False,,
Venera 9,False,,False,,
Venera 10,False,,False,,
Viking 1,False,,False,,
,False,,False,,
,False,,False,,
Viking 2,False,,False,,
,False,,False,,
[Luna],False,,False,,
Helios 2,False,,False,,
Luna 24,False,,False,,
Voyager 2,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
Voyager 1,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
Pioneer Venus 1,False,,False,,
Pioneer Venus 2,False,,False,,
ISEE-3,False,,False,,
Venera 11,False,,False,,
,False,,False,,
Venera 12,False,,False,,
,False,,False,,
,False,,False,,
Venera 13,False,,False,,
Venera 14,False,,False,,
,False,,False,,
,False,,False,,
Venera 15,False,,False,,
Venera 16,False,,False,,
Vega 1,False,,False,,
Vega 2,False,,False,,
,False,,False,,
,False,,False,,
Sakigake,False,,False,,
Giotto,False,,False,,
Suisei,False,,False,,
,False,,False,,
,False,,False,,
Fobos 1,False,,False,,
Fobos 2,False,,False,,
,False,,False,,
,False,,False,,
Magellan,False,,False,,
,False,,False,,
Galileo,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
Hiten and Hagoromo,False,,False,,
Ulysses,False,,False,,
,False,,False,,
,False,,False,,
Geotail,False,,False,,
Mars Observer,False,,False,,
Clementine,False,,False,,
Wind,False,,False,,
,False,,False,,
,False,,False,,
SOHO,True,SOHO,False,ESA sponsored Solar and Heliospheric Observatory," solar wind anisotropies experiment (SWAN)  7. charge, element, and isotope analysis experiment (CELIAS) 8. comprehensive suprathermal and energetic particle analyzer (COSTEP) 9. energetic and relativistic nuclei and elec-tron experiment (ERNE) 10. global oscillations at low frequencies experiment (GOLF) 11. variability of solar irradiance and gravity oscillations experiment (VIRGO) 12. Michelson Doppler imager/solar oscilla-tions investigation (MDI/SOI)Results: The ESA-sponsored Solar and Heliospheric Observatory (SOHO) carries 12 scientific instru-ments to study the solar atmosphere, helioseis-mology, and the solar wind. Information from the  "
,False,,False,,
NEAR Shoemaker,True,NEAR,False,Near Earth Asteroid Rendezvous,Launch Complex 17B Scientific Instruments:1. multi-spectral imager (MSI)2. magnetometer (MAG)3. near infrared spectrometer (NIS)4. x-ray/gamma ray spectrometer (XGRS)5. laser rangefinder (NLR)6. radio science and gravimetry experimentResults: Near Earth Asteroid Rendezvous (NEAR)  
Mars Global Surveyor,False,,False,,
Mars 8 / Mars 96,False,,False,,
,False,,False,,
Mars Pathfinder,False,,False,,
,False,,False,,
ACE,True,ACE,False,Composition Explorer,8. magnetometer (MAG)9. real time solar wind experiment (RTSW)Results: The Advanced Composition Explorer  (ACE) spacecraft was designed to study space-borne energetic particles from the SunŒEarth L1  
Cassini-Huygens,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
Asiasat 3 / HGS 1,True,HGS,False,,
,False,,False,,
Lunar Prospector,False,,False,,
Nozomi,False,,False,,
,False,,False,,
Deep Space 1,False,,False,,
Mars Climate Orbiter,False,,False,,
Mars Polar Lander and,False,,False,,
Deep Space 2,False,,False,,
Stardust,False,,False,,
,False,,False,,
,False,,False,,
2001 Mars Odyssey,False,,False,,
Microwave Anisotropy Probe (MAP),True,MAP,False,Microwave Anisotropy Probe, 213 196 Microwave Anisotropy Probe (MAP) 
Genesis,False,,False,,
,False,,False,,
CONTOUR,True,CONTOUR,False,composition of their comas. Named Comet Nucleus Tour,"the structure and composition of their comas.  Named Comet Nucleus Tour (CONTOUR),  "
,False,,False,,
Hayabusa,False,,False,,
Mars Express and Beagle 2,False,,False,,
,False,,False,,
Spirit,False,,False,,
,False,,False,,
,False,,False,,
Opportunity,False,,False,,
,False,,False,,
SIRTF / Spitzer Space Telescope,True,SIRTF,False,Space Infrared Telescope Facility,Spacecraft: Space Infrared Telescope Facility  (SIRTF) 
,False,,False,,
SMART-1,False,,False,,
,False,,False,,
Rosetta and Philae,False,,False,,
,False,,False,,
MESSENGER,True,MESSENGER,False,,
,False,,False,,
,False,,False,,
,False,,False,,
Deep Impact,False,,False,,
Mars Reconnaissance Orbiter,False,,False,,
,False,,False,,
,False,,False,,
Venus Express,False,,False,,
,False,,False,,
New Horizons,False,,False,,
,False,,False,,
,False,,False,,
STEREO A and STEREO B,True,STEREO,False,,
,False,,False,,
,False,,False,,
Artemis P1 and Artemis P2,False,,False,,
Phoenix,False,,False,,
,False,,False,,
Kaguya,False,,False,,
Dawn,False,,False,,
,False,,False,,
,False,,False,,
Chang’e 1,False,,False,,
,False,,False,,
,False,,False,,
Chandrayaan-1 and MIP,True,MIP,False,(HEX) 5. Moon impact probe,Launch Site: Sriharikota / SLP Scientific Instruments:Main Satellite: 1. terrain mapping camera (TMC) 2. hyper spectral imager (HySI) 3. lunar laser ranging instrument (LLRI) 4. high energy x-ray spectrometer (HEX) 5. Moon impact probe (MIP) 6. Chandrayaan-1 x-ray spectrometer (CIXS) 7. near infrared spectrometer (SIR-2) 8. Sub keV atom reflecting analyzer (SARA) 9. miniature synthetic aperture radar (Mini SAR) 10. Moon mineralogy mapper (M3) 11. radiation dose monitor (RADOM)MIP: 1. radar altimeter 2. video imaging system 3. Chandra™s altitudinal composition explorer  
,False,,False,,
Kepler,False,,False,,
Herschel,False,,False,,
,False,,False,,
Planck,False,,False,,
Lunar Reconnaissance Orbiter (LRO),True,LRO,False,Lunar Reconnaissance Orbiter, 264 221 Lunar Reconnaissance Orbiter (LRO) 
,False,,False,,
Lunar Crater Observation and,False,,False,,
Sensing Satellite (LCROSS),True,LCROSS,False,Lunar Crater Observation and Sensing Satellite,222 Lunar Crater Observation and Sensing   Satellite (LCROSS) 
,False,,False,,
Venus Climate Orbiter (VCO) /,True,VCO,False,Venus Climate Orbiter, 269 223 Venus Climate Orbiter (VCO) / Akatsuki 
Akatsuki,False,,False,,
,False,,False,,
IKAROS,True,IKAROS,False,,
Shin’en,False,,False,,
Chang’e 2,False,,False,,
,False,,False,,
,False,,False,,
Juno,False,,False,,
,False,,False,,
Ebb and Flow,False,,False,,
Fobos-Grunt,False,,False,,
,False,,False,,
Yinghuo-1 Curiosity,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
LADEE,True,LADEE,False,Atmosphere and Dust Envi ronment Explorer,"Scientific Instruments:1. ultraviolet and visible light spectrometer (UVS)2. neutral mass spectrometer (NMS)3. lunar dust experiment (LDEX)4. lunar laser communications demonstration experiment (LLCD)Results: The Lunar Atmosphere and Dust Envi -ronment Explorer (LADEE), the first mission in  "
Mangalyaan / Mars Orbiter,False,,False,,
Mission (MOM),True,MOM,False,Mars Orbiter Mission, 287 233 Mangalyaan / Mars Orbiter Mission (MOM) 
MAVEN,True,MAVEN,False,The Mars Atmosphere and Volatile Evolution, solar energetic particle experiment (SEP)e. Langmuir probe and waves experiment (LPW)f. magnetometer (MAG)2. RS remote sensing packagea. imaging ultraviolet spectrometer (IUVS)3. NGIMS neutral gas and ion mass spec-trometer packageResults: The Mars Atmosphere and Volatile  Evolution (MAVEN) mission was selected as part  
,False,,False,,
Chang’e 3 and Yutu,False,,False,,
,False,,False,,
,False,,False,,
Gaia,False,,False,,
,False,,False,,
,False,,False,,
Chang’e 5-T1,False,,False,,
Hayabusa 2,False,,False,,
PROCYON,True,PROCYON,False,,
Shin’en 2,False,,False,,
DESPATCH / ArtSat-2,True,DESPATCH,False,,
,False,,False,,
DSCOVR,True,DSCOVR,False,Radiometer (NISTAR) Results: Deep Space Climate Observatory,"-nology Advanced Radiometer (NISTAR) Results: Deep Space Climate Observatory (DSCOVR) is a joint mission between NASA, NOAA, and the USAF designed as a successor NASA™s Advanced Composition Explorer (ACE),  "
LISA Pathfinder,True,LISA,False,,
,False,,False,,
,False,,False,,
ExoMars Trace Gas Orbiter /,False,,False,,
Schiaparelli EDM Lander,True,EDM,False,Landing Demonstrator Module,"launched by the Russians, who also are contribut-ing hardware to both missions. Besides its primary mission, ExoMars TGO also had two secondary missions: to deliver the Schiaparelli Entry, Descent,  and Landing Demonstrator Module (EDM), an Italian-built lander designed to test technologies planned for use in future soft-landings on Mars; and to serve as a data relay to support communica-tions for the ExoMars 2020 rover and surface sci-ence platform. The orbiter included instruments developed by Belgium (NOMAD), Russia (ACS  "
OSIRIS-REx,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
Total Lunar Spacecraft Attempts by Nation/Agency,False,,False,,
1958–2016,False,,False,,
Total Mars Spacecraft Attempts by Nation/Agency,False,,False,,
1958–2016,False,,False,,
Total Venus Spacecraft Attempts by Nation/Agency,False,,False,,
1958–2016,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
English Language,False,,False,,
Russian Language,False,,False,,
Unofficial Websites,False,,False,,
Online Fora,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
"Reference Works, NASA SP-4000",True,NASA,False,Aeronautics and Space Administration,"National Aeronautics and Space Administration  (NASA). The spacecraft was very similar in design to the Able 1 probe and like its predecessor, built by  "
"Management Histories,",False,,False,,
NASA SP-4100,False,,False,,
"Project Histories, NASA SP-4200",True,NASA,False,Aeronautics and Space Administration,"National Aeronautics and Space Administration  (NASA). The spacecraft was very similar in design to the Able 1 probe and like its predecessor, built by  "
"Center Histories, NASA SP-4300",True,NASA,False,Aeronautics and Space Administration,"National Aeronautics and Space Administration  (NASA). The spacecraft was very similar in design to the Able 1 probe and like its predecessor, built by  "
"General Histories, NASA SP-4400",True,NASA,False,Aeronautics and Space Administration,"National Aeronautics and Space Administration  (NASA). The spacecraft was very similar in design to the Able 1 probe and like its predecessor, built by  "
"Monographs in Aerospace History,",False,,False,,
NASA SP-4500,True,NASA,False,Aeronautics and Space Administration,"National Aeronautics and Space Administration  (NASA). The spacecraft was very similar in design to the Able 1 probe and like its predecessor, built by  "
,False,,False,,
,False,,False,,
"Electronic Media, NASA SP-4600 Conference Proceedings,",True,NASA,False,Aeronautics and Space Administration,"National Aeronautics and Space Administration  (NASA). The spacecraft was very similar in design to the Able 1 probe and like its predecessor, built by  "
NASA SP-4700,False,,False,,
"Societal Impact, NASA SP-4800",True,NASA,False,Aeronautics and Space Administration,"National Aeronautics and Space Administration  (NASA). The spacecraft was very similar in design to the Able 1 probe and like its predecessor, built by  "
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
,False,,False,,
