Input Term,Input Definitions,isAcronym,Extracted Term,isDescription,Description,Context
AzimuthalAngleRange,"The range of possible azimuthal angles for a group of
								energy observations. Default units are degrees.",False,,False,,
AzimuthAngle,"The angle between the projection into the i-j plane of a
								position or measured vector and the i-axis of the coordinate system. Mathematically
								defined as arctan(j/i). This term could be also applied to angles measured in different
								planes, for example the IMF clock angle defined as arctan(|By|/Bz).",False,,False,,
BandName,A common or provider assigned name for a range of values.,False,,False,,
Bandwidth,Integration over the width a frequency band.,False,,False,,
Base64,"A data encoding scheme whereby binary-encoded data is
								converted to printable ASCII characters. It is defined as a MIME content transfer
								encoding for use in Internet e-mail. The only characters used are the upper- and
								lower-case Roman alphabet characters (A-Z, a-z), the numerals (0-9), and the ""+"" and ""/""
								symbols, with the ""="" symbol as a special suffix (padding) code.",False,,False,,
Bin,"A grouping of observations according to a band or window
								of a common attribute.",False,,False,,
Binary,"A direct representation of the bits which may be stored
								in memory on a computer.",False,,False,,
BounceMotion,"The second adiabatic invariant is associated with
								periodic bounce motion of charged particles trapped between two magnetic mirrors on a
								magnetic field line. The second invariant, termed J, is defined by using the integral J
								= m &int; v|| * ds where m is the mass of the charged particle, v|| is the particle
								velocity along the field line, and ds represents elemental arc lengths along the field
								line. The second adiabatic invariant is conserved as long as changes in the background
								magnetic field occur at time scales much longer than the bounce time of the charged
								particles.",False,,False,,
BowShockCrossing,"A crossing of the boundary between the undisturbed
								(except for foreshock effects) solar wind and the shocked, decelerated solar wind of the
								magnetosheath.",False,,False,,
Browse,"A representation of an image which is suitable to reveal
								most or all of the details of the image.",False,,False,,
BZIP2,"An open standard algorithm by Julian Seward using
								Burrows-Wheeler block sorting and Huffman coding. See <http://www.bzip.org/>",False,,False,,
Cadence,"The nominal or most common time interval between the
								start of successive measurements.",False,,False,,
CadenceMax,"The largest time interval between the start of successive
								measurements.",False,,False,,
CadenceMin,"The smallest time interval between the start of
								successive measurements.",False,,False,,
CaK,"A spectrum with a wavelength of range centered near 393.5
								nm. VSO nickname: Ca-K image with range of 391.9 nm to 395.2 nm.",False,,False,,
Calibrated,"Data wherein sensor outputs have been convolved with
								instrument response function, often irreversibly, to yield data in physical units.
								Similar to NASA Level 2.",False,,False,,
Callisto,"A second largest moon of Jupiter and the third-largest
								moon in the solar system.",False,,False,,
Carrington,"A coordinate system which is centered at the Sun and is
								""fixed"" with respect to the synodic rotation rate; the mean synodic value is about
								27.2753 days. The Astronomical Almanac gives a value for Carrington longitude of 349.03
								degrees at 0000 UT on 1 January 1995.",False,,False,,
Cartesian,"A representation in which a position vector or a measured
								vector (e.g., field or flow) is specified by its components along the base axes of the
								coordinate system.",False,,False,,
Catalog,"A tabular listing of events or observational notes,
								especially those that have utility in aiding a user in locating data. Catalogs include
								lists of events, files in a product, and data availability. A Catalog resource is a type
								of ""data product"" which is a set of data that is uniformly processed and formatted, from
								one or more instruments, typically spanning the full duration of the observations of the
								relevant instrument(s). A data product may consist of a collection of granules of
								successive time spans, but may be a single high-level entity.",False,,False,,
Caveats,"Information which may be important in the avoidance of
								the misuse of the resource, for instance instrument maladies, corruption or
								contamination.",False,,False,,
CDF,"Common Data Format (CDF). A binary storage format
								developed at Goddard Space Flight Center (GSFC).",True,CDF,False,,
CEF,"Cluster Exchange Format (CEF) is a self-documenting ASCII
								format designed for the exchange of data. There are two versions of CEF which are not
								totally compatible.",True,CEF,False,,
CEF1,"Cluster Exchange Format (CEF), version 1, is a
								self-documenting ASCII format designed for the exchange of data. The metadata contains
								information compatible with the ISTP recommendations for CDF.",False,,False,,
CEF2,"Cluster Exchange Format (CEF), version 2, is a
								self-documenting ASCII format designed for the exchange of data and introduced for
								Cluster Active Archive. Compared to version 1, the metadata description of vectors and
								tensors is different.",False,,False,,
CGM,"Corrected Geomagnetic - A coordinate system from a
								spatial point with GEO radial distance and geomagnetic latitude and longitude, follow
								the epoch-appropriate IGRF/DGRF model field vector through to the point where the field
								line crosses the geomagnetic dipole equatorial plane. Then trace the dipole magnetic
								field vector Earthward from that point on the equatorial plane, in the same hemisphere
								as the original point, until the initial radial distance is reached. Designate the
								dipole latitude and longitude at that point as the CGM latitude and longitude of the
								original point. See <http://nssdc.gsfc.nasa.gov/space/cgm/cgmm_des.html>",True,CGM,False,,
Channeltron,"An instrument that detects electrons, ions, and
								UV-radiation, according to the principle of a secondary emission multiplier. It is
								typically used in electron spectroscopy and mass spectrometry.",False,,False,,
Characteristic,"A quantity which can be easily identified and measured in
								a given environment.",False,,False,,
ChargeFlux,"The number of ionized particles passing through a unit
								area per unit time, for instance as measured by a Faraday cup.",False,,False,,
ChargeState,"Charge of a fully or partially stripped ion, in units of
								the charge of a proton. Charge state of a bare proton = 1.",False,,False,,
Checksum,"A computed value that is dependent upon the contents of a
								digital data object. Primarily used to check whether errors or alterations have occurred
								during the transmission or storage of a data object.",False,,False,,
ChildEventOf,A descendant or caused by another resource.,False,,False,,
Chromosphere,"The region of the Sun's (or a star's) atmosphere above
								the temperature minimum and below the Transition Region. The solar chromosphere is
								approximately 400 km to 2100 km above the photosphere, and characterized by temperatures
								from 4500 - 28000 K.",False,,False,,
Circular,"Relative to polarization, right-hand circularly polarized
								light is defined such that the electric field is rotating clockwise as seen by an
								observer towards whom the wave is moving. Left-hand circularly polarized light is
								defined such that the electric field is rotating counterclockwise as seen by an observer
								towards whom the wave is moving. The polarization of magnetohydrodynamic waves is
								specified with respect to the ambient mean magnetic field : right-hand polarized waves
								have a transverse electric field component which turns in a right-handed sense (that of
								the gyrating electrons) around the magnetic field.",False,,False,,
ClassificationMethod,"The technique used to determine the characteristics of an
								object.",False,,False,,
CLI,"A command-line interface (CLI) is a form of interface
								where input to an application is provided as lines of text typically within a shell.",False,,False,,
CodeLanguage,"A formal language, which comprises a set of instructions
								that produce various kinds of output.",False,,False,,
Coherence,"The coherence, Cxy, between two signals x(t) and y(t) is
								a real-valued function. The square of the coherence is defined by using: Cxy^2 =
								|Gxy(f)|^2 / Gxx(f)Gyy(f) where Gxy(f) is equal to the cross-spectral density between
								two time series denoted as x and y, respectively, and Gxx(f) and Gyy(f) are equal to the
								auto-spectral densities of the same two time series. Values of Cxy 2 always lie in the
								range between zero and one, 0 = Cxy 2 = 1, in accordance with the Cauchy-Schwarz
								inequality.",False,,False,,
CoInvestigator,"An individual who is a scientific peer and major
								participant in an investigation.",False,,False,,
ColorBar,"A spectrum or set of colors used to represent data
								values.",False,,False,,
Column,"A two-dimensional measure of a quantity. The column is
								the area over which the quantity is measured.",False,,False,,
Comet,"A relatively small extraterrestrial body consisting of a
								frozen mass that travels around the sun in a highly elliptical orbit.",False,,False,,
Component,"Projection of a vector along one of the base axes of a
								coordinate system.",False,,False,,
Confidence,"An expression of how certain that a quantity is valid or
								accurate.",False,,False,,
ConfidenceRating,A classification of the certainty of an assertion.,False,,False,,
Contact,"The person or organization who may be able to provide
								special assistance or serve as a channel for communication for additional information
								about a resource.",False,,False,,
Contributor,"An entity responsible for making contributions to the
								content of the resource.",False,,False,,
Convention,"A set of agreed, stipulated, or generally accepted
								approaches or methods of adopting a standard or implementing a approach.",False,,False,,
CoordinateRepresentation,"The method or form for specifying a given point or vector
								in a given coordinate system.",False,,False,,
CoordinateSystem,"The specification of the orientation of a set of
								(typically) orthogonal base axes.",False,,False,,
CoordinateSystemName,"Identifies the coordinate system in which the position,
								direction or observation has been expressed.",False,,False,,
CoPI,"An individual who is peer of a principal investigator and
								is an administrative and scientific lead for an investigation.",True,CoPI,False,,
Core,"The central or main part of an object or calculated
								distribution. For example, the part of a distribution of particles at low energies that
								is a thermal (Maxwellian) population.",False,,False,,
Cores,An application processor that is part of a CPU.,False,,False,,
Corona,"The outermost atmospheric region of the Sun or a star,
								characterized by ionization temperatures above 10^5 K. The solar corona starts at about
								2100 km above the photosphere; there is no generally defined upper limit.",False,,False,,
CoronalHole,"An extended region of the corona, exceptionally low in
								density and associated with unipolar photospheric regions. A coronal hole can be an
								""open"" magnetic field in the corona and (perhaps) inner heliosphere which has a faster
								than average outflow (wind); A region of lower than ""quiet"" ion and electron density in
								the corona; or a region of lower peak electron temperature in the corona than in the
								""quiet"" corona.",False,,False,,
CoronalMassEjection,"A solar event (CME) that involves a burst of plasma
								ejected into the interplanetary medium. CME's may be observed remotely relatively near
								the sun or in situ in the interplanetary medium. The latter type of observations are
								often referred to as Interplanetary CME's (ICME's).",False,,False,,
Coronograph,"An instrument which can image things very close to the
								Sun by using a disk to block the Sun's bright surface which reveals the faint solar
								corona and other celestial objects.",False,,False,,
CountRate,The number of events per unit time.,False,,False,,
Counts,"The number of detection events occurring in a detector
								over the detector accumulation time.",False,,False,,
CrossSpectrum,"The Fourier transform of the cross correlation of two
								physical or empirical observations.",False,,False,,
CSO,"Corrected Solar Orbital - A coordinate system related to
								Earth where X is anti-sunward, Y along the orbital velocity direction.",True,CSO,False,,
CSV,"Comma Separated Value - A data exchange format defined by
								RFC 4180.",True,CSV,False,,
Current,"The flow of electrons through a conductor caused by a
								potential difference.",False,,False,,
Cylindrical,"A coordinate representation of a position vector or
								measured vector (field or flow) by its k-component, the magnitude of its projection into
								the i-j plane, and the azimuthal angle of the i-j plane projection.",False,,False,,
Data,"A collection of organized information, usually the
								results of experience, observation or experiment, or a set of premises. This may consist
								of numbers, words, or images, particularly as measurements or observations of a set of
								variables.",False,,False,,
DataExtent,"The area of storage in a file system required to store
								the contents of a resource. The default units for data extent is bytes.",False,,False,,
DataProducer,"An individual who generated the resource and is familiar
								with its provenance.",False,,False,,
DataQuality,"An ancillary parameter that denotes the standard or
								degree of accuracy, trustworthiness, or usefulness of another parameter.",False,,False,,
Deimos,"The smaller and outermost of the two natural satellites
								of Mars.",False,,False,,
DeputyPI,"An individual who is an administrative or scientific
								leader for an investigation operating under the supervision of a Principal Investigator.",False,,False,,
DerivedFrom,A transformed or altered version of a resource instance.,False,,False,,
Description,"A narrative explanation with detail appropriate for the
								item it describes. For example a description of data resource should include discussions
								of the main quantities in the resource, possible uses and search terms. A description
								should also include whether any corrections (i.e, geometry, inertial) have been applied
								to the resource.",False,,False,,
Developer,"The developer of a system to imitate a situation or
								process.",False,,False,,
Deviation,"The difference between an observed value and the expected
								value of a quantity.",False,,False,,
Differential,"A measurement within a narrow range of energy and/or
								solid angle.",False,,False,,
Dione,The forth-largest moon of Saturn.,False,,False,,
Direction,"The spatial relation between an object and another
								object, the orientation of the object or the course along which the object points or
								moves.",False,,False,,
Directional,A measurement within a narrow range of solid angle.,False,,False,,
DirectionAngle,"The angle between a position vector or measured vector
								(or one of its projections onto a plane) and one of the base axes of the coordinate
								system.",False,,False,,
DirectionCosine,"The cosine of the angle between two vectors usually
								between a vector and one of the basis axes defining a Cartesian coordinate system. Three
								angles and thus three direction cosines are required to define a vector direction in a
								three dimensional Euclidean space.",False,,False,,
DisplayCadence,"The time interval between the successive display
								elements.",False,,False,,
DisplayData,"A graphical representation of data wherein the underlying
								numeric values are not (readily) accessible for analysis.. Examples are line plots and
								spectrograms. A Display Data resource is a type of ""data product"" which is a set of data
								that is uniformly processed and formatted, from one or more instruments, typically
								spanning the full duration of the observations of the relevant instrument(s). A data
								product may consist of a collection of granules of successive time spans, but may be a
								single high-level entity.",False,,False,,
DisplayType,"The general styling or type of plot that is suitable for
								the variable.",False,,False,,
DM,"Dipole Meridian - A coordinate system centered at the
								observation point. Z axis is parallel to the Earth's dipole axis, positive northward. X
								is in the plane defined by Z and the line linking the observation point with the Earth's
								center. Y is positive eastward. See <http://cdpp.cnes.fr/00428.pdf>",True,DM,False,,
Document,"A set of information designed and presented as an
								individual entity. A document may contain plain or formatted text, in-line graphics,
								sound, other multimedia data, or hypermedia references. A Document resource is intended
								for use on digital objects that have no other identifier (e.g., DOI or ISBN).",False,,False,,
DocumentType,"A characterization of the content, purpose, or style of
								the document.",False,,False,,
DOI,"A digital object identifier (DOI) is a unique
								alphanumeric string assigned by a registration agency (the International DOI Foundation)
								to identify content and provide a persistent link to its location on the Internet.",True,DOI,False,,
DopplerFrequency,"Change in the frequency of a propagating wave due to
								motion of the source, the observer, the reflector, or the propagation medium.",False,,False,,
Dopplergram,"A map or image depicting the spatial distribution of
								line-of-sight velocities of the observed object.",False,,False,,
DoubleSphere,"A dipole antenna of which the active (sensor) elements
								are small spheres located at the ends of two wires deployed in the equatorial plane, on
								opposite sides of a spinning spacecraft.",False,,False,,
DRegion,"The layer of the ionosphere that exists approximately 50
								to 95 km above the surface of the Earth. One of several layers in the ionosphere.",False,,False,,
DriftMotion,"The third invariant for charged particle motion in a
								dipolar magnetic field is associated with drift of its guiding center in the equatorial
								plane. The conserved quantity, J<sub>2</sub>, is equal to q&Phi; where q
								is the particle charge and &Phi; is the magnetic flux enclosed within the particle
								drift path.",False,,False,,
Dust,Free microscopic particles of solid material.,False,,False,,
DustDetector,"An instrument which determines the mass and speed of
								ambient dust particles.",False,,False,,
DynamicPressure,"Dynamic pressure is a measure of the kinetic energy per
								unit volume of a fluid. For instance, the solar wind dynamic pressure or ram pressure
								for a purely proton plasma is equal to m<sub>p</sub> n
								V<sup>2</sup> where m<sub>p</sub> is the proton mass, n the
								proton number density, and V the solar wind speed.",False,,False,,
Earth,The third planet from the sun in our solar system.,False,,False,,
ECD,"Eccentric Dipole (ECD) coordinate system that aligns with
								a dipole whose origin and orientation may be different from the physical center and spin
								axis of the containing body. The IGRF-12 coefficients for 2015 are used to determine the
								origin for the earth. The 2015 positions are North dip pole: latitude: 86.29, longitude
								-160.06. South dip pole latitide: -64.28, longitude: 136.59, North geometric pole
								latitude: 80.37, longitude: -72.63, South geomagnetic pole latitude: -80.37, longitude:
								107.37ECD is defined in doi:10.1186/s40623-015-0228-9.",True,ECD,False,,
ECEF,"The Earth-Centered, Earth-Fixed (ECEF) coordinate system
								has point (0,0,0) defined as the center of mass of the Earth. Its axes are aligned with
								the International Reference Pole (IRP) and International Reference Meridian (IRM). The
								x-axis intersects the sphere of the Earth at 0 degree latitude (Equator) and 0 degree
								longitude (Greenwich). The z-axis points north. The y-axis completes the right handed
								coordinate system.",True,ECEF,False,,
EITWave,"A wave in the corona of the Sun which produce shock waves
								on the Sun's chromosphere (Moreton Waves). EIT Waves are produced by large solar flare
								and expand outward at about 1,000 km/s. It usually appears as a slowly moving diffuse
								arc of brightening in H-alpha, and may travel for several hundred thousand km.",False,,False,,
Electric,The physical attribute that exerts an electrical force.,False,,False,,
ElectricField,"A region of space around a charged particle, or between
								two voltages within which a force is exerted on charged objects in its vicinity. An
								electric field is the electric force per unit charge.",False,,False,,
Electromagnetic,"Electric and magnetic field variations in time and space
								that propagate through a medium or a vacuum with the wave's propagation, electric field,
								and magnetic field vectors forming an orthogonal triad. Waves in this category are
								detected by having their field quantities measured.",False,,False,,
Electron,"An elementary particle consisting of a charge of negative
								electricity equal to about 1.602 x 10^(-19) Coulomb and having a mass when at rest of
								about 9.109534 x 10^(-28) gram.",False,,False,,
ElectronDriftInstrument,"An active experiment to measure the electron drift
								velocity based on sensing the displacement of a weak beam of electrons after one
								gyration in the ambient magnetic field.",False,,False,,
Electrostatic,"Collective longitudinal electric-field and plasma
								oscillations trapped within a body of plasma.",False,,False,,
ElectrostaticAnalyser,"An instrument which uses charged plates to analyze the
								mass, charge and kinetic energies of charged particles which enter the instrument.",False,,False,,
Element,"A component or individual unit of a multiple value
								quantity such as an array or vector.",False,,False,,
Elevation,"The distance in meters above (positive) or below
								(negative) the ""zero elevation"" defined by the World Geodetic System reference frame
								(WGS84).",False,,False,,
ElevationAngle,"The angle between the position or measured vector and the
								i-j plane of the coordinate system. Mathematically defined as arctan(k/SQRT(i^2+j^2)).",False,,False,,
Email,"The electronic address at which the individual may be
								contacted expressed in the form ""local-part@domain"".",False,,False,,
Emissivity,"The energy emitted spontaneously per unit bandwidth
								(typically frequency) per unit time per unit mass of source. Emissivity is usually
								integrated over all directions/solid angles.",False,,False,,
Enceladus,"The sixth-largest moon of Saturn. It is currently
								endogenously active. The smallest known body in the Solar System that is geologically
								active today.",False,,False,,
EncodedParameter,"A variable that uses successive bits to encode, this is
								bitwise encode, a set of conditions by using a composited multibit numeric value. A
								common example is a bitwise encoded flag that denotes whether various possible errors
								that may affect a particular measurement. For example, a bit value equal to zero may
								indicate the absence of a particular error condition while a value equal to one would
								indicate the possibility that the associated datum should be ignored or used with
								caution due to the same error categorization.",False,,False,,
Encoding,"A set of unambiguous rules that establishes the
								representation of information within a file.",False,,False,,
EnergeticParticleInstrument,"An instrument that measures fluxes of charged particles
								as a function of time, direction of motion, mass, charge and/or species.",False,,False,,
EnergeticParticles,"Pieces of matter that are moving very fast. Energetic
								particles include protons, electrons, neutrons, neutrinos, the nuclei of atoms, and
								other sub-atomic particles.",False,,False,,
EnergeticSolarParticleEvent,"An enhancement of interplanetary fluxes of energetic ions
								accelerated by interplanetary shocks and/or solar flares.",False,,False,,
Energy,"The capacity for doing work as measured by the capability
								of doing work (potential energy) or the conversion of this capability to motion (kinetic
								energy)",False,,False,,
EnergyDensity,The amount of energy per unit volume.,False,,False,,
EnergyFlux,"The amount of energy passing through a unit area in a
								unit time.",False,,False,,
EnergyPerCharge,"The kinetic energy, E, per unit net charge, q, that is
								E/q, for an electron or an ionized atom, molecule, or dust particle.",False,,False,,
EnergyRange,"The minimum and maximum energy values of the particles
								represented by a given ""physical parameter"" description.",False,,False,,
ENP,"ENP (also called PEN) - The P vector component points
								northward, perpendicular to orbit plane which for a zero degree inclination orbit is
								parallel to Earth's spin axis. The E vector component is perpendicular to P and N and
								points earthward. The N component is perpendicular to P and E and is positive eastward.",True,ENP,False,,
Entropy,"A function of thermodynamic quantity, such as
								temperature, pressure, or composition, that is a measure of the energy that is not
								available for work during a thermodynamic process. It is often interpreted as the degree
								of disorder or randomness in the system.",False,,False,,
Ephemeris,"The spatial coordinates of a body as a function of time.
								When used as an Instrument Type it represents the process or methods used to generate
								spatial coordinates.",False,,False,,
EquatorialRegion,"A region centered on the equator and limited in latitude
								by approximately 23 degrees north and south of the equator.",False,,False,,
EquivalentWidth,"The spectral width of a total absorption line having the
								amount of absorbed radiant energy being equivalent to that in an observed absorption
								line.",False,,False,,
ERegion,"A layer of ionised gas occurring at 90-150km above the
								ground. One of several layers in the ionosphere. Also called the The Kennelly-Heaviside
								layer.",False,,False,,
Europa,The sixth-closest round moon of Jupiter.,False,,False,,
Event,An action or observation which occurs at a point in time.,False,,False,,
Excel,"A Microsoft spreadsheet format used to hold a variety of
								data in tables which can include calculations.",False,,False,,
Experiment,"A collection of components which are designed to make
								coordinated observations of a phenomenon or object. Projects and missions may refer to
								an 'experiment' by other names like 'suite'.",False,,False,,
ExpirationDate,"The date and time when a resource is no longer available.
								If the Expiration Date is specified then it indicates that resource should not be made
								available after that time. However, this is only advisory and in practice a resource
								description should be unpublished to eliminate access to a resource.",False,,False,,
Exposure,"The time interval over which an individual measurement is
								taken.",False,,False,,
ExposureMax,"The largest interval over which an individual measurement
								is taken.",False,,False,,
ExposureMin,"The smallest time interval over which an individual
								measurement is taken.",False,,False,,
Extension,"A container of other metadata which is not part of the
								SPASE data model. The contents of this element are defined by individual usage. The
								organization and content are constrained by the implementation. For example, in an XML
								representation of the SPASE metadata the content must conform to the XML specifications.",False,,False,,
ExtremeUltraviolet,"A spectrum with a wavelength range of 10.0 nm to 125.0nm.
								VSO nickname: EUV image with a range of of 10.0 nm to 125.0 nm",False,,False,,
FaradayCup,"An instrument consisting of an electrode from which
								electrical current is measured while a charged particle beam (electrons or ions)
								impinges on it. Used to determine energy spectrum and sometimes ion composition of the
								impinging particles.",False,,False,,
FarUltraviolet,"A spectrum with a wavelength range of 122 nm to 200.0nm.
								VSO nickname: FUV image with a range of 122.0 nm to 200 nm",False,,False,,
FaxNumber,"The symbols and numerals required to send a facsimile
								(FAX) to an individual by telephone. The string may contain punctuation marks such as
								dash (-) or dot (.) to separate fields within the string.",False,,False,,
Feature,"A prominent or distinctive characteristic that occurs at
								a location or persists over a period of time.",False,,False,,
Field,"The space around a radiating body within which its
								electromagnetic attributes can exert force on another similar body that is not in direct
								contact.",False,,False,,
FieldAligned,"The component of a quantity which is oriented in the same
								direction of a field.",False,,False,,
FieldQuantity,The physical attribute of the field.,False,,False,,
File,Access to a file containing the data.,False,,False,,
FillValue,A value that indicates that a quantity is undefined.,False,,False,,
Film,"An image recording medium on which usually a ""negative""
								analog image is registered. A ""positive"" image can be recovered or reproduced from film,
								which is usually made of flexible materials for ease of storage and transportation.",False,,False,,
Fit,Values that make an model agree with the data.,False,,False,,
FITS,"Flexible Image Transport System (FITS) is a digital
								format primarily designed to store scientific data sets consisting of multi-dimensional
								arrays (1-D spectra, 2-D images or 3-D data cubes) and 2-dimensional tables containing
								rows and columns of data.",True,FITS,False,,
FlowSpeed,"The rate at which particles or energy is passing through
								a unit area in a unit time.",False,,False,,
FlowVelocity,"The volume of matter passing through a unit area
								perpendicular to the direction of flow in a unit of time.",False,,False,,
Fluence,"The time integral of a flux. A fluence does not have any
								""per unit time"" in its units.",False,,False,,
FluxFeedback,"A search coil whose bandwidth and signal/noise ratio are
								increased by the application of negative feedback at the sensor (flux) level by driving
								a collocated coil with a signal from the preamplifier.",False,,False,,
ForbushDecrease,"A rapid decrease in the observed galactic cosmic ray
								intensity following the passage of an outwardly convecting interplanetary magnetic field
								disturbance, such as those associated with large CME's, that sweep some galactic cosmic
								rays away from Earth.",False,,False,,
Format,"The organization of data according to preset
								specifications. The value is selected from a list of accepted names for known, well
								documented formats.",False,,False,,
FormerPI,"An individual who had served as the administrative and
								scientific lead for an investigation, but no longer assumes that role.",False,,False,,
FourierTransformSpectrograph,"An instrument that determines the spectra of a radiative
								source, using time-domain measurements and a Fourier transform.",False,,False,,
FRegion,"A layer that contains ionized gases at a height of around
								150-800 km above sea level, placing it in the thermosphere. the F region has the highest
								concentration of free electrons and ions anywhere in the atmosphere. It may be thought
								of as comprising two layers, the F1-and F2-layers. One of several layers in the
								ionosphere. Also known as the Appleton layer.",False,,False,,
Frequency,"The number of occurrences of a repeating event per unit
								time.",False,,False,,
FrequencyRange,The range of possible values for the observed frequency.,False,,False,,
FrequencyToGyrofrequencyRatio,"The ratio of the characteristic frequency of a medium to
								gyrofrequency of a particle.",False,,False,,
