Term,Definitions
activation analysis,"A method of chemical analysis, especially for small traces of materials, based on the detection of characteristic radiations following a nuclear bombardment."
activation (biology),
activation energy,
active control,The automatic activation of various control surface functions in aircraft.
active galactic nuclei,
active galaxies,
active satellites,"Satellites which transmit a signal, in contrast to passive satellites."
active sites (chemistry),The reactive parts of a molecule that directly participate in its specific combination with another molecule.
~ activity,
activity (biology),
activity cycles (biology),
ACTS,
actuation,
actuator disks,
actuators,"Mechanisms to activate process control equipment, e.g., valves. Used for cartridge actuated devices, hydraulic actuators, and triggers."
acuity,The keeness of ability to detect and discriminate.
acylation,
Ada (programming language),"A programming language based on PASCAL, originally developed on behalf of the US Department of Defense for use in embedded computer systems. It is named Ada in honor of Augusta Ada Byron, countess of Lovelace, primarily due to the fact that she was the assistant and patron of Charles Babbage and is considered the world's first programmer."
adaptation,"The adjustment, alteration or modification of an organism to fit it more perfectly for existence in its environment."
adapters,"Devices or contrivances used or designed primarily to fit or adjust one thing to another. Devices, appliances or the like used to alter something so as to make it suitable for a use for which it was not originally designed."
adaptive control,
adaptive filters,
adaptive optics,Real-time optical correction for atmospheric perturbations and other system error sources.
adatoms,Atoms adsorbed on a solid surface. Adatoms and their associated properties are often exploited in the development of microelectronic and nanoelectronic structures.
adding circuits,
addition,
addition resins,
addition theorem,
additives,Materials or substances added to something else for a specific purpose. Used for doping (additives).
addressing,
adducts,"Chemical compounds with weak bonds, e.g., occlusive or Van der Waal bonds."
adenines,
adenosine diphosphate,
adenosine monophosphate,Adenine nucleotide containing one phosphate group.
adenosine triphosphate,
adenosines,
adenosinetriphosphatase,
adenoviruses,
adequacy,
adhesion,
adhesion tests,
adhesive bonding,
adhesives,
adiabatic conditions,
adiabatic demagnetization cooling,"Use of paramagnetic salts cooled to the boiling point of helium in a strong magnetic field, then thermally isolated and removed from the field to demagnetize the salts and attain temperatures of 10(-3) K."
adiabatic equations,
adiabatic flow,
adipose tissues,
Adiprene (trademark),
Adirondack Mountains (NY),
adjoints,
adjusting,
admixtures,
Adrastea,"A natural satellite of Jupiter orbiting at a mean distance of 129,980 kilometers."
adrenal gland,
adrenal metabolism,
adrenergics,
adrenocorticotropin (ACTH),
Adriatic Sea,
adsorbents,Materials which take up gases by adsorption.
adsorption,The adhesion of a thin film of liquid or gas to the surface of a solid substance. The solid does not combine chemically with the adsorbed substance.
adsorptivity,
adults,A person having attained full growth or maturity.
Advanced Composition Explorer,"Explorer spacecraft (launched August 25, 1997) carrying six high-resolution sensors and three monitoring instruments for sampling low-energy particles of solar origin and high-energy galactic particles. From a vantage point approximately 1/100 of the distance from the Earth to the Sun, the Advanced Composition Explorer (ACE) can perform measurements over a wide range of energy and nuclear mass, under all solar wind flow conditions and during both large and small particle events including solar flares. When reporting space weather ACE can provide an advance warning of geomagnetic storms."
Advanced Launch System (STS),
Advanced Microwave Sounding Unit,"A line-scan instrument on the Advanced TIROS-N (ATN) NOAA K-N series of operational meteorological satellites. The AMSU consists of two functionally independent units, AMSU-A and AMSU-B. The AMSU-A is designed to measure scene radiance in 15 channels, ranging from 23.8 to 89 GHz, to derive atmospheric temperature profiles from the Earth surface to about 3 millibar pressure height. The AMSU-B is designed to measure scene radiance in five channels, ranging from 89 GHz to 183 GHz for the computation of atmospheric water vapor profiles."
Advanced Range Instrumentation Aircraft,An EC-135 aircraft configured for reception recording and real-time relay of telemetry data.
Advanced Range Instrumentation Ship,
Advanced Reconn Electric Spacecraft,
advanced sodium cooled reactor,
Advanced Solid Rocket Motor (STS),
Advanced Technology Laboratory,An all-pallet payload utilizing the Space Shuttle and the European Spacelab and designed to accommodate 8 to 15 experiments per mission.
advanced test reactors,
Advanced Very High Resolution Radiometer,A five channel scanning instrument that quantitatively measures electromagnetic radiation.
Advanced Vidicon Camera System (AVCS),
advection,"The process of transport of an atmospheric property solely by the mass motion of the atmosphere; also, the rate of change of the value of the advected property at a given point."
Advent Project,
aeolian tones,
aeolotropism,
AEPS,
aeration,
aerial explosions,
aerial photography,
aerial reconnaissance,
aerial rudders,
aeroacoustics,
aeroassist,"Changing orbit size by utilizing aerobraking, aerocapture, or aeromaneuvering."
aerobatics,
Aerobee rocket vehicle,
aerobes,
aerobiology,The study of the distribution of living organisms freely suspended in the atmosphere.
aerobraking,Changing orbit size by using the upper atmosphere to create drag.
aerocapture,Making use of the atmosphere of a planet or planetary satellite by capturing the object and reducing the orbit size so that it remains in orbit or lands on the body.
aerodynamic balance,
aerodynamic brakes,
aerodynamic characteristics,
aerodynamic coefficients,"Any nondimensional coefficients relating to aerodynamic forces or moments, such as a coefficient of drag, a coefficient of lift, etc. Used for lift coefficients."
aerodynamic configurations,
aerodynamic drag,
aerodynamic forces,The force exerted by a moving gaseous fluid upon a body completely immersed in it. Used for Glauert coefficient.
aerodynamic heat transfer,
aerodynamic heating,The heating of a body produced by the passage of air or other gases over its surface.
aerodynamic interference,
aerodynamic loads,
aerodynamic noise,
aerodynamic stability,
aerodynamic stalling,
aerodynamics,"The science that deals with the motion of air and other gaseous fluids, and the forces acting on bodies when the bodies move through such fluids, or when such fluids move against or around the bodies. Used for hydroaeromechanics."
aeroelastic research wings,Wings that are designed with less than normal stiffness to test devices that suppress flutter.
aeroelasticity,The study of the response of structurally elastic bodies to aerodynamic loads.
aeroembolism,"The formation or liberation of gases in the blood vessels of the body, as brought on by a too-rapid change from a high, or relatively high, atmospheric pressure to a lower one."
aerogels,
aerology,"The study of the free atmosphere throughout its vertical extent, as distinguished from studies confined to the layer of the atmosphere adjacent to the Earth's surface."
aeromagnetism,
aeromaneuvering,Changing orbit size or plane or both by entering the upper atmosphere to create drag or lift or both.
Aeromaneuvering Orbit to Orbit Shuttle,Proposed reusable upper stage for the Space Shuttle superseded by the orbit transfer vehicle. Used for AMOOS.
aeronautical engineering,
aeronautical satellites,
~ aeronautics,
aeronomy,"The study of the upper regions of the atmosphere where ionization, dissociation, and chemical reactions take place."
aeroquatic vehicles,
AEROS satellite,
Aerosat satellites,
aeroservoelasticity,
aeroshells,"Aerodynamic structural shells that attach to, or comprise a portion of, the exterior of an aerospace vehicle or space probe; especially such structures that support atmospheric entry, aerobraking, aeroassist, or hypersonic flight."
aerosinusitis,
aerosols,Dispersions of solid or liquid particles in gaseous media.
aerospace engineering,
aerospace environments,
aerospace industry,
aerospace medicine,That branch of medicine dealing with the effects of flight through the atmosphere or in space upon the human body and with the prevention or cure of physiological or psychological malfunctions arising from these effects.
aerospace planes,
aerospace safety,"The engineering assessment and analysis of systems, subsystems, and functions of spacecraft, missiles, advanced aircraft and ground support in order to identify hazards associated with such systems and to design procedures that eliminate those hazards or determine tolerable safety levels."
~ aerospace sciences,
aerospace systems,
aerospace technology transfer,"Technology transfer germane to aircraft and space vehicles, their propulsion, guidance, etc."
aerospace vehicles,Vehicles capable of flight within and outside the sensible atmosphere.
aerospike engines,"Rocket engines incorporating a radial in-flow (aerospike) nozzle for altitude compensation. Since the nozzle is open to the ambient atmosphere, the plume compensates for decreasing atmospheric pressure as the vehicle ascends."
aerostatics,
aerothermochemistry,
aerothermodynamics,The study of aerodynamic phenomena at sufficiently high gas velocities that thermodynamic properties of the gas are important.
aerothermoelasticity,The study of the response of elastic structures to the combined effects of aerodynamic heating and loading.
aerozine,A rocket fuel consisting of a mixture of hydrazine and unsymmetrical dimethylhydrazine (UDMH).
afferent nervous systems,
affinity,
Afghanistan,
Africa,
African rift system,
afterbodies,Companion bodies that trail satellites. Sections or pieces of rockets or spacecraft that enter the atmosphere unprotected behind nose cones or other bodies that are protected for entry. Afterparts of vehicles. Used for cylindrical afterbodies and sterns.
afterburning,"Irregular burning of fuel left in the firing chamber of a rocket after cutoff. The function of an afterburner, a device for augmenting the thrust of a jet engine by burning additional fuel in the uncombined oxygen in the gases from the turbine. Used for afterburners."
afterglows,"Broad, high arches of radiance or glow seen occasionally in the western sky above the highest clouds in deepening twilight, caused by the scattering effect of very fine particles of dust suspended in the upper atmosphere. Also, the transient decay of a plasma after the power has been turned off."
afterimages,
age factor,
Agena A rocket vehicle,
Agena B Ranger Program,
Agena B rocket vehicle,
Agena C rocket vehicle,
Agena D rocket vehicle,
Agena rocket vehicles,
~ agents,
agglomeration,
agglutination,
aggregates,
~ aging,
aging (biology),
aging (materials),
aging (metallurgy),
agitation,
agreements,
agricultural aircraft,Light aircraft specially equipped for agricultural applications such as crop dusting.
agriculture,
AgRISTARS project,"A multiagency program utilizing Landsat remote sensing data to predict crop yields, land use, and detect pollution. Used for Crop Inventories by Remote Sensing."
agroclimatology,
agrometeorology,
agrophysical units,Geographic areas defined for statistical purposes by AgRISTARS personnel whose boundaries are based on natural rather than political lines for the purpose of comparing similar agricultural regions.
AH-1G helicopter,US Army designation for the Bell Model 209 Hueycobra attack helicopter powered by a single Avco Lycoming T53-L-13 turboshaft engine.
AH-1S helicopter,
AH-1W helicopter,
AH-63 helicopter,
AH-64 helicopter,
~ aids,
ailerons,
air,The mixture of gases comprising the Earth's atmosphere.
air bag restraint devices,
air breathing boosters,Boosters which are possible substitutes for rocket engines and which have inlets for oxygen sources for their engines rather than carrying their own oxygen as in a conventional rocket.
air breathing engines,
air cargo,
air conditioning,"The simultaneous control of all, or at least three, of those factors affecting both the physical and chemical conditions of the atmosphere within any structure. These factors include temperature, humidity, motion, distribution, dust, bacteria, odor, and toxic gases."
air conditioning equipment,
air conductivity,
air cooling,
air currents,
air cushion landing systems,Landing systems based on the ground effect principle whereby a stratum of air is utilized as the aircraft ground contacting medium (in place of landing gear).
air data systems,"Sets of aerodynamic and thermodynamic sensors, and a computer which provide flight characteristics such as airspeed, static pressure, air temperature and Mach number."
air defense,
air drop operations,
air ducts,
air filters,
air flow,
air intakes,
air jets,
air land interactions,
air launching,
air law,The body of domestic and/or international laws dealing with regulations and liabilities in civil or military aviation.
air locks,"A stoppage or diminution of flow in a fuel system, hydraulic system, or the like, caused by pockets of air or vapor. Also chambers capable of being hermetically sealed that provide for passage between two places of different pressure as between an altitude chamber and the outside atmosphere."
air mail,
air masses,Large widespread volumes of air having particular characteristics of temperature and moisture content that were acquired at its source region and are modified as they move away from their source.
air navigation,"The art, science, or action of plotting and directing the course of an aircraft through the air from one place to another."
air piracy,
air pollution,"The presence of unwanted material in the air. The term ""unwanted material"" here refers to material in sufficient concentrations, present for a sufficient time, and under circumstances to interfere significantly with comfort, health, or welfare of persons, or with the full use and enjoyment of property. Used for atmospheric impurities."
air purification,
air quality,
air sampling,
air sea ice interactions,
air slew missiles,Solid propellant rockets utilizing thrust vector control.
air start,
air to air missiles,
air to air refueling,
air to surface missiles,
air traffic,
air traffic control,"A service operated by approriate authority to promote the safe, orderly and expedious flow of air traffic."
air traffic controllers (personnel),
air transportation,"The conveyance of cargo and passengers by means of airplanes, helicopters, and other airborne vehicles."
air water interactions,
airborne equipment,
airborne infection,
Airborne Integrated Reconnaissance System,Aerial reconnaissance system incorporating various modes of detection. Used for AIRS (reconnaissance sys).
airborne lasers,
airborne radar,
airborne radar approach,The use of airborne radar for helicopter approach control -- the radar cursor technique.
airborne range and orbit determination,
airborne/spaceborne computers,
airborne surveillance radar,
~ aircraft,
aircraft accident investigation,
aircraft accidents,
aircraft antennas,
aircraft approach spacing,
aircraft brakes,
aircraft carriers,
aircraft communication,The conveyance of information to or from aircraft by radio or other signals.
aircraft compartments,
aircraft configurations,
aircraft construction materials,A general term designating the materials used in manufacturing an aircraft.
aircraft control,To direct the movements of an aircraft with particular reference to changes in attitude and speed.
aircraft design,"The act of conceiving and planning the structure, systems, and performance characteristics of an aircraft vehicle or any other apparatus, machine or contrivance intended to be borne up either by dynamic action of the air upon the object`s surfaces, or by the object`s own buoyancy."
aircraft detection,
aircraft engines,
aircraft equipment,
aircraft fuel systems,
aircraft fuels,
aircraft guidance,
aircraft hazards,
aircraft hydraulic systems,
aircraft icing,"Accumulation of ice on aircraft external surfaces, propellers and engine inlets from freezing rain or flight through inclement weather."
aircraft industry,
aircraft instruments,"Any electronic or mechanically-based instrument or instrument system designed for detecting, measuring, displaying, recording, telemetering, processing, or analyzing different values or quantities encountered in the flight of an aircraft; often supporting the general control of the aircraft."
aircraft landing,
aircraft launching devices,
aircraft lights,
aircraft maintenance,
aircraft maneuvers,
aircraft models,
aircraft noise,
aircraft parts,
aircraft performance,"The manner or effectiveness with which an aircraft vehicle or any airborne structure, machine, or contrivance functions while in operation."
aircraft pilots,
aircraft power supplies,Electric power sources for the normal operation of aircraft.
aircraft production,
aircraft production costs,
aircraft reliability,
aircraft runup,Final engine check prior to takeoff.
aircraft safety,Techniques used to prevent aircraft failures or accidents; the degree to which an aircraft is free of the risk of malfunction or accidents.
aircraft specifications,
aircraft spin,"A prolonged stall in fixed-wing aircraft characterized by a sustained spiral descent, usually with the nose down."
aircraft stability,"The property of an aircraft to maintain its attitude or to resist displacement, and if displaced, to develop forces and moments tending to restore the original condition."
aircraft structures,
aircraft survivability,
aircraft tires,
aircraft wakes,
airdrops,
airfield surface movements,
airfoil fences,
airfoil oscillations,Periodic motions experienced by airfoils in aerodynamic conditions.
airfoil profiles,
airfoils,"Structures, pieces, or bodies, originally likened to foils or leaves in being wide and thin, designed to obtain a useful reaction on themselves in their motion through the air. Used for airfoil characteristics."
airframe materials,
airframes,The assembled structural and aerodynamic components of an aircraft or rocket vehicle that support the different systems and subsystems integral to the vehicle.
airglow,The quasi-steady radiant emission from the upper atmosphere as distinguished from the sporadic emission of the auroras. Used for atmospheric emission.
airline operations,
airlock modules,Modular chambers capable of being hermetically sealed that provide for passage between two places of different pressure as between an altitude chamber and the outside atmosphere.
airport beacons,
airport lights,
airport planning,
airport security,"Organization of trained security personnel, surveillance and screening devices, and procedures used for the protection of airport and airline property, aircraft, passengers, employees, and visitors from injury, air piracy, and other unauthorized acts."
airport surface detection equipment,
airport towers,
airports,"An area of land or water that is used, or intended to be used, for the landing and takoff of aircraft, including buildings and facilities, if any."
airships,Propelled and steerable dirigibles dependent on gases for flotation. Used for aerostats and dirigibles.
airspace,"The atmosphere above a particular portion of the earth, usually defined by the boundaries of an area on the surface projected perpendicularly upward."
airspeed,
Airy function,
Aitken nuclei,Microscopic particles in the atmosphere which serve as condensation nuclei for droplet growth during the rapid adiabatic expansion produced by an Aitken dust counter.
AJ-10 engine,
akermanite,A mineral of the melilite group. It is isomorphous with gehlenite.
Alabama,
Aladin 2 aircraft,
Alais meteorite,
alanine,
Alaska,
Albania,
albedo,"The ratio of the amount of electromagnetic radiation reflected by a body to the amount incident upon it. It is often expressed as a percentage, as, the albedo of the Earth is 34 percent."
Alberta,
albinism,
albumins,
alcohols,
aldehydes,Carbonyl groups to which a hydrogen atom is attached; the first stage of an alcohol; - CHO.
aldolase,
aldosterone,
alertness,
Aleutian Islands (US),
alexandrite,A transparent variety of chrysoberl that has a grass-green or emerald green color in daylight and wine-red to brownish-red color by transmitted or incandescent artificial light.
alfalfa,
algae,"Any plants of a group of unicellular and multicellular primitive organisms that include the Chlorella, Scenedesmus, and other genera. Used for algal bloom."
algebra,
Algeria,
ALGOL,
Algol engine,
algorithms,Special mathematical procedures for solving a particular type of problem.
alignment,
~ aliphatic compounds,
aliphatic hydrocarbons,
alkali halides,
~ alkali metal compounds,
alkali metals,"Metals in group IA of the periodic system; namely, lithium, sodium, potassium, rubidium, cesium, and francium."
alkali vapor lamps,Lamps in which light is produced by an electric discharge between electrodes in an alkali vapor at low or high pressures.
alkalies,
alkaline batteries,
~ alkaline earth compounds,
alkaline earth metals,
alkaline earth oxides,
alkalinity,The state of being alkaline.
alkaloids,
alkalosis,
alkanes,
alkenes,
alkoxides,
alkyd resins,
alkyl compounds,
alkylates,
alkylation,
alkylferrocene,
alkylidene,
alkynes,
all sky photography,
all-weather air navigation,
all-weather landing systems,
Allegheny Plateau (US),
Allende meteorite,
allergic diseases,
allocations,
allotropy,
allowances,
alloxan,
alloying,
alloys,Substances having metallic properties and being composed of two or more chemical elements of which at least one is an elemental metal.
alluvium,"Soil, the constituents of which have been transported in suspension by flowing water and subsequently deposited by sedimentation."
allyl compounds,
Aloha system,"A multiple random access communications scheme in which there is a nonfixed allocation of channel capacity, so that the channel is available to any terminal whenever it has a packet ready for transmission."
Alouette 1 satellite,
Alouette 2 satellite,
Alouette B satellite,
Alouette helicopters,
Alouette project,
Alouette satellites,
alpha decay,The radioactive transformation of a nuclide by alpha-particle emission.
Alpha jet aircraft,
Alpha Magnetic Spectrometer,
alpha particles,Positively charged particles emitted from the nuclei of certain atoms during radioactive disintegration. Used for alpha radiation.
alpha plasma devices,
alphabets,
alphanumeric characters,"Characters in a set that contain both letters and digits, but they usually also contain other characters such as punctuation symbols."
alphatrons,
Alpine meteorology,"Wind, precipitation, atmospheric physics, and other climatological phenomena peculiar to the Alps and/or other similar mountainous areas."
Alps Mountains (Europe),
Altair Lunar Lander,"The lunar landing module of the Constellation program. The lander is capable of landing four astronauts on the moon, providing life support and a base for weeklong initial surface exploration missions, and returning the crew to the Orion spacecraft that will return them to Earth."
alternating current,
alternating direction implicit methods,
alternations,
alternatives,
altimeters,Instruments for measuring height above a reference datum.
altimetry,
altitude,"In astronomy, angular displacement above the horizon. Also height, especially radial distance as measured above a given datum, as average sea level."
altitude acclimatization,A physiological adaptation to reduced atmospheric and oxygen pressure.
altitude control,
altitude sickness,"In general, any sickness brought on by exposure to reduced oxygen tension and barometric pressure."
altitude simulation,
altitude tests,
altitude tolerance,
alum,
aluminates,
aluminides,Intermetallic compounds of aluminum and a transition metal.
aluminum,
aluminum 26,
aluminum 27,
aluminum alloys,
aluminum antimonides,
aluminum arsenides,"Binary compounds of aluminum with negative, trivalent arsenic."
aluminum borohydrides,
aluminum boron composites,Structural materials composed of aluminum alloys reinforced with boron fibers (filaments).
aluminum carbides,
aluminum chlorides,
aluminum coatings,
aluminum compounds,
aluminum fluorides,
aluminum gallium arsenide lasers,
aluminum gallium arsenides,"Compounds exhibiting characteristics suitable for use in laser devices, light-emitting diodes, solar cells, etc. Used for AlGaAs."
aluminum graphite composites,Structural materials composed of aluminum alloys reinforced with graphite.
aluminum hydrides,
aluminum isotopes,
aluminum-lithium alloys,Light alloys consisting primarily of aluminum and lithium.
aluminum nitrides,
aluminum oxides,
aluminum perchlorates,
aluminum silicates,
alveolar air,The respiratory air in the alveoli (air sacs) deep within the lungs.
alveoli,The terminal air sacs deep within the lungs.
Amalthea,Innermost satellite of Jupiter.
Amazon region (South America),
Amberlite (trademark),
ambience,
ambient temperature,Temperature of surrounding medium. Used for environmental temperature.
ambiguity,
ambipolar diffusion,
ambulances,
American Indians,
americium,
americium 241,
americium isotopes,
amidase,
amides,
amines,
amino acids,
amino radical,
aminophylline,
ammeters,An instrument for measuring the magnitude of an electric current.
ammines,
ammonia,
ammonium bromides,
ammonium chlorides,
ammonium compounds,
ammonium nitrates,
ammonium perchlorates,
ammonium phosphates,
ammonium picrates,
ammonium sulfates,
ammonolysis,
ammunition,
amobarbital,
amoeba,
Amor asteroid,One group of Earth-approaching asteroids with orbits between the planets Mars and Jupiter. Used for Minor Planet 1221.
amorphous materials,
amorphous semiconductors,
amorphous silicon,
amount,
amphetamines,
amphibia,
amphibious aircraft,
amphibious vehicles,
amphiboles,"A group of dark, rock-forming, ferromagnesian silicate minerals closely related in crystal form and composition."
Amphitrite asteroid,
amplidynes,
amplification,
amplifier design,
amplifiers,Devices which enable an input signal to control a source of power whose output is an enlarged reproduction of the essential characteristics of the signal. Used for electronic amplifiers.
amplitude distribution analysis,
amplitude modulation,"In general, modulation in which the amplitude of a wave is the characteristic subject to variation."
amplitudes,"The maximum value of the displacement of a wave or other periodic phenomenon from a reference position. Also, angular distance north or south of the prime vertical; the arc of the horizon, or the angle at the zenith between the prime vertical and a vertical circle, measured north or south from the prime vertical to the vertical circle."
ampoules,Glass containers designed to be filled and sealed by fusion of the glass neck.
AMPS (satellite payload),
AMPTE (satellites),
AN-2 aircraft,
AN-22 aircraft,
AN-24 aircraft,
anabaena,
anaerobes,
analgesia,
analog circuits,
analog computers,"Computers that work on the principle of measuring, as distinguished from counting, in which the input data is analogous to a measurement continuum such as linear lengths, voltages, or resistances which can be manipulated by the computer."
analog data,
analog simulation,
analog to digital converters,Devices for converting non-digital information into digits. Used for digitizers.
analogies,
analogs,
