,TermUpper,Term,Definitions,Acronym,Source
0,DEFENSE METEOROLOGICAL SATELLITE PROGRAM,Defense Meteorological Satellite Program,"The Defense Meteorological Satellite Program(DMSP) is a Department of
Defense(DoD) program run by the Air Force Space and Missile Systems
Center(SMC). The DMSP program designs, builds, launches, and maintains
several near polar orbiting, sun synchronous satellites monitoring the
meteorological, oceanographic, and solar-terrestrial physics
environments.

DMSP satellites are in a near polar orbiting, sun synchronous orbit at
an altitude of approximately 830 Km above the earth. Each satellite
crosses any point on the earth up to two times a day and has an
orbital period of about 101 minutes thus providing nearly complete
global coverage of clouds every six hours.

Each DMSP satellite monitors the atmospheric, oceanographic and
solar-geophysical environment of the Earth. The visible and infrared
sensors collect images of global cloud distribution across a 3,000 km
swath during both daytime and nighttime conditions. The coverage of
the microwave imager and sounders are one-half the visible and
infrared sensors coverage, thus they cover the polar regions above 60
degrees on a twice daily basis but the equatorial region on a daily
basis. The space environmental sensors record along track plasma
densities, velocities, composition and drifts.

For more information, link to http://www.ngdc.noaa.gov/dmsp/dmsp.html",DMSP,GCMD projects
0,EXPLORER,EXPLORER,,,GCMD platforms
0,EXPLORER,Explorer,,,GCMD platforms
0,JAPANESE EARTH RESOURCES SATELLITE-1,Japanese Earth Resources Satellite-1,"[Source: JAXA, http://www.eorc.jaxa.jp/JERS-1/en/index.html ]

JERS-1 is an Earth Observation Satellite to cover the global land area for national land survey, agriculture, forestry, and fishery, environmental protection, disaster protection, and coastal monitoring, etc. focusing on observation around the world and resource exploitation. It was launched into a solar-synchronous sub-recurrent orbit at an altitude of 568 km with a recurrent period of 44 days by the H-I launch vehicle on February 11, 1992 from National Space Development Agency of Japan (NASDA) Tanegashima Space Center, and has been continuing to observe and collect data with a mission data recorder by the high performance Synthetic Aperture Radar (SAR) and Optical Sensor (OPS).

SAR is an active sensor which transmits microwave and observes characteristics, inequality, slope in the surface of the earth, etc. without being influenced by the weather day and night due to scattered waves from the Earth.

OPS can observe in seven bands from the visible region to short wave infrared band and is capable of stereoscopic observation by forward look of 15.3 (J from nadir in near infrared band and highly is usable for identifying stones, rocks, and minerals.


Group: Platform_Details
   Entry_ID: JERS-1
   Group: Platform_Identification
      Platform_Category: Earth Observation Satellites
      Platform_Series_or_Entity: JERS
      Short_Name: JERS-1
      Long_Name: Japanese Earth Resources Satellite-1
   End_Group
   Group: Synonymous_Platform_Names
      Short_Name: FUYO-1
   End_Group
   Group: Platform_Associated_Instruments
      Short_Name: OPS
      Short_Name: SAR
   End_Group
   Group: Orbit
      Orbit_Altitude: 580 km
      Orbit_Inclination: 98 deg
      Period: 96 min
      Orbit_Type: LEO > Low Earth Orbit > Polar Sun-Synchronous
   End_Group
   Creation_Date: 2007-10-10
   Online_Resource: http://www.eorc.jaxa.jp/JERS-1/en/index.html
   Sample_Image: http://www.jaxa.jp/projects/sat/jers1/img/photo_jers1.jpg
   Group: Platform_Logistics
      Launch_Date: 1992-02-11
      Launch_Site: Tanegashima Island, Japan
      Design_Life: 2 Years
      Primary_Sponsor: JAPAN/JAXA
   End_Group
End_Group",JERS-1,GCMD platforms
0,JAPANESE EARTH RESOURCES SATELLITE-1,Japanese Earth Resources Satellite-1,,JERS-1,GCMD projects
0,SUOMI NATIONAL POLAR-ORBITING PARTNERSHIP,Suomi National Polar-orbiting Partnership,"[Text from the NPP Launch Blog, https://www.nasa.gov/mission_pages/NPP/launch/launch_blog.html ]

The NPOESS Preparatory Project (NPP) spacecraft lifted off aboard a United Launch Alliance Delta II rocket from Space Launch Complex 2 at Vandenberg Air Force Base in California on Oct. 28, 2011 at 5:48 a.m. EDT.

The NPP spacecraft will build on more than four decades Earth observation to help us better understand our climate.

The National Polar-Orbiting Operational Environmental Satellite System (NPOESS) Preparatory Project (NPP) is a joint mission involving the National Aeronautics and Space Administrations (NASA) and the NPOESS Integrated Program Office (IPO).  

The NPP mission collects and distributes remotely-sensed land, ocean, and atmospheric data to the meteorological and global climate change communities as the responsibility for these measurements transitions from existing Earth-observing missions such as Aqua, Terra and Aura, to the NPOESS. It will provide atmospheric and sea surface temperatures, humidity sounding, land and ocean biological productivity, and cloud and aerosol properties.

For the IPO, NPP provides risk reduction with an opportunity to demonstrate and validate new instruments and processing algorithms, as well as to demonstrate and validate aspects of the NPOESS command, control, communications and ground processing capabilities prior to the launch of the first NPOESS spacecraft.

More Information: https://www.jpss.noaa.gov

Group: Platform_Details
   Entry_ID: SUOMI-NPP
   Group: Platform_Identification
      Platform_Category: Earth Observation Satellites
      Platform_Series_or_Entity: Joint Polar Satellite System (JPSS)
      Short_Name: SUOMI-NPP
      Long_Name: Suomi National Polar-orbiting Partnership
   End_Group
   Group: Platform_Associated_Instruments
      Short_Name: CRIMSS
      Short_Name: ATMS
      Short_Name: CRIS-NPOESS
      Short_Name: OMPS
      Short_Name: VIIRS
      Short_Name: CERES-FM5
   End_Group
   Group: Orbit
      Repeat_Cycle: 16-day
      Orbit_Type: LEO > Low Earth Orbit > Polar Sun-Synchronous
   End_Group
   Creation_Date: 2009-02-27
   Online_Resource: https://www.jpss.noaa.gov/
   Online_Resource: https://www.nasa.gov/mission_pages/NPP/main/index.html
   Group: Platform_Logistics
      Launch_Date: 2011-10-28
      Launch_Site: Vandenberg Air Force Base, USA
      Primary_Sponsor: USA/NASA
      Primary_Sponsor: USA/NOAA
   End_Group
End_Group",Suomi-NPP,GCMD platforms
0,SUOMI NATIONAL POLAR-ORBITING PARTNERSHIP,Suomi National Polar-orbiting Partnership,"NPP represents a critical first step in building the next-generation Earth-observing satellite system that will collect data on long-term climate change and short-term weather conditions. NPP is the result of a partnership between NASA, the National Oceanic and Atmospheric Administration, and the Department of Defense.

More Information: https://www.nasa.gov/mission_pages/NPP/main/index.html",Suomi-NPP,GCMD projects
0,"ACTIVE SENSING OF CO2 EMISSIONS OVER NIGHTS, DAYS, AND SEASONS","Active Sensing of CO2 Emissions over Nights, Days, and Seasons","[Source: NASA ASCENDS, https://www-air.larc.nasa.gov/missions/ascends/]

The Active Sensing of CO2 Emissions over Nights, Days, and Seasons (ASCENDS) mission objective is to make global atmospheric 
column carbon dioxide (CO2) measurements without a seasonal, latitudinal, or diurnal bias. The three science objectives are 
to (1) quantify global spatial distributions of atmospheric CO2 on scales of weather models in the 2010-2020 era; (2) quantify
 the current global spatial distribution of terrestrial and oceanic sources and sinks of CO2 on 1-degree grids at weekly 
 resolution; and (3) provide a scientific basis for future projections of CO2 sources and sinks through data-driven 
 enhancements of Earth system process modeling.

   Entry_ID: ASCENDS
   Group: Platform_Identification
      Platform_Category: Earth Observation Satellites
      Platform_Series_or_Entity: NASA Decadal Survey
      Short_Name: ASCENDS
      Long_Name: Active Sensing of CO2 Emissions over Nights, Days, and Seasons
   End_Group
   Group: Orbit
      Orbit_Type: LEO > Low Earth Orbit > Polar Sun-Synchronous
   End_Group
   Creation_Date: 2009-12-23
   Online_Resource: https://www-air.larc.nasa.gov/missions/ascends/
   Group: Platform_Logistics
      Primary_Sponsor: USA/NASA
   End_Group
End_Group",ASCENDS,GCMD platforms
0,"ACTIVE SENSING OF CO2 EMISSIONS OVER NIGHTS, DAYS, AND SEASONS","Active Sensing of CO2 Emissions over Nights, Days, and Seasons","The Active Sensing of CO2 Emissions over Nights, Days, and Seasons (ASCENDS) mission objective is to make global atmospheric column carbon dioxide (CO2) measurements without a seasonal, latitudinal, or diurnal bias.",ASCENDS,GCMD projects
0,GRAVITY RECOVERY AND CLIMATE EXPERIMENT FOLLOW-ON,Gravity Recovery and Climate Experiment Follow-On,"[Source: GRACE-FO Home Page, https://gracefo.jpl.nasa.gov/ ]

The Gravity Recovery and Climate Experiment Follow-on (GRACE-FO) mission is a partnership between NASA and the German Research Centre for Geosciences (GFZ). GRACE-FO is a successor to the original GRACE mission, which began orbiting Earth on March 17, 2002. GRACE-FO will carry on the extremely successful work of its predecessor while testing a new technology designed to dramatically improve the already remarkable precision of its measurement system.

GRACE-FO, launched in May 2018, will continue the work of tracking Earths water movement to monitor changes in underground water storage, the amount of water in large lakes and rivers, soil moisture, ice sheets and glaciers, and sea level caused by the addition of water to the ocean. These discoveries provide a unique view of Earths climate and have far-reaching benefits to society and the worlds population.

More Information: https://gracefo.jpl.nasa.gov/


Group: Platform_Details
   Entry_ID: GRACE II
   Group: Platform_Identification
      Platform_Category: Earth Observation Satellites
      Platform_Series_or_Entity: NASA Decadal Survey
      Short_Name: GRACE-FO
      Long_Name: Gravity Recovery and Climate Experiment Follow On
   End_Group
   Group: Orbit
      Orbit_Type: LEO > Low Earth Orbit > Polar Sun-Synchronous
   End_Group
   Creation_Date: 2010-05-07
   Online_Resource: https://gracefo.jpl.nasa.gov/
   Sample_Image: 
   Group: Platform_Logistics
      Primary_Sponsor: USA/NASA
   End_Group
End_Group",GRACE-FO,GCMD platforms
0,GRAVITY RECOVERY AND CLIMATE EXPERIMENT FOLLOW-ON,Gravity Recovery and Climate Experiment Follow-On,"GRACE-FO is a successor to the original GRACE mission. GRACE-FO will continue the work of tracking Earths water movement to monitor changes in underground water storage, the amount of water in large lakes and rivers, soil moisture, ice sheets and glaciers, and sea level caused by the addition of water to the ocean.",GRACE-FO,GCMD projects
0,NASA EARTH SYSTEM SCIENCE PATHFINDER,NASA Earth System Science Pathfinder,,,GCMD platforms
0,NASA EARTH SYSTEM SCIENCE PATHFINDER,NASA Earth System Science Pathfinder,"[Source: NASA Earth System Science Pathfinder (ESSP) Program home page, http://science.nasa.gov/about-us/smd-programs/earth-system-science-pathfinder/ ]
      
The Earth System Science Pathfinder (ESSP) Program is a science-driven Program designed to provide an innovative approach to Earth science research by providing periodic, competitively selected opportunities to accommodate new and emergent scientific priorities. ESSP Projects include developmental, high-risk, high-return Earth Science missions including advanced remote sensing instrument approaches to achieve these priorities, and often involve partnerships with other U.S. agencies and/or with international science and space organizations. These Projects are capable of supporting a variety of scientific objectives related to Earth science, including the atmosphere, oceans, land surface, polar ice regions and solid earth. Projects include development and operation of space missions, space-based remote sensing instruments for missions of opportunity, and airborne science missions, and the conduct of science research utilizing data from these missions. ESSP missions encompass the entire Project life-cycle from definition, through design, development, integration and test, launch, operations, science data analysis, distribution and archival.",ESSP,GCMD projects
0,CLOUD-AEROSOL LIDAR AND INFRARED PATHFINDER SATELLITE OBSERVATIONS,Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observations,"[Source: NASA Science Missions Directorate]

The CALIPSO satellite was developed to help scientists answer significant questions and provide new information about the effects of clouds and aerosols (airborne particles) on changes in the Earths climate. Understanding these components will provide the international science community with a more comprehensive data set that is essential for a better understanding of the Earths climatic processes. Accurate climate model predictions will provide international and national leaders accurate information to make more informed policy decisions about global climate change.

CALIPSO flies a 3-channel lidar with a suite of passive instruments in formation with Aqua to obtain coincident observations of radiative fluxes and atmospheric conditions. This enables new observationally based assessments of the radiative effects of aerosol and clouds that will greatly improve out ability to predict future climate change.

CloudSat also flies in formation with CALIPSO to provide a comprehensive characterization of the structure and composition of clouds and their effects on climate under all weather conditions. This comprehensive set of measurements is essential for accurate quantification of global aerosol and cloud radiative effects to understand their role in formation and variation of Earths climate. This is a cooperative mission with France.

For more information on CALIPSO, see:
https://www-calipso.larc.nasa.gov/


Group: Platform_Details
   Entry_ID: CALIPSO
   Group: Platform_Identification
      Platform_Category: Earth Observation Satellites
      Platform_Series_or_Entity: EOS (Earth Observing System)
      Short_Name: CALIPSO
      Long_Name: Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observations
   End_Group
   Group: Platform_Associated_Instruments
      Short_Name: WFC
      Short_Name: CALIOP
      Short_Name: IIR
   End_Group
   Group: Orbit
      Orbit_Altitude: 705 km
      Orbit_Inclination: 98.2 degrees
      Period: 99 minutes
      Repeat_Cycle: 16 days
      Orbit_Type: LEO > Low Earth Orbit > Polar Sun-Synchronous
   End_Group
   Creation_Date: 2007-04-17
   Online_Resource: https://www-calipso.larc.nasa.gov
   Online_Resource: https://eosweb.larc.nasa.gov/project/calipso/calipso_table
   nline_Resource: https://www.nasa.gov/mission_pages/calipso/
   Group: Platform_Logistics
      Launch_Date: 2006-04-28
      Launch_Site: Vandenberg Air Force Base, USA
      Design_Life: 3 years
      Primary_Sponsor: USA/NASA
      Primary_Sponsor: FRANCE/CNES
      Primary_Sponsor: Alcatel
   End_Group
End_Group",CALIPSO,GCMD platforms
0,CLOUD-AEROSOL LIDAR AND INFRARED PATHFINDER SATELLITE OBSERVATIONS,Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observations,"CALIPSO was selected as an Earth System Science Pathfinder satellite
mission in December 1998 to address the role of clouds and aerosols in
the Earths radiation budget. NASA Langley Research Center is leading
the mission and is providing overall project management, systems
engineering, payload mission operations, data validation, processing
and archival. CNES is providing a PROTEUS spacecraft, the imaging
infrared radiometer (IIR), payload-to-spacecraft integration, and
spacecraft mission operations. CALIPSO is being developed through
collaboration between NASA and the French space agency, Centre
National dEtudes Spatiales (CNES).

CALIPSO will fly a three-channel lidar and passive instruments to
provide key measurements of aerosol and cloud properties needed to
improve climate predictions. CALIPSO is co-manifested with the
CloudSat satellite for a October 2004 launch on a Delta II launch
vehicle. They both will operate as part of a constellation of
satellites including EOS Aqua, EOS Aura, and PARASOL (Polarization and
Anisotropy of Reflectances for Atmospheric Science coupled with
Observations from a Lidar), which is being developed by CNES. The
satellites of the constellation will fly in a 705-km circular
sun-synchronous polar orbit with a nominal ascending node equatorial
crossing time of 13:30 local time. This constellation will provide
nearly simultaneous and co-located observations that will allow
numerous synergies to be realized by combining CALIPSO observations
with complementary observations from other platforms. This unique data
set of aerosol and cloud optical and physical properties and
aerosol-cloud interactions will substantially increase our
understanding of the climate system and the potential for climate
change.

For more information on the CALIPSO project, see:
http://www-calipso.larc.nasa.gov/

For more information on NASAs Earth System Science Pathfinder (ESSP)
Program, see:
http://essp.gsfc.nasa.gov/

For more information on Earth Science Enterprise (ESE):
http://earth.nasa.gov/",CALIPSO,GCMD projects
0,GRAVITY RECOVERY AND CLIMATE EXPERIMENT,Gravity Recovery and Climate Experiment,"[Source: NASA Science Mission Directorate, https://www.nasa.gov/mission_pages/Grace/ ]

The primary goal of the GRACE mission is to accurately map variations in the Earths gravity field over its 5-year lifetime. The GRACE mission has two identical spacecrafts flying about 220 kilometers apart in a polar orbit 500 kilometers above the Earth. 

It maps the Earths gravity fields by making accurate measurements of the distance between the two satellites, using geodetic quality Global Positioning System (GPS) receivers and a microwave ranging system. This provides scientists from all over the world with an efficient and cost-effective way to map the Earths gravity fields with unprecedented accuracy. The results from this mission yield crucial information about the distribution and flow of mass within the Earth and its surroundings.

The gravity variations that GRACE studies include: changes due to surface and deep currents in the ocean; runoff and ground water storage on land masses; exchanges between ice sheets or glaciers and the oceans; and variations of mass within the Earth. Another goal of the mission is to create a better profile of the Earths atmosphere. The results from GRACE make a huge contribution to NASAs Earth science goals, Earth Observation System (EOS) and global climate change studies.

GRACE is a joint partnership between the NASA in the United States and Deutsche Forschungsanstalt fur Luft und Raumfahrt (DLR) in Germany. Dr. Byron Tapley of The University of Texas Center for Space Research (UTCSR) is the Principal Investigator (PI), and Dr. Christoph Reigber of the GeoForschungsZentrum (GFZ) Potsdam is the Co-Principal Investigator (Co-PI). Project management and systems engineering activities are carried out by the Jet Propulsion Laboratory.


Group: Platform_Details
   Entry_ID: GRACE
   Group: Platform_Identification
      Platform_Category: Earth Observation Satellites
      Short_Name: GRACE
      Long_Name: Gravity Recovery and Climate Experiment
   End_Group
   Group: Platform_Associated_Instruments
      Short_Name: BLACKJACK
      Short_Name: GPS
      Short_Name: GPS RECEIVERS
      Short_Name: GRACE LRR
      Short_Name: IPU
      Short_Name: KBR
      Short_Name: MAGNETOMETERS
      Short_Name: MTQ
      Short_Name: OBDH
      Short_Name: SCA
      Short_Name: SCS
      Short_Name: SLR
      Short_Name: SUPERSTAR
      Short_Name: THR
      Short_Name: TNK
      Short_Name: USO
   End_Group
   Group: Orbit
      Orbit_Inclination: 89 degrees
      Period: 94.5 minutes
      Perigee: 483.0 km
      Apogee: 508.0 km
      Orbit_Type: LEO > Low Earth Orbit > Polar Non-Sun-Synchronous
   End_Group
   Creation_Date: 2007-05-01
   Online_Resource: https://www.nasa.gov/mission_pages/Grace/
   Online_Resource: https://grace.jpl.nasa.gov/
   Online_Resource: http://www2.csr.utexas.edu/grace/
   Online_Resource: https://podaac.jpl.nasa.gov/grace/
   Online_Resource: https://www.gfz-potsdam.de/grace/
   Online_Resource: https://earthobservatory.nasa.gov/Features/GRACE/
   Group: Platform_Logistics
      Launch_Date: 2002-03-17
      Launch_Site: Plesetsk Cosmodrome, Russia
      Design_Life: 5 years
      Primary_Sponsor: USA/NASA
      Primary_Sponsor: Germany/DLR
      Primary_Sponsor: Potsdam/GFZ
      Primary_Sponsor: UTexas/Center for Space Research
   End_Group
End_Group",GRACE,GCMD platforms
0,GRAVITY RECOVERY AND CLIMATE EXPERIMENT,Gravity Recovery and Climate Experiment,"[Source: NASA Science Mission Directorate, http://nasascience.nasa.gov/missions/grace ]
      
The primary goal of the GRACE mission is to accurately map variations in the Earths gravity field over its 5-year lifetime. The GRACE mission has two identical spacecrafts flying about 220 kilometers apart in a polar orbit 500 kilometers above the Earth.
      
It maps the Earths gravity fields by making accurate measurements of the distance between the two satellites, using geodetic quality Global Positioning System (GPS) receivers and a microwave ranging system. This provides scientists from all over the world with an efficient and cost-effective way to map the Earths gravity fields with unprecedented accuracy. The results from this mission yield crucial information about the distribution and flow of mass within the Earth and its surroundings.
      
The gravity variations that GRACE studies include: changes due to surface and deep currents in the ocean; runoff and ground water storage on land masses; exchanges between ice sheets or glaciers and the oceans; and variations of mass within the Earth. Another goal of the mission is to create a better profile of the Earths atmosphere. The results from GRACE make a huge contribution to NASAs Earth science goals, Earth Observation System (EOS) and global climate change studies.
      
GRACE is a joint partnership between the NASA in the United States and Deutsche Forschungsanstalt fur Luft und Raumfahrt (DLR) in Germany. Dr. Byron Tapley of The University of Texas Center for Space Research (UTCSR) is the Principal Investigator (PI), and Dr. Christoph Reigber of the GeoForschungsZentrum (GFZ) Potsdam is the Co-Principal Investigator (Co-PI). Project management and systems engineering activities are carried out by the Jet Propulsion Laboratory. 
      
      For more information on the GRACE mission, see:
      http://www.csr.utexas.edu/grace/
      http://podaac.jpl.nasa.gov/grace/
      http://www-app2.gfz-potsdam.de/pb1/op/grace/
      
      For more information on the NASA Science Mission Directorate homepage, see:
      http://nasascience.nasa.gov/missions/grace
      
      For more information on the Earth Observing System (EOS), see:
      http://eospso.gsfc.nasa.gov/",GRACE,GCMD projects
0,ORBITING CARBON OBSERVATORY-2,Orbiting Carbon Observatory-2,"The OCO-2 Project science objectives are to collect the space-based measurements needed to quantify variations in the column averaged atmospheric carbon dioxide (CO2) dry air mole fraction, XCO2, with the precision, resolution, and coverage needed to improve our understanding of surface CO2 sources and sinks (fluxes) on regional scales (≥1000km) and the processes controlling their variability over the seasonal cycle. This mission validates a space-based measurement approach and analysis concept that could be used for future systematic CO2 monitoring missions.

More Information: https://ocov2.jpl.nasa.gov/

Group: Platform_Details
   Entry_ID: OCO-2
   Group: Platform_Identification
      Platform_Category: Earth Observation Satellites
      Short_Name: OCO-2
      Long_Name: Orbiting Carbon Observatory-2
   End_Group
   Group: Platform_Associated_Instruments
      Short_Name: OCO SPECTROMETERS
   End_Group
   Creation_Date: 2010-09-10
   Online_Resource: https://ocov2.jpl.nasa.gov/
   Online_Resource: https://science.jpl.nasa.gov/projects/OCO/
   Online_Resource: https://www.nasa.gov/mission_pages/oco2/
   Group: Platform_Logistics
      Launch_Date: 2014-07-02
      Launch_Site: Vandenberg Air Force Base, USA
      Primary_Sponsor: USA/NASA
   End_Group
End_Group",OCO-2,GCMD platforms
0,ORBITING CARBON OBSERVATORY-2,Orbiting Carbon Observatory-2,"The OCO-2 Project primary science objective is to collect the first space-based measurements of atmospheric carbon dioxide with the precision, resolution and coverage needed to characterize its sources and sinks and quantify their variability over the seasonal cycle. During its two-year mission, OCO-2 will fly in a sun-synchronous, near-polar orbit with a group of Earth-orbiting satellites with synergistic science objectives whose ascending node crosses the equator near 13:30 hours Mean Local Time (MLT). Near-global coverage of the sunlit portion of Earth is provided in this orbit over a 16-day (233-revolution) repeat cycle. OCO-2’s single instrument incorporates three high-resolution grating spectrometers, designed to measure the near-infrared absorption of reflected sunlight by carbon dioxide and molecular oxygen.

More Information: https://ocov2.jpl.nasa.gov/",OCO-2,GCMD projects
0,AERONOMY OF ICE IN THE MESOSPHERE,Aeronomy of Ice in the Mesosphere,"NASAs AIM spacecraft began its two-year mission April 25, 2007 after a flawless ride to Earth orbit aboard an Orbital Sciences Pegasus XL rocket. Launch took place at 1:26 PDT. Launch operations at Vandenberg Air Force Base in California ran smoothly, with no technical or weather issues causing concern.

The AIM mission is the first dedicated to exploring mysterious ice clouds that dot the edge of space in Earths polar regions. These clouds have grown brighter and more prevalent in recent years and some scientists suggest that changes in these clouds may be the result of climate change.

[Source: NASA AIM Mission Home Page  
 https://www.nasa.gov/mission_pages/aim/index.html ]


Group: Platform_Details
   Entry_ID: AIM
   Group: Platform_Identification
      Platform_Category: Earth Observation Satellites
      Platform_Series_or_Entity: NASA Small Explorers (SMEX)
      Short_Name: AIM
      Long_Name: Aeronomy of Ice in the Mesosphere
   End_Group
   Group: Platform_Associated_Instruments
      Short_Name: SOFIE
      Short_Name: CIPS-AIM
      Short_Name: CDE
   End_Group
   Group: Orbit
      Orbit_Altitude: 600km
      Orbit_Inclination: 97.4° inclination
      Orbit_Type: LEO > Low Earth Orbit > Polar Sun-Synchronous
   End_Group
   Creation_Date: 2007-05-01
   Online_Resource: https://www.nasa.gov/mission_pages/aim/index.html
   Online_Resource: http://aim.hamptonu.edu/
   Online_Resource: https://explorers.gsfc.nasa.gov/
   Group: Platform_Logistics
      Launch_Date: 2007-04-25
      Launch_Site: Vandenberg Air Force Base, USA
      Design_Life: 26 months
      Primary_Sponsor: NASA
   End_Group
End_Group",AIM,GCMD platforms
